number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
39,0.0004452300490811467,2025-07-17 15:27:48.982765,2025-07-17 15:28:26.092992,0 days 00:00:37.110227,128,124,0.0018434071698865415,9,COMPLETE
40,0.0004531587183009833,2025-07-17 15:28:26.093506,2025-07-17 15:29:37.962745,0 days 00:01:11.869239,16,104,0.0028104153126542897,7,COMPLETE
41,0.00017609907081350684,2025-07-17 15:29:37.963527,2025-07-17 15:30:27.285768,0 days 00:00:49.322241,32,111,0.0022306404698194475,7,COMPLETE
42,0.00021186195954214782,2025-07-17 15:30:27.286358,2025-07-17 15:31:18.869100,0 days 00:00:51.582742,32,116,0.00210954756992377,8,COMPLETE
43,0.00021128013031557202,2025-07-17 15:31:18.869700,2025-07-17 15:32:03.424671,0 days 00:00:44.554971,32,108,0.0035042117978117413,6,COMPLETE
44,0.0003632430452853441,2025-07-17 15:32:03.425237,2025-07-17 15:32:55.251673,0 days 00:00:51.826436,32,103,0.0008900182119979781,9,COMPLETE
45,0.0002522725553717464,2025-07-17 15:32:55.252277,2025-07-17 15:33:41.583560,0 days 00:00:46.331283,32,120,0.006438788331872559,6,COMPLETE
46,0.00019211438484489918,2025-07-17 15:33:41.584159,2025-07-17 15:34:12.856846,0 days 00:00:31.272687,32,36,0.0019698253765244285,7,COMPLETE
47,0.00026397936744615436,2025-07-17 15:34:12.857450,2025-07-17 15:35:06.327906,0 days 00:00:53.470456,16,41,0.001965783353211118,7,COMPLETE
48,0.00029801149503327906,2025-07-17 15:35:06.328498,2025-07-17 15:35:35.092297,0 days 00:00:28.763799,32,29,0.009920931505814837,5,COMPLETE
49,0.001527551212348044,2025-07-17 15:35:35.092892,2025-07-17 15:35:49.821853,0 days 00:00:14.728961,64,8,0.006522027887866547,8,COMPLETE
50,0.0011903302511200309,2025-07-17 15:35:49.822239,2025-07-17 15:36:47.460599,0 days 00:00:57.638360,16,53,7.826327012512152e-05,7,COMPLETE
51,0.00027914310339838266,2025-07-17 15:36:47.461203,2025-07-17 15:37:37.996044,0 days 00:00:50.534841,32,91,0.0034670247046948077,10,COMPLETE
52,0.007719438523054123,2025-07-17 15:37:37.996646,2025-07-17 15:38:39.219607,0 days 00:01:01.222961,32,112,1.403001675920736e-05,15,COMPLETE
53,0.0007972650928422809,2025-07-17 15:38:39.220222,2025-07-17 15:39:11.235831,0 days 00:00:32.015609,32,26,0.001593668827881948,13,COMPLETE
54,0.0006030621589161456,2025-07-17 15:39:11.236430,2025-07-17 15:39:40.873001,0 days 00:00:29.636571,32,41,0.0004885243070081093,5,COMPLETE
55,0.004626079462468624,2025-07-17 15:39:40.873393,2025-07-17 15:40:08.231253,0 days 00:00:27.357860,32,16,0.0011186788612637078,10,COMPLETE
56,0.00018648302648216486,2025-07-17 15:40:08.231821,2025-07-17 15:40:52.832390,0 days 00:00:44.600569,32,107,0.0022298976767316596,6,COMPLETE
57,0.00024582285550422966,2025-07-17 15:40:52.832998,2025-07-17 15:41:37.370911,0 days 00:00:44.537913,32,107,0.0023889495886775867,6,COMPLETE
58,0.0003447262570261955,2025-07-17 15:41:37.371518,2025-07-17 15:42:29.881947,0 days 00:00:52.510429,16,34,0.005294736418852886,7,COMPLETE
59,0.000355884141754359,2025-07-17 15:42:29.882551,2025-07-17 15:43:00.380516,0 days 00:00:30.497965,128,118,0.003796806762096794,8,COMPLETE
60,0.0006474237889051437,2025-07-17 15:43:00.381146,2025-07-17 15:43:36.653474,0 days 00:00:36.272328,32,74,0.0006928100714400583,5,COMPLETE
