number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
39,0.006245325319468975,2025-07-17 19:11:28.372768,2025-07-17 19:12:08.381289,0 days 00:00:40.008521,128,59,0.0002222101349356724,20,COMPLETE
40,0.0003712965117301792,2025-07-17 19:12:08.381971,2025-07-17 19:15:05.732789,0 days 00:02:57.350818,16,97,0.0010149053551042856,16,COMPLETE
41,0.00038270975346677005,2025-07-17 19:15:05.733716,2025-07-17 19:19:12.933709,0 days 00:04:07.199993,16,96,0.001121783528778856,23,COMPLETE
42,0.0004177225928287953,2025-07-17 19:19:12.934574,2025-07-17 19:21:35.981390,0 days 00:02:23.046816,16,72,0.0020407951518834444,23,COMPLETE
43,0.00040440179873257875,2025-07-17 19:21:35.982283,2025-07-17 19:26:06.027706,0 days 00:04:30.045423,16,95,0.0012744595108306626,23,COMPLETE
44,0.0003929905651602894,2025-07-17 19:26:06.028636,2025-07-17 19:29:29.415476,0 days 00:03:23.386840,16,89,0.0006660033864861873,21,COMPLETE
45,0.0036810562014579773,2025-07-17 19:29:29.416344,2025-07-17 19:30:08.936942,0 days 00:00:39.520598,128,82,0.0003735417503480031,19,COMPLETE
46,0.05339621379971504,2025-07-17 19:30:08.937600,2025-07-17 19:30:43.734542,0 days 00:00:34.796942,64,10,6.304322310745543e-05,24,COMPLETE
47,0.0005000829114578664,2025-07-17 19:30:43.735289,2025-07-17 19:32:00.281152,0 days 00:01:16.545863,32,115,0.0006354743211984545,16,COMPLETE
48,0.000337335339281708,2025-07-17 19:32:00.282053,2025-07-17 19:35:42.476638,0 days 00:03:42.194585,16,88,0.0016942577668598766,21,COMPLETE
49,0.0004084327956661582,2025-07-17 19:35:42.477513,2025-07-17 19:38:52.663992,0 days 00:03:10.186479,16,87,0.0019204735432640737,21,COMPLETE
50,0.00038992860936559737,2025-07-17 19:38:52.664882,2025-07-17 19:39:24.159549,0 days 00:00:31.494667,128,70,0.004772757639870046,17,COMPLETE
51,0.0004132561734877527,2025-07-17 19:39:24.160221,2025-07-17 19:44:13.123531,0 days 00:04:48.963310,16,97,0.0010917940658060525,24,COMPLETE
52,0.00038463619421236217,2025-07-17 19:44:13.124407,2025-07-17 19:48:08.275863,0 days 00:03:55.151456,16,106,0.0016830557445985479,22,COMPLETE
53,0.014229884371161461,2025-07-17 19:48:08.276747,2025-07-17 19:51:19.565788,0 days 00:03:11.289041,16,80,1.2010931443758013e-05,19,COMPLETE
54,0.00037173726013861597,2025-07-17 19:51:19.566683,2025-07-17 19:55:04.930676,0 days 00:03:45.363993,16,89,0.0008364155338339504,22,COMPLETE
55,0.0003989129909314215,2025-07-17 19:55:04.931613,2025-07-17 19:58:30.935672,0 days 00:03:26.004059,16,86,0.0008412505092439735,20,COMPLETE
56,0.000529151817318052,2025-07-17 19:58:30.936591,2025-07-17 20:00:49.688445,0 days 00:02:18.751854,16,61,0.0004428318187789551,21,COMPLETE
57,0.0005348520935513079,2025-07-17 20:00:49.689354,2025-07-17 20:03:29.121729,0 days 00:02:39.432375,16,89,0.0026290694944879024,15,COMPLETE
58,0.0006133660208433867,2025-07-17 20:03:29.122679,2025-07-17 20:05:21.891884,0 days 00:01:52.769205,16,34,0.0005816774196742081,22,COMPLETE
59,0.000545922142919153,2025-07-17 20:05:21.892791,2025-07-17 20:07:05.447129,0 days 00:01:43.554338,32,65,0.00025952538774830003,25,COMPLETE
60,0.0004377320292405784,2025-07-17 20:07:05.448040,2025-07-17 20:10:34.566199,0 days 00:03:29.118159,16,78,0.0015371206396102262,19,COMPLETE
61,0.0003809896588791162,2025-07-17 20:10:34.567302,2025-07-17 20:14:49.868593,0 days 00:04:15.301291,16,98,0.0011291295778691683,23,COMPLETE
62,0.0004177442751824856,2025-07-17 20:14:49.869509,2025-07-17 20:18:27.344198,0 days 00:03:37.474689,16,92,0.0008716759804916366,24,COMPLETE
63,0.0005279617034830153,2025-07-17 20:18:27.345115,2025-07-17 20:22:07.956961,0 days 00:03:40.611846,16,105,0.0021954560051128252,22,COMPLETE
64,0.00043832280789501965,2025-07-17 20:22:07.957870,2025-07-17 20:24:37.630655,0 days 00:02:29.672785,16,113,0.004024401430438465,14,COMPLETE
65,0.0004064207896590233,2025-07-17 20:24:37.631612,2025-07-17 20:28:20.886474,0 days 00:03:43.254862,16,99,0.0007466042850798217,23,COMPLETE
66,0.0004488806298468262,2025-07-17 20:28:20.887369,2025-07-17 20:29:12.801195,0 days 00:00:51.913826,64,84,0.0010685028793619353,20,COMPLETE
67,0.00046369529445655644,2025-07-17 20:29:12.801890,2025-07-17 20:33:01.051226,0 days 00:03:48.249336,16,108,0.0015883186715521147,24,COMPLETE
68,0.0003815475502051413,2025-07-17 20:33:01.052135,2025-07-17 20:35:12.693120,0 days 00:02:11.640985,16,73,0.0005014227044107075,21,COMPLETE
69,0.00036707561230286956,2025-07-17 20:35:12.694011,2025-07-17 20:37:53.146079,0 days 00:02:40.452068,16,91,0.0033178925152289214,17,COMPLETE
70,0.0005951657658442855,2025-07-17 20:37:53.147012,2025-07-17 20:39:15.191484,0 days 00:01:22.044472,32,124,0.007736248992955909,17,COMPLETE
71,0.0004442428471520543,2025-07-17 20:39:15.192365,2025-07-17 20:42:30.580923,0 days 00:03:15.388558,16,92,0.0023667816012301417,22,COMPLETE
72,0.00868950318545103,2025-07-17 20:42:30.581823,2025-07-17 20:44:51.849668,0 days 00:02:21.267845,16,101,1.959820041357903e-05,13,COMPLETE
73,0.0007149864104576409,2025-07-17 20:44:51.850659,2025-07-17 20:47:16.971852,0 days 00:02:25.121193,16,91,0.003159596229161326,15,COMPLETE
74,0.0005067966994829476,2025-07-17 20:47:16.972778,2025-07-17 20:50:07.915926,0 days 00:02:50.943148,16,97,0.0012327222526574938,17,COMPLETE
75,0.001088143908418715,2025-07-17 20:50:07.916852,2025-07-17 20:50:42.562151,0 days 00:00:34.645299,128,85,0.0009767199239458229,18,COMPLETE
76,0.0006106862565502524,2025-07-17 20:50:42.562823,2025-07-17 20:53:12.304408,0 days 00:02:29.741585,16,80,0.00041773125832617454,16,COMPLETE
77,0.0004599614767357707,2025-07-17 20:53:12.305342,2025-07-17 20:56:04.979173,0 days 00:02:52.673831,16,118,0.004039967334209034,20,COMPLETE
78,0.00032696317066438496,2025-07-17 20:56:04.980077,2025-07-17 20:59:05.842236,0 days 00:03:00.862159,16,101,0.001670834046457308,18,COMPLETE
79,0.000383503211196512,2025-07-17 20:59:05.843188,2025-07-17 21:01:55.026137,0 days 00:02:49.182949,16,93,0.005468712094056965,18,COMPLETE
80,0.0003603096411097795,2025-07-17 21:01:55.027105,2025-07-17 21:02:54.750769,0 days 00:00:59.723664,64,109,0.0018107098239287475,19,COMPLETE
81,0.00042653505806811154,2025-07-17 21:02:54.751438,2025-07-17 21:03:52.664205,0 days 00:00:57.912767,64,103,0.001949691169725222,19,COMPLETE
82,0.00039972609374672174,2025-07-17 21:03:52.664880,2025-07-17 21:04:43.975872,0 days 00:00:51.310992,64,110,0.002950527703012195,16,COMPLETE
83,0.000371226342394948,2025-07-17 21:04:43.976590,2025-07-17 21:05:42.856077,0 days 00:00:58.879487,64,117,0.0014869065808413998,18,COMPLETE
84,0.0004187009180895984,2025-07-17 21:05:42.856772,2025-07-17 21:06:43.308740,0 days 00:01:00.451968,64,123,0.0016808260313242983,18,COMPLETE
85,0.00039071845822036266,2025-07-17 21:06:43.309659,2025-07-17 21:07:44.397872,0 days 00:01:01.088213,64,115,0.0013290486699695297,19,COMPLETE
86,0.00044307566713541746,2025-07-17 21:07:44.398567,2025-07-17 21:08:38.332485,0 days 00:00:53.933918,64,107,0.002180942958890267,17,COMPLETE
87,0.00039641608600504696,2025-07-17 21:08:38.333184,2025-07-17 21:09:40.929371,0 days 00:01:02.596187,64,102,0.0014960005968691595,21,COMPLETE
88,0.00038508966099470854,2025-07-17 21:09:40.930054,2025-07-17 21:10:27.481340,0 days 00:00:46.551286,64,88,0.0034876869299277483,18,COMPLETE
89,0.0004494366585277021,2025-07-17 21:10:27.482041,2025-07-17 21:11:21.924499,0 days 00:00:54.442458,64,94,0.002467520516567148,20,COMPLETE
90,0.00041293693357147276,2025-07-17 21:11:21.925216,2025-07-17 21:12:09.567268,0 days 00:00:47.642052,64,112,0.0016778085836274743,16,COMPLETE
91,0.0003974307037424296,2025-07-17 21:12:09.567975,2025-07-17 21:14:28.105181,0 days 00:02:18.537206,16,121,0.0007501264085327478,15,COMPLETE
92,0.00036015224759466946,2025-07-17 21:14:28.106143,2025-07-17 21:17:15.897459,0 days 00:02:47.791316,16,126,0.0008679943547977775,19,COMPLETE
93,0.0003206475521437824,2025-07-17 21:17:15.898400,2025-07-17 21:20:19.022958,0 days 00:03:03.124558,16,125,0.0009751373225555003,19,COMPLETE
94,0.000732707732822746,2025-07-17 21:20:19.023891,2025-07-17 21:21:09.658251,0 days 00:00:50.634360,128,127,0.0009353818766513125,19,COMPLETE
95,0.00033533090027049184,2025-07-17 21:21:09.658978,2025-07-17 21:24:00.399871,0 days 00:02:50.740893,16,118,0.0013614951888806521,18,COMPLETE
96,0.00040678252116777003,2025-07-17 21:24:00.400827,2025-07-17 21:27:04.209051,0 days 00:03:03.808224,16,125,0.0018379843846859994,18,COMPLETE
97,0.00038045260589569807,2025-07-17 21:27:04.210018,2025-07-17 21:28:27.169172,0 days 00:01:22.959154,32,122,0.0012531672028911203,17,COMPLETE
98,0.0004133433394599706,2025-07-17 21:28:27.170104,2025-07-17 21:31:09.002410,0 days 00:02:41.832306,16,118,0.001426704404892204,19,COMPLETE
99,0.0005737172323279083,2025-07-17 21:31:09.003343,2025-07-17 21:33:35.803628,0 days 00:02:26.800285,16,116,0.002723114847273669,18,COMPLETE
100,0.0003932218824047595,2025-07-17 21:33:35.804577,2025-07-17 21:34:25.674971,0 days 00:00:49.870394,64,110,0.002052125690137088,17,COMPLETE
101,0.00033528401399962604,2025-07-17 21:34:25.675648,2025-07-17 21:37:28.439937,0 days 00:03:02.764289,16,125,0.001179824302766507,19,COMPLETE
102,0.0003427310730330646,2025-07-17 21:37:28.440856,2025-07-17 21:40:24.036669,0 days 00:02:55.595813,16,124,0.0011516356560554765,19,COMPLETE
103,0.00035390042467042804,2025-07-17 21:40:24.037642,2025-07-17 21:43:36.272448,0 days 00:03:12.234806,16,126,0.0011306388663736738,20,COMPLETE
104,0.0003530661924742162,2025-07-17 21:43:36.273429,2025-07-17 21:46:35.363755,0 days 00:02:59.090326,16,128,0.0010702082970229895,20,COMPLETE
105,0.00032608225592412055,2025-07-17 21:46:35.364687,2025-07-17 21:49:22.272502,0 days 00:02:46.907815,16,128,0.001190371532380128,20,COMPLETE
106,0.0003587935061659664,2025-07-17 21:49:22.273436,2025-07-17 21:52:23.581294,0 days 00:03:01.307858,16,128,0.0011383355188684348,20,COMPLETE
107,0.00032441463554278016,2025-07-17 21:52:23.582286,2025-07-17 21:55:33.043133,0 days 00:03:09.460847,16,127,0.0011841308033836992,20,COMPLETE
108,0.00037747767055407166,2025-07-17 21:55:33.044124,2025-07-17 21:58:28.340532,0 days 00:02:55.296408,16,121,0.0006560347675506188,20,COMPLETE
109,0.00033536588307470083,2025-07-17 21:58:28.341458,2025-07-17 22:01:43.728531,0 days 00:03:15.387073,16,123,0.0011755979823520272,21,COMPLETE
110,0.0003398913540877402,2025-07-17 22:01:43.729527,2025-07-17 22:04:38.585224,0 days 00:02:54.855697,16,124,0.0009698040474402447,21,COMPLETE
111,0.00032489464501850307,2025-07-17 22:04:38.586195,2025-07-17 22:07:30.617033,0 days 00:02:52.030838,16,124,0.0012686391473610374,21,COMPLETE
112,0.00032770654070191085,2025-07-17 22:07:30.618009,2025-07-17 22:10:22.663276,0 days 00:02:52.045267,16,124,0.0013060104093963196,21,COMPLETE
113,0.0003942926414310932,2025-07-17 22:10:22.664261,2025-07-17 22:13:13.691146,0 days 00:02:51.026885,16,124,0.0012651863816549142,21,COMPLETE
114,0.00041500836960040033,2025-07-17 22:13:13.692112,2025-07-17 22:15:59.722160,0 days 00:02:46.030048,16,120,0.0009266048726291197,21,COMPLETE
115,0.00038443433004431427,2025-07-17 22:15:59.723133,2025-07-17 22:19:17.339163,0 days 00:03:17.616030,16,123,0.00070082518232905,21,COMPLETE
116,0.00040032979450188577,2025-07-17 22:19:17.340125,2025-07-17 22:27:23.933381,0 days 00:08:06.593256,16,114,0.0014218985544466947,22,COMPLETE
117,0.0003828383341897279,2025-07-17 22:27:23.934331,2025-07-17 22:30:41.504007,0 days 00:03:17.569676,16,120,0.0005314416297141318,21,COMPLETE
118,0.00040172977605834603,2025-07-17 22:30:41.504959,2025-07-17 22:34:00.823712,0 days 00:03:19.318753,16,125,0.0009954715358260233,20,COMPLETE
