number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_size_layers,state
38,0.008390688337385654,2025-07-12 16:41:14.184280,2025-07-12 16:41:21.256540,0 days 00:00:07.072260,relu,64,0.0007661131108028145,2,92,COMPLETE
39,0.000378923024982214,2025-07-12 16:41:21.257118,2025-07-12 16:41:35.210060,0 days 00:00:13.952942,identity,32,0.00048569805303287926,3,112,COMPLETE
40,0.000476477958727628,2025-07-12 16:41:35.210402,2025-07-12 16:41:53.387386,0 days 00:00:18.176984,identity,16,0.0001870983973948469,2,28,COMPLETE
41,0.0003574528091121465,2025-07-12 16:41:53.387739,2025-07-12 16:42:07.998875,0 days 00:00:14.611136,identity,16,0.0006010441263940467,1,127,COMPLETE
42,0.0003593405708670616,2025-07-12 16:42:07.999342,2025-07-12 16:42:22.556641,0 days 00:00:14.557299,identity,16,0.0005778158872860094,1,128,COMPLETE
43,0.00040845220792107284,2025-07-12 16:42:22.556945,2025-07-12 16:42:37.135424,0 days 00:00:14.578479,identity,16,0.0010012353388903791,1,119,COMPLETE
44,0.00035770266549661756,2025-07-12 16:42:37.135893,2025-07-12 16:42:51.709751,0 days 00:00:14.573858,identity,16,0.0007281390438675962,1,105,COMPLETE
45,0.00039499395643360913,2025-07-12 16:42:51.710044,2025-07-12 16:43:20.773058,0 days 00:00:29.063014,identity,16,0.00038129693659366205,4,106,COMPLETE
46,0.00042435721843503416,2025-07-12 16:43:20.773690,2025-07-12 16:43:36.152454,0 days 00:00:15.378764,relu,16,0.0007308674782493611,1,123,COMPLETE
47,0.0005091892089694738,2025-07-12 16:43:36.152780,2025-07-12 16:43:44.716302,0 days 00:00:08.563522,identity,32,0.00047261255707297056,1,114,COMPLETE
48,0.00036621475010178983,2025-07-12 16:43:44.716783,2025-07-12 16:44:03.262470,0 days 00:00:18.545687,identity,16,0.00022759113156629017,2,53,COMPLETE
49,0.0003638557391241193,2025-07-12 16:44:03.262890,2025-07-12 16:44:17.827720,0 days 00:00:14.564830,identity,16,0.001862316895535641,1,104,COMPLETE
50,0.0005082723218947649,2025-07-12 16:44:17.828197,2025-07-12 16:44:26.397392,0 days 00:00:08.569195,identity,32,0.00039138566851642967,1,118,COMPLETE
51,0.0004018564068246633,2025-07-12 16:44:26.397734,2025-07-12 16:44:40.929830,0 days 00:00:14.532096,identity,16,0.0011330007120316256,1,95,COMPLETE
52,0.0003597385948523879,2025-07-12 16:44:40.930181,2025-07-12 16:44:55.450178,0 days 00:00:14.519997,identity,16,0.0006541902749916802,1,74,COMPLETE
53,0.0003573996655177325,2025-07-12 16:44:55.450456,2025-07-12 16:45:10.009084,0 days 00:00:14.558628,identity,16,0.000873749483354696,1,102,COMPLETE
54,0.0004511374281719327,2025-07-12 16:45:10.009563,2025-07-12 16:45:24.594552,0 days 00:00:14.584989,identity,16,0.0009075462395015277,1,110,COMPLETE
55,0.00036044855369254947,2025-07-12 16:45:24.595025,2025-07-12 16:45:39.171255,0 days 00:00:14.576230,identity,16,0.0005094030768829996,1,102,COMPLETE
56,0.00043167549301870167,2025-07-12 16:45:39.171733,2025-07-12 16:45:44.440080,0 days 00:00:05.268347,identity,64,0.0016298117709456301,1,123,COMPLETE
57,0.0003575323207769543,2025-07-12 16:45:44.440352,2025-07-12 16:45:59.048776,0 days 00:00:14.608424,identity,16,0.0007367486667313612,1,115,COMPLETE
58,0.0003938272420782596,2025-07-12 16:45:59.049235,2025-07-12 16:46:23.522147,0 days 00:00:24.472912,identity,16,0.000735531588716766,3,116,COMPLETE
59,0.0003895719419233501,2025-07-12 16:46:23.522698,2025-07-12 16:46:38.107851,0 days 00:00:14.585153,identity,16,0.0014273639168580076,1,122,COMPLETE
60,1.6183620691299438,2025-07-12 16:46:38.108187,2025-07-12 16:46:43.128439,0 days 00:00:05.020252,relu,128,0.0010190796922938256,2,128,COMPLETE
