number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.005718916188925505,2025-07-17 15:21:44.230965,2025-07-17 15:22:53.440035,0 days 00:01:09.209070,min,16,0.0019678073402194483,9,6,gaussian,COMPLETE
37,1.9912142753601074,2025-07-17 15:22:53.440856,2025-07-17 15:23:13.945287,0 days 00:00:20.504431,min,64,0.0066079898854805395,6,5,gaussian,COMPLETE
38,0.4542291462421417,2025-07-17 15:23:13.945870,2025-07-17 15:24:22.754276,0 days 00:01:08.808406,min,16,0.000862509265913621,8,8,gaussian,COMPLETE
39,0.018360614776611328,2025-07-17 15:24:22.755094,2025-07-17 15:25:30.079681,0 days 00:01:07.324587,min,16,0.00033460872818066243,7,8,sigmoid,COMPLETE
40,0.025630904361605644,2025-07-17 15:25:30.080479,2025-07-17 15:25:45.606628,0 days 00:00:15.526149,min,128,0.004207849281180996,8,10,bell,COMPLETE
41,0.00046236536582000554,2025-07-17 15:25:45.607042,2025-07-17 15:26:52.115938,0 days 00:01:06.508896,min,16,0.007151349517282337,5,13,gaussian,COMPLETE
42,0.005744800437241793,2025-07-17 15:26:52.116747,2025-07-17 15:27:57.800493,0 days 00:01:05.683746,min,16,0.009660409642065233,5,12,gaussian,COMPLETE
43,0.037218596786260605,2025-07-17 15:27:57.801338,2025-07-17 15:29:02.608797,0 days 00:01:04.807459,min,16,0.006495050795089218,6,6,gaussian,COMPLETE
44,0.00022076396271586418,2025-07-17 15:29:02.609619,2025-07-17 15:30:23.555217,0 days 00:01:20.945598,min,16,0.0033787329467669055,7,25,gaussian,COMPLETE
45,0.013934765942394733,2025-07-17 15:30:23.556035,2025-07-17 15:31:40.139987,0 days 00:01:16.583952,prod,16,0.0033516548190037276,5,25,gaussian,COMPLETE
46,1.8675925731658936,2025-07-17 15:31:40.140810,2025-07-17 15:32:53.672287,0 days 00:01:13.531477,min,16,0.0016674779631651714,5,22,gaussian,COMPLETE
47,0.03625185415148735,2025-07-17 15:32:53.673138,2025-07-17 15:33:35.603238,0 days 00:00:41.930100,min,32,0.0022100447921708905,6,20,sigmoid,COMPLETE
48,0.22501903772354126,2025-07-17 15:33:35.603863,2025-07-17 15:34:48.398795,0 days 00:01:12.794932,prod,16,0.004831225270583256,7,14,gaussian,COMPLETE
49,0.07012656331062317,2025-07-17 15:34:48.399613,2025-07-17 15:36:00.192199,0 days 00:01:11.792586,min,16,0.00306993547120265,5,20,gaussian,COMPLETE
50,0.246245875954628,2025-07-17 15:36:00.193021,2025-07-17 15:36:27.446307,0 days 00:00:27.253286,min,64,0.0013166153491720387,7,15,gaussian,COMPLETE
51,0.0004114420444238931,2025-07-17 15:36:27.446933,2025-07-17 15:37:37.382078,0 days 00:01:09.935145,min,16,0.0074661732838287,7,12,gaussian,COMPLETE
52,0.36562061309814453,2025-07-17 15:37:37.382894,2025-07-17 15:38:48.190333,0 days 00:01:10.807439,min,16,0.0077853815925645635,7,13,gaussian,COMPLETE
53,0.029194291681051254,2025-07-17 15:38:48.191184,2025-07-17 15:39:57.918371,0 days 00:01:09.727187,min,16,0.004931285899243851,7,12,gaussian,COMPLETE
54,0.029414288699626923,2025-07-17 15:39:57.919252,2025-07-17 15:41:06.804131,0 days 00:01:08.884879,min,16,0.0038472265486032813,6,11,gaussian,COMPLETE
