number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
35,0.35137027502059937,2025-07-13 15:10:24.363660,2025-07-13 15:11:27.641404,0 days 00:01:03.277744,relu,prod,16,0.0008996101883773227,9,10,bell,COMPLETE
36,0.06382867693901062,2025-07-13 15:11:27.642014,2025-07-13 15:12:22.739695,0 days 00:00:55.097681,relu,prod,16,0.003265108112555741,8,8,sigmoid,COMPLETE
37,0.007634328678250313,2025-07-13 15:12:22.740313,2025-07-13 15:13:16.895849,0 days 00:00:54.155536,relu,prod,16,0.005731283183371071,7,8,sigmoid,COMPLETE
38,0.12082064151763916,2025-07-13 15:13:16.896467,2025-07-13 15:14:11.034253,0 days 00:00:54.137786,relu,prod,16,0.004938976989056124,7,8,sigmoid,COMPLETE
39,0.6516947150230408,2025-07-13 15:14:11.034871,2025-07-13 15:15:07.772504,0 days 00:00:56.737633,relu,prod,16,0.0077608333536317055,9,12,sigmoid,COMPLETE
40,0.06700225174427032,2025-07-13 15:15:07.773129,2025-07-13 15:16:02.911325,0 days 00:00:55.138196,relu,prod,16,0.0032269294604829867,8,8,sigmoid,COMPLETE
41,0.04519180953502655,2025-07-13 15:16:02.911938,2025-07-13 15:16:57.986456,0 days 00:00:55.074518,relu,prod,16,0.0037654286678875325,8,8,sigmoid,COMPLETE
42,1.6562120914459229,2025-07-13 15:16:57.987073,2025-07-13 15:17:52.428975,0 days 00:00:54.441902,relu,prod,16,0.0040595813216435855,8,6,sigmoid,COMPLETE
43,0.044944193214178085,2025-07-13 15:17:52.429598,2025-07-13 15:18:47.915621,0 days 00:00:55.486023,relu,prod,16,0.0019563268702037285,8,9,sigmoid,COMPLETE
44,1.6868706941604614,2025-07-13 15:18:47.916240,2025-07-13 15:19:41.751704,0 days 00:00:53.835464,relu,prod,16,0.0020429420145721086,7,12,sigmoid,COMPLETE
45,0.0019197401124984026,2025-07-13 15:19:41.752327,2025-07-13 15:20:39.563949,0 days 00:00:57.811622,relu,prod,16,0.007229570538541823,9,9,sigmoid,COMPLETE
46,0.22655171155929565,2025-07-13 15:20:39.564565,2025-07-13 15:21:37.687446,0 days 00:00:58.122881,relu,prod,16,0.009579173070713385,9,10,sigmoid,COMPLETE
47,0.13381363451480865,2025-07-13 15:21:37.688072,2025-07-13 15:22:35.419546,0 days 00:00:57.731474,relu,prod,16,0.006972032680417992,9,9,sigmoid,COMPLETE
48,0.23399999737739563,2025-07-13 15:22:35.420168,2025-07-13 15:23:33.115381,0 days 00:00:57.695213,relu,prod,16,0.0023279223876295297,9,14,sigmoid,COMPLETE
49,0.26892033219337463,2025-07-13 15:23:33.116008,2025-07-13 15:24:30.744472,0 days 00:00:57.628464,relu,prod,16,0.0014823432552060801,9,6,gaussian,COMPLETE
50,0.34679335355758667,2025-07-13 15:24:30.745102,2025-07-13 15:25:27.413193,0 days 00:00:56.668091,relu,prod,16,0.006664969375053833,9,12,sigmoid,COMPLETE
51,0.16924966871738434,2025-07-13 15:25:27.413814,2025-07-13 15:26:22.252389,0 days 00:00:54.838575,relu,prod,16,0.005160090521870342,8,7,sigmoid,COMPLETE
52,0.44712594151496887,2025-07-13 15:26:22.253012,2025-07-13 15:27:17.737084,0 days 00:00:55.484072,relu,prod,16,0.004252348711208118,8,9,sigmoid,COMPLETE
53,0.19515666365623474,2025-07-13 15:27:17.737713,2025-07-13 15:28:13.652487,0 days 00:00:55.914774,relu,prod,16,0.002506346545366303,8,10,sigmoid,COMPLETE
54,0.2986767292022705,2025-07-13 15:28:13.653104,2025-07-13 15:28:32.352342,0 days 00:00:18.699238,relu,prod,64,0.007630097819924811,7,11,sigmoid,COMPLETE
55,1.668532133102417,2025-07-13 15:28:32.352914,2025-07-13 15:29:27.664700,0 days 00:00:55.311786,relu,prod,16,0.003910750074220128,8,8,sigmoid,COMPLETE
56,1.662611484527588,2025-07-13 15:29:27.665325,2025-07-13 15:30:22.559865,0 days 00:00:54.894540,relu,prod,16,0.005988118074987476,8,7,sigmoid,COMPLETE
57,0.8943657875061035,2025-07-13 15:30:22.560503,2025-07-13 15:31:21.353034,0 days 00:00:58.792531,relu,prod,16,0.002844456532756737,9,9,gaussian,COMPLETE
58,0.43988046050071716,2025-07-13 15:31:21.353665,2025-07-13 15:32:15.721491,0 days 00:00:54.367826,relu,prod,16,0.0015307655165609309,8,6,sigmoid,COMPLETE
