number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
38,0.0003458590363152325,2025-07-12 17:41:49.491990,2025-07-12 17:43:42.366139,0 days 00:01:52.874149,relu,16,37,0.003663301141285204,19,COMPLETE
39,0.00035757909063249826,2025-07-12 17:43:42.366984,2025-07-12 17:44:07.293996,0 days 00:00:24.927012,identity,128,84,0.005389650352844303,11,COMPLETE
40,0.0004709138011094183,2025-07-12 17:44:07.294605,2025-07-12 17:44:52.425617,0 days 00:00:45.131012,identity,64,60,0.001497300870386254,17,COMPLETE
41,0.00031092556309886277,2025-07-12 17:44:52.426240,2025-07-12 17:46:59.148632,0 days 00:02:06.722392,identity,16,49,0.002948723150373507,22,COMPLETE
42,0.0002932334318757057,2025-07-12 17:46:59.149514,2025-07-12 17:49:22.974205,0 days 00:02:23.824691,identity,16,65,0.0029332013593607676,23,COMPLETE
43,0.00031623870017938316,2025-07-12 17:49:22.975077,2025-07-12 17:52:00.108481,0 days 00:02:37.133404,identity,16,68,0.005059200427794292,25,COMPLETE
44,0.00037886950303800404,2025-07-12 17:52:00.109359,2025-07-12 17:54:16.321004,0 days 00:02:16.211645,identity,16,46,0.000980572167775855,23,COMPLETE
45,0.00034845186746679246,2025-07-12 17:54:16.321860,2025-07-12 17:56:43.942866,0 days 00:02:27.621006,identity,16,74,0.007991693375112909,21,COMPLETE
46,0.00031562807271257043,2025-07-12 17:56:43.943738,2025-07-12 17:58:47.000869,0 days 00:02:03.057131,relu,16,65,0.002403559501502194,19,COMPLETE
47,0.00038825179217383265,2025-07-12 17:58:47.001748,2025-07-12 17:59:39.311216,0 days 00:00:52.309468,identity,64,54,0.0018167011923583708,23,COMPLETE
48,0.000386699044611305,2025-07-12 17:59:39.311839,2025-07-12 18:00:42.022242,0 days 00:01:02.710403,identity,16,39,0.003717765371376977,8,COMPLETE
49,0.0010109998984262347,2025-07-12 18:00:42.023089,2025-07-12 18:01:29.144728,0 days 00:00:47.121639,identity,128,80,0.00048655223869000457,24,COMPLETE
50,0.00041006278479471803,2025-07-12 18:01:29.145348,2025-07-12 18:03:31.049359,0 days 00:02:01.904011,identity,16,56,0.0003672058776593657,20,COMPLETE
51,0.0003058635338675231,2025-07-12 18:03:31.050236,2025-07-12 18:05:36.258661,0 days 00:02:05.208425,identity,16,48,0.0028720115062634242,22,COMPLETE
52,0.0003100362082477659,2025-07-12 18:05:36.259546,2025-07-12 18:07:53.232348,0 days 00:02:16.972802,identity,16,68,0.0022841158340487573,21,COMPLETE
