number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.044842228293418884,2025-07-17 18:40:32.817895,2025-07-17 18:41:18.152312,0 days 00:00:45.334417,min,128,0.0007926338198626634,7,20,bell,COMPLETE
37,0.2990046441555023,2025-07-17 18:41:18.152966,2025-07-17 18:45:25.387156,0 days 00:04:07.234190,min,16,0.0001094593196484387,7,23,sigmoid,COMPLETE
38,0.2187909483909607,2025-07-17 18:45:25.387987,2025-07-17 18:46:27.975886,0 days 00:01:02.587899,prod,32,0.004464275501435068,6,7,gaussian,COMPLETE
39,1.9024189710617065,2025-07-17 18:46:27.976680,2025-07-17 18:46:59.141931,0 days 00:00:31.165251,min,128,0.0002484347969006323,7,12,bell,COMPLETE
40,0.06645001471042633,2025-07-17 18:46:59.142491,2025-07-17 18:48:51.168853,0 days 00:01:52.026362,min,32,0.0005905277199973731,9,18,sigmoid,COMPLETE
41,0.013278966769576073,2025-07-17 18:48:51.169709,2025-07-17 18:49:18.751195,0 days 00:00:27.581486,min,128,0.005341367975957797,7,10,bell,COMPLETE
42,1.4406682252883911,2025-07-17 18:49:18.751769,2025-07-17 18:49:47.194572,0 days 00:00:28.442803,min,128,0.006293515380539474,8,11,bell,COMPLETE
43,1.6862046718597412,2025-07-17 18:49:47.195215,2025-07-17 18:50:21.950572,0 days 00:00:34.755357,min,128,0.0029601298044158886,7,14,bell,COMPLETE
44,0.008913658559322357,2025-07-17 18:50:21.951099,2025-07-17 18:50:46.475951,0 days 00:00:24.524852,min,128,0.002007027680025294,6,9,bell,COMPLETE
45,0.5285347104072571,2025-07-17 18:50:46.476600,2025-07-17 18:51:27.560252,0 days 00:00:41.083652,min,64,0.0011300858891694007,6,9,bell,COMPLETE
46,0.9925986528396606,2025-07-17 18:51:27.560923,2025-07-17 18:52:46.612441,0 days 00:01:19.051518,prod,32,0.005683501957697092,5,12,gaussian,COMPLETE
47,0.34119296073913574,2025-07-17 18:52:46.613309,2025-07-17 18:53:09.919716,0 days 00:00:23.306407,min,128,0.008902374841483736,6,9,sigmoid,COMPLETE
48,0.0009099423768930137,2025-07-17 18:53:09.920266,2025-07-17 18:56:06.556654,0 days 00:02:56.636388,prod,16,0.0023162335118081007,6,15,gaussian,COMPLETE
49,0.10408003628253937,2025-07-17 18:56:06.557449,2025-07-17 18:59:03.387693,0 days 00:02:56.830244,prod,16,0.001004254273881691,6,15,gaussian,COMPLETE
50,0.09775868058204651,2025-07-17 18:59:03.388547,2025-07-17 19:02:08.060479,0 days 00:03:04.671932,prod,16,0.0022302473902589648,6,16,gaussian,COMPLETE
51,0.0007033986621536314,2025-07-17 19:02:08.061350,2025-07-17 19:04:56.156850,0 days 00:02:48.095500,prod,16,0.00421571770093051,6,14,gaussian,COMPLETE
52,0.14613035321235657,2025-07-17 19:04:56.157702,2025-07-17 19:07:44.157851,0 days 00:02:48.000149,prod,16,0.003859131732037677,6,14,gaussian,COMPLETE
53,0.00035189042682759464,2025-07-17 19:07:44.158753,2025-07-17 19:10:24.048299,0 days 00:02:39.889546,prod,16,0.002579609095959404,6,13,gaussian,COMPLETE
54,0.020568734034895897,2025-07-17 19:10:24.049196,2025-07-17 19:13:08.266411,0 days 00:02:44.217215,prod,16,0.0035619428957435395,5,15,gaussian,COMPLETE
55,0.16672609746456146,2025-07-17 19:13:08.267332,2025-07-17 19:15:47.797624,0 days 00:02:39.530292,prod,16,0.0026760380213080004,6,13,gaussian,COMPLETE
56,1.4522994756698608,2025-07-17 19:15:47.798485,2025-07-17 19:19:01.163361,0 days 00:03:13.364876,prod,16,0.0015688722206624775,6,17,gaussian,COMPLETE
57,0.0004939743666909635,2025-07-17 19:19:01.164293,2025-07-17 19:22:06.180243,0 days 00:03:05.015950,prod,16,0.0067802720741519116,6,16,gaussian,COMPLETE
58,0.0002982928999699652,2025-07-17 19:22:06.181135,2025-07-17 19:24:57.896443,0 days 00:02:51.715308,prod,16,0.0075269310184541815,5,16,gaussian,COMPLETE
59,0.0033711616415530443,2025-07-17 19:24:57.897346,2025-07-17 19:27:49.685033,0 days 00:02:51.787687,prod,16,0.009986792474663745,5,16,gaussian,COMPLETE
60,0.0022633466869592667,2025-07-17 19:27:49.685913,2025-07-17 19:30:56.772851,0 days 00:03:07.086938,prod,16,0.007876763855236852,5,18,gaussian,COMPLETE
61,0.00042059156112372875,2025-07-17 19:30:56.773772,2025-07-17 19:34:03.845083,0 days 00:03:07.071311,prod,16,0.006785577304613901,5,18,gaussian,COMPLETE
62,0.000322595500620082,2025-07-17 19:34:03.845988,2025-07-17 19:36:48.014967,0 days 00:02:44.168979,prod,16,0.007362818725816645,5,15,gaussian,COMPLETE
63,0.0049255238845944405,2025-07-17 19:36:48.015835,2025-07-17 19:39:32.095465,0 days 00:02:44.079630,prod,16,0.004672573207758402,5,15,gaussian,COMPLETE
64,0.00031078862957656384,2025-07-17 19:39:32.096365,2025-07-17 19:42:08.488237,0 days 00:02:36.391872,prod,16,0.006566701865158212,5,14,gaussian,COMPLETE
65,0.006333773955702782,2025-07-17 19:42:08.489087,2025-07-17 19:44:44.809962,0 days 00:02:36.320875,prod,16,0.006920603975567958,5,14,gaussian,COMPLETE
66,0.00029609992634505033,2025-07-17 19:44:44.810864,2025-07-17 19:47:36.426635,0 days 00:02:51.615771,prod,16,0.007175824984938512,5,16,gaussian,COMPLETE
