number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
38,0.0004921421059407294,2025-07-12 16:52:34.385926,2025-07-12 16:53:15.701717,0 days 00:00:41.315791,identity,16,74,0.0004801192951831029,11,COMPLETE
39,0.0006317916559055448,2025-07-12 16:53:15.702301,2025-07-12 16:53:59.272524,0 days 00:00:43.570223,identity,16,82,0.0011548900036424242,13,COMPLETE
40,0.000482400122564286,2025-07-12 16:53:59.273111,2025-07-12 16:54:41.180897,0 days 00:00:41.907786,identity,16,98,0.00030093807482100643,8,COMPLETE
41,0.00037230938323773444,2025-07-12 16:54:41.181489,2025-07-12 16:55:28.058439,0 days 00:00:46.876950,identity,16,87,0.0019189697240259405,14,COMPLETE
42,0.0005980569985695183,2025-07-12 16:55:28.059024,2025-07-12 16:56:11.221609,0 days 00:00:43.162585,identity,16,70,0.0014574073341029415,14,COMPLETE
43,0.0004034388985019177,2025-07-12 16:56:11.222171,2025-07-12 16:56:55.553200,0 days 00:00:44.331029,identity,16,89,0.0008953016955132558,12,COMPLETE
44,0.0003937172587029636,2025-07-12 16:56:55.553664,2025-07-12 16:57:37.972984,0 days 00:00:42.419320,identity,16,61,0.001961277920820759,16,COMPLETE
45,0.0005809059366583824,2025-07-12 16:57:37.973599,2025-07-12 16:58:26.802936,0 days 00:00:48.829337,identity,16,102,0.0018273582306689352,13,COMPLETE
46,0.0003291801258455962,2025-07-12 16:58:26.803537,2025-07-12 16:59:13.773774,0 days 00:00:46.970237,identity,16,72,0.0023696814193615618,19,COMPLETE
47,0.000504329102113843,2025-07-12 16:59:13.774361,2025-07-12 16:59:35.588473,0 days 00:00:21.814112,identity,64,72,0.0025038418712522844,19,COMPLETE
48,0.0003467835485935211,2025-07-12 16:59:35.588902,2025-07-12 17:00:17.112781,0 days 00:00:41.523879,identity,16,39,0.0012752417108984767,21,COMPLETE
49,0.00041216216050088406,2025-07-12 17:00:17.113372,2025-07-12 17:00:52.945567,0 days 00:00:35.832195,identity,16,22,0.000704715309095618,21,COMPLETE
50,0.0005631881067529321,2025-07-12 17:00:52.946179,2025-07-12 17:01:12.772229,0 days 00:00:19.826050,identity,64,39,0.000997315278760629,25,COMPLETE
51,0.00033168974914588034,2025-07-12 17:01:12.772804,2025-07-12 17:01:59.960324,0 days 00:00:47.187520,identity,16,66,0.0014267501782672227,20,COMPLETE
52,0.00032032886520028114,2025-07-12 17:01:59.960923,2025-07-12 17:02:41.556967,0 days 00:00:41.596044,identity,16,44,0.0030025013684489743,21,COMPLETE
53,0.00035289835068397224,2025-07-12 17:02:41.557565,2025-07-12 17:03:20.781697,0 days 00:00:39.224132,identity,16,29,0.0011291740818567758,23,COMPLETE
54,0.00035456762998364866,2025-07-12 17:03:20.782295,2025-07-12 17:04:04.078837,0 days 00:00:43.296542,identity,16,46,0.0022284197328444285,21,COMPLETE
55,0.00031614338513463736,2025-07-12 17:04:04.079429,2025-07-12 17:04:44.090215,0 days 00:00:40.010786,identity,16,38,0.002883541658763707,20,COMPLETE
56,0.0003804467269219458,2025-07-12 17:04:44.090811,2025-07-12 17:05:15.801324,0 days 00:00:31.710513,identity,16,12,0.0027925049405109676,20,COMPLETE
57,0.0003741002583410591,2025-07-12 17:05:15.801879,2025-07-12 17:05:35.860274,0 days 00:00:20.058395,identity,64,52,0.0033698293839683605,22,COMPLETE
58,0.0003287856816314161,2025-07-12 17:05:35.860699,2025-07-12 17:06:17.267204,0 days 00:00:41.406505,identity,16,48,0.001685570428885848,24,COMPLETE
59,0.0004281858855392784,2025-07-12 17:06:17.267797,2025-07-12 17:07:07.421954,0 days 00:00:50.154157,identity,16,65,0.0015371509694890033,24,COMPLETE
60,0.0003109262033831328,2025-07-12 17:07:07.422546,2025-07-12 17:07:50.430284,0 days 00:00:43.007738,identity,16,46,0.007419526493893602,22,COMPLETE
61,0.00032093460322357714,2025-07-12 17:07:50.430755,2025-07-12 17:08:31.278865,0 days 00:00:40.848110,identity,16,41,0.008183789323700804,22,COMPLETE
62,0.00031738626421429217,2025-07-12 17:08:31.279459,2025-07-12 17:09:13.043854,0 days 00:00:41.764395,identity,16,42,0.007406391078146819,24,COMPLETE
63,0.0003045150951948017,2025-07-12 17:09:13.044422,2025-07-12 17:09:57.904075,0 days 00:00:44.859653,identity,16,46,0.007787513012161735,24,COMPLETE
64,0.0003101035545114428,2025-07-12 17:09:57.904530,2025-07-12 17:10:42.164506,0 days 00:00:44.259976,identity,16,45,0.007748031909094446,24,COMPLETE
65,0.0003098076267633587,2025-07-12 17:10:42.165100,2025-07-12 17:11:25.918158,0 days 00:00:43.753058,identity,16,39,0.008207102750299932,24,COMPLETE
66,0.0003703847760334611,2025-07-12 17:11:25.918779,2025-07-12 17:12:06.797650,0 days 00:00:40.878871,identity,16,34,0.0075607655920673904,24,COMPLETE
67,0.00030675448942929506,2025-07-12 17:12:06.798268,2025-07-12 17:12:44.641726,0 days 00:00:37.843458,identity,16,28,0.006125229835605692,23,COMPLETE
68,0.00029845788958482444,2025-07-12 17:12:44.642334,2025-07-12 17:13:23.208715,0 days 00:00:38.566381,identity,16,27,0.005875203077058532,25,COMPLETE
69,0.00041690285434015095,2025-07-12 17:13:23.209366,2025-07-12 17:13:46.092710,0 days 00:00:22.883344,identity,32,26,0.005634513948925938,25,COMPLETE
70,0.00041199367842637,2025-07-12 17:13:46.093170,2025-07-12 17:14:20.991190,0 days 00:00:34.898020,identity,16,15,0.006334485311390314,23,COMPLETE
71,0.00030906693427823484,2025-07-12 17:14:20.991841,2025-07-12 17:15:02.399805,0 days 00:00:41.407964,identity,16,35,0.007037920191244105,24,COMPLETE
72,0.00035591048072092235,2025-07-12 17:15:02.400431,2025-07-12 17:15:44.653756,0 days 00:00:42.253325,identity,16,36,0.004770730138578474,25,COMPLETE
73,0.000301926804240793,2025-07-12 17:15:44.654410,2025-07-12 17:16:24.547430,0 days 00:00:39.893020,identity,16,30,0.008458142451267739,24,COMPLETE
74,0.00029751876718364656,2025-07-12 17:16:24.548051,2025-07-12 17:17:02.032723,0 days 00:00:37.484672,identity,16,22,0.00856263510643767,24,COMPLETE
75,0.0003365098382346332,2025-07-12 17:17:02.033337,2025-07-12 17:17:37.931082,0 days 00:00:35.897745,identity,16,20,0.009076092666523422,24,COMPLETE
76,0.00031542687793262303,2025-07-12 17:17:37.931663,2025-07-12 17:18:14.892496,0 days 00:00:36.960833,identity,16,26,0.006522084513553438,23,COMPLETE
77,0.0003096461296081543,2025-07-12 17:18:14.892930,2025-07-12 17:18:55.341054,0 days 00:00:40.448124,identity,16,29,0.00836391430645152,25,COMPLETE
78,0.0003617933252826333,2025-07-12 17:18:55.341696,2025-07-12 17:19:20.719857,0 days 00:00:25.378161,identity,32,31,0.005645634983729157,25,COMPLETE
79,0.00030288947164081037,2025-07-12 17:19:20.720448,2025-07-12 17:19:55.779768,0 days 00:00:35.059320,identity,16,19,0.008488794958205472,23,COMPLETE
80,0.00030974007677286863,2025-07-12 17:19:55.780219,2025-07-12 17:20:30.316181,0 days 00:00:34.535962,identity,16,18,0.004628660225244025,23,COMPLETE
81,0.00037446600617840886,2025-07-12 17:20:30.316848,2025-07-12 17:21:04.508288,0 days 00:00:34.191440,identity,16,17,0.009957576554029048,23,COMPLETE
82,0.00032000680221244693,2025-07-12 17:21:04.508926,2025-07-12 17:21:40.893960,0 days 00:00:36.385034,identity,16,25,0.004494454055223344,23,COMPLETE
83,0.00033007358433678746,2025-07-12 17:21:40.894597,2025-07-12 17:22:17.072843,0 days 00:00:36.178246,identity,16,19,0.006928262898701277,25,COMPLETE
84,0.0003022915043402463,2025-07-12 17:22:17.073433,2025-07-12 17:22:49.638102,0 days 00:00:32.564669,identity,16,12,0.005501824463190042,22,COMPLETE
85,0.000419416232034564,2025-07-12 17:22:49.638524,2025-07-12 17:23:20.181122,0 days 00:00:30.542598,identity,16,8,0.008909946351389924,22,COMPLETE
86,0.00035712344106286764,2025-07-12 17:23:20.181747,2025-07-12 17:23:54.979825,0 days 00:00:34.798078,identity,16,14,0.005293172045831682,25,COMPLETE
87,0.00029863938107155263,2025-07-12 17:23:54.980233,2025-07-12 17:24:33.091617,0 days 00:00:38.111384,identity,16,28,0.005794611164635099,24,COMPLETE
88,0.00031509759719483554,2025-07-12 17:24:33.092283,2025-07-12 17:25:07.993190,0 days 00:00:34.900907,identity,16,24,0.006100680135518064,22,COMPLETE
