number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
30,1.3225219249725342,2025-07-10 20:47:15.163659,2025-07-10 20:47:49.589719,0 days 00:00:34.426060,relu,prod,16,0.0030169822675267023,4,bell,False,2.490072926448742e-05,COMPLETE
31,4.018875642941566e-06,2025-07-10 20:47:49.590328,2025-07-10 20:48:19.711813,0 days 00:00:30.121485,relu,prod,16,0.007006262393771925,4,sigmoid,False,1.2962964871582113e-05,COMPLETE
32,3.860347078443738e-06,2025-07-10 20:48:19.712386,2025-07-10 20:48:48.090556,0 days 00:00:28.378170,relu,prod,16,0.00724898271246779,3,sigmoid,False,1.4278597260852915e-05,COMPLETE
33,4.036734480905579e-06,2025-07-10 20:48:48.091143,2025-07-10 20:49:14.739433,0 days 00:00:26.648290,relu,prod,16,0.009175868299309093,2,sigmoid,False,3.316620638220793e-05,COMPLETE
34,4.099907073396025e-06,2025-07-10 20:49:14.740022,2025-07-10 20:49:42.194377,0 days 00:00:27.454355,relu,min,16,0.006313985418114673,3,sigmoid,False,1.0099430180159434e-05,COMPLETE
35,4.20906872022897e-06,2025-07-10 20:49:42.194967,2025-07-10 20:50:10.571198,0 days 00:00:28.376231,relu,prod,16,0.0034236490059858637,3,sigmoid,False,2.193966900299425e-05,COMPLETE
36,6.226575351320207e-06,2025-07-10 20:50:10.571707,2025-07-10 20:50:36.686834,0 days 00:00:26.115127,relu,min,16,0.00027767829727595505,2,sigmoid,True,1.3738940795007222e-05,COMPLETE
37,4.095384610991459e-06,2025-07-10 20:50:36.687321,2025-07-10 20:51:15.490948,0 days 00:00:38.803627,relu,prod,16,0.00485212836860686,9,sigmoid,False,3.659935553808106e-05,COMPLETE
38,4.249411176715512e-06,2025-07-10 20:51:15.491536,2025-07-10 20:51:24.712027,0 days 00:00:09.220491,identity,min,64,0.007351660895222,4,sigmoid,False,2.7743066648244705e-05,COMPLETE
39,4.1394464460609015e-06,2025-07-10 20:51:24.712548,2025-07-10 20:52:00.169411,0 days 00:00:35.456863,relu,prod,16,0.0037635891684195105,7,sigmoid,True,1.3110340565892553e-05,COMPLETE
40,0.0010807038052007556,2025-07-10 20:52:00.169870,2025-07-10 20:52:05.792670,0 days 00:00:05.622800,identity,prod,128,0.0021234639459307746,3,sigmoid,False,4.628245966167671e-05,COMPLETE
41,4.170808551862137e-06,2025-07-10 20:52:05.793185,2025-07-10 20:52:32.337368,0 days 00:00:26.544183,relu,prod,16,0.00864170931517692,2,sigmoid,False,3.1908732508864566e-05,COMPLETE
42,4.149758296989603e-06,2025-07-10 20:52:32.337818,2025-07-10 20:52:58.931924,0 days 00:00:26.594106,relu,prod,16,0.005693008504124052,2,sigmoid,False,2.2657101036037948e-05,COMPLETE
43,3.775495088120806e-06,2025-07-10 20:52:58.932513,2025-07-10 20:53:27.332992,0 days 00:00:28.400479,relu,prod,16,0.00932499610619839,3,sigmoid,False,1.5856583401025848e-05,COMPLETE
44,0.0006286264979280531,2025-07-10 20:53:27.333595,2025-07-10 20:53:55.815385,0 days 00:00:28.481790,relu,prod,16,0.0005951658343609532,3,sigmoid,False,1.6291613431182194e-05,COMPLETE
45,3.846760591841303e-06,2025-07-10 20:53:55.815963,2025-07-10 20:54:06.706490,0 days 00:00:10.890527,relu,prod,64,0.00996594268487343,4,bell,True,1.2353441716212757e-05,COMPLETE
46,4.311472821427742e-06,2025-07-10 20:54:06.707082,2025-07-10 20:54:17.066580,0 days 00:00:10.359498,relu,prod,64,0.009868720833321755,3,bell,True,1.177128195743711e-05,COMPLETE
47,0.003326413221657276,2025-07-10 20:54:17.066993,2025-07-10 20:54:27.955788,0 days 00:00:10.888795,relu,prod,64,0.008200092653350958,4,bell,True,1.6236796084541426e-05,COMPLETE
48,0.0035927521530538797,2025-07-10 20:54:27.956355,2025-07-10 20:54:38.218140,0 days 00:00:10.261785,identity,prod,64,0.0054414418329367656,3,bell,True,2.002027796086983e-05,COMPLETE
49,4.823868493986083e-06,2025-07-10 20:54:38.218530,2025-07-10 20:54:49.237004,0 days 00:00:11.018474,relu,min,64,0.003100487262871838,5,bell,True,1.2020589484776405e-05,COMPLETE
50,1.3011765480041504,2025-07-10 20:54:49.237737,2025-07-10 20:54:55.635445,0 days 00:00:06.397708,relu,prod,128,0.008399083975000247,3,bell,True,0.0005870382645797755,COMPLETE
51,3.728201045305468e-05,2025-07-10 20:54:55.635822,2025-07-10 20:55:05.270552,0 days 00:00:09.634730,relu,prod,64,0.006443107108827793,4,sigmoid,False,1.5046173762219667e-05,COMPLETE
52,0.00011411656305426732,2025-07-10 20:55:05.270999,2025-07-10 20:55:14.908303,0 days 00:00:09.637304,relu,prod,64,0.007998199754442983,4,sigmoid,False,1.2109686845513498e-05,COMPLETE
53,4.120811354368925e-06,2025-07-10 20:55:14.908689,2025-07-10 20:55:43.409083,0 days 00:00:28.500394,relu,prod,16,0.009973288891802868,3,sigmoid,True,1.020366114422093e-05,COMPLETE
54,0.007400426547974348,2025-07-10 20:55:43.409659,2025-07-10 20:55:54.719596,0 days 00:00:11.309937,relu,prod,64,0.00410591577965195,5,bell,False,2.3117225356909256e-05,COMPLETE
55,0.01731807552278042,2025-07-10 20:55:54.719983,2025-07-10 20:56:00.663585,0 days 00:00:05.943602,relu,prod,128,0.00625521823245266,4,sigmoid,False,2.0249580997691352e-05,COMPLETE
56,4.0887152863433585e-06,2025-07-10 20:56:00.664132,2025-07-10 20:56:35.282445,0 days 00:00:34.618313,relu,prod,16,0.0052829832947446425,6,gaussian,False,1.4798054426406105e-05,COMPLETE
57,6.2902340687287506e-06,2025-07-10 20:56:35.283048,2025-07-10 20:56:44.233971,0 days 00:00:08.950923,relu,prod,64,0.00782396670010098,2,gaussian,False,1.7898631277561292e-05,COMPLETE
58,8.162241101672407e-06,2025-07-10 20:56:44.234545,2025-07-10 20:56:53.283043,0 days 00:00:09.048498,identity,prod,64,0.006655063482906503,3,sigmoid,True,1.2793759751100793e-05,COMPLETE
59,5.126807536726119e-06,2025-07-10 20:56:53.283423,2025-07-10 20:57:24.488222,0 days 00:00:31.204799,relu,prod,16,0.004481864697739926,4,gaussian,False,0.0001811141369675722,COMPLETE
60,0.00259168678894639,2025-07-10 20:57:24.488824,2025-07-10 20:57:34.775993,0 days 00:00:10.287169,relu,prod,64,0.008406227246257888,3,bell,False,4.0633600926229806e-05,COMPLETE
61,6.100804512243485e-06,2025-07-10 20:57:34.776381,2025-07-10 20:58:01.208947,0 days 00:00:26.432566,relu,prod,16,0.00978257989183385,2,sigmoid,False,3.0391114303648243e-05,COMPLETE
62,4.53330403615837e-06,2025-07-10 20:58:01.209553,2025-07-10 20:58:27.668141,0 days 00:00:26.458588,relu,prod,16,0.007089273922472769,2,sigmoid,False,2.5410926489677667e-05,COMPLETE
63,4.741668362839846e-06,2025-07-10 20:58:27.668721,2025-07-10 20:58:54.186379,0 days 00:00:26.517658,relu,prod,16,0.005961205575652034,2,sigmoid,False,6.107118043087362e-05,COMPLETE
64,0.04109570011496544,2025-07-10 20:58:54.186980,2025-07-10 20:59:22.448840,0 days 00:00:28.261860,relu,prod,16,0.00012994861751016733,3,sigmoid,False,0.00011167127053152896,COMPLETE
65,1.3225219249725342,2025-07-10 20:59:22.449445,2025-07-10 20:59:37.991599,0 days 00:00:15.542154,relu,prod,32,0.008750871100390606,2,gaussian,False,1.660316562642618e-05,COMPLETE
