number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
133,4.202976924716495e-06,2025-07-10 21:26:20.751565,2025-07-10 21:26:56.929435,0 days 00:00:36.177870,relu,prod,16,0.008292683325580768,7,gaussian,False,1.8935439756003968e-05,COMPLETE
134,4.316612375987461e-06,2025-07-10 21:26:56.930046,2025-07-10 21:27:28.030119,0 days 00:00:31.100073,relu,prod,16,0.009938863410145894,4,gaussian,False,1.1826801111849946e-05,COMPLETE
135,0.0006377552053891122,2025-07-10 21:27:28.030764,2025-07-10 21:27:33.699048,0 days 00:00:05.668284,relu,prod,128,0.004726807024741162,3,sigmoid,False,1.6743395037399435e-05,COMPLETE
136,0.9086527228355408,2025-07-10 21:27:33.699436,2025-07-10 21:27:43.156558,0 days 00:00:09.457122,relu,prod,64,0.00632972973539973,3,gaussian,True,9.147283774253511e-05,COMPLETE
137,3.821785412583267e-06,2025-07-10 21:27:43.157142,2025-07-10 21:28:10.840529,0 days 00:00:27.683387,relu,prod,16,0.007535918290867482,2,gaussian,False,0.00021501891588278092,COMPLETE
138,4.1119378693110775e-06,2025-07-10 21:28:10.841117,2025-07-10 21:28:38.123201,0 days 00:00:27.282084,identity,prod,16,0.009086942838968614,2,gaussian,False,0.00010255109391908962,COMPLETE
139,4.1517905629007146e-06,2025-07-10 21:28:38.123823,2025-07-10 21:28:53.052832,0 days 00:00:14.929009,relu,prod,32,0.007855070826575557,2,sigmoid,False,0.0003469278823226808,COMPLETE
140,4.01850320486119e-06,2025-07-10 21:28:53.053430,2025-07-10 21:29:20.713874,0 days 00:00:27.660444,relu,prod,16,0.005745371469553413,2,gaussian,False,0.00017845871930258125,COMPLETE
141,7.3015530688280705e-06,2025-07-10 21:29:20.714494,2025-07-10 21:29:48.300844,0 days 00:00:27.586350,relu,prod,16,0.00525228885076088,2,gaussian,False,0.00020431564273551837,COMPLETE
142,3.967034444940509e-06,2025-07-10 21:29:48.301490,2025-07-10 21:30:15.962901,0 days 00:00:27.661411,relu,prod,16,0.007123999249271525,2,gaussian,False,0.0002172594457544326,COMPLETE
143,5.3495773499889765e-06,2025-07-10 21:30:15.963507,2025-07-10 21:30:43.523169,0 days 00:00:27.559662,relu,prod,16,0.005759266555316837,2,gaussian,False,0.0002263798780327444,COMPLETE
144,6.478098384832265e-06,2025-07-10 21:30:43.523810,2025-07-10 21:31:11.059414,0 days 00:00:27.535604,relu,prod,16,0.006561360442734852,2,gaussian,False,0.0002286181649248741,COMPLETE
145,4.018575509689981e-06,2025-07-10 21:31:11.060026,2025-07-10 21:31:38.617475,0 days 00:00:27.557449,relu,prod,16,0.007245869666648821,2,gaussian,False,0.00019309563195416102,COMPLETE
146,4.1925850382540375e-06,2025-07-10 21:31:38.618113,2025-07-10 21:32:06.254037,0 days 00:00:27.635924,relu,prod,16,0.007371262296661074,2,gaussian,False,0.0002618093803603842,COMPLETE
147,6.576749456144171e-06,2025-07-10 21:32:06.254651,2025-07-10 21:32:33.826664,0 days 00:00:27.572013,relu,prod,16,0.005677338376771041,2,gaussian,False,0.00016652464608878174,COMPLETE
148,1.3225219249725342,2025-07-10 21:32:33.827293,2025-07-10 21:32:42.749681,0 days 00:00:08.922388,relu,prod,64,0.006905961894248924,2,gaussian,False,0.00020230096885665166,COMPLETE
149,0.9459770321846008,2025-07-10 21:32:42.750293,2025-07-10 21:33:11.387162,0 days 00:00:28.636869,relu,min,16,0.0063559985135759845,3,gaussian,False,0.00025948455344164043,COMPLETE
150,3.818703135038959e-06,2025-07-10 21:33:11.387724,2025-07-10 21:33:40.777722,0 days 00:00:29.389998,relu,prod,16,0.007500397450136759,3,gaussian,False,0.0001394132171665806,COMPLETE
151,4.440511474967934e-06,2025-07-10 21:33:40.778230,2025-07-10 21:34:10.115803,0 days 00:00:29.337573,relu,prod,16,0.007668577549971712,3,gaussian,False,0.00018826716604826297,COMPLETE
152,3.986210685980041e-06,2025-07-10 21:34:10.116446,2025-07-10 21:34:39.483593,0 days 00:00:29.367147,relu,prod,16,0.008560952296784925,3,gaussian,False,0.0001358954268450269,COMPLETE
153,0.006259131710976362,2025-07-10 21:34:39.484208,2025-07-10 21:35:08.891467,0 days 00:00:29.407259,relu,prod,16,0.00020290066849172012,3,gaussian,False,0.00013727926943829947,COMPLETE
154,4.00019962398801e-06,2025-07-10 21:35:08.892111,2025-07-10 21:35:38.290838,0 days 00:00:29.398727,relu,prod,16,0.008368964429293848,3,gaussian,False,0.00015488931952028717,COMPLETE
155,1.3225219249725342,2025-07-10 21:35:38.291457,2025-07-10 21:36:07.650597,0 days 00:00:29.359140,relu,prod,16,0.008466660182360822,3,gaussian,False,0.00016127093754757766,COMPLETE
156,4.109415840503061e-06,2025-07-10 21:36:07.651247,2025-07-10 21:36:36.987105,0 days 00:00:29.335858,relu,prod,16,0.008393264971383409,3,gaussian,False,0.00014221121732712813,COMPLETE
157,4.146425453654956e-06,2025-07-10 21:36:36.987730,2025-07-10 21:36:46.379128,0 days 00:00:09.391398,relu,prod,64,0.009249071249869584,3,gaussian,False,0.00011654558996674316,COMPLETE
158,3.9496826502727345e-06,2025-07-10 21:36:46.379742,2025-07-10 21:37:15.779101,0 days 00:00:29.399359,relu,prod,16,0.007255129628683789,3,gaussian,False,0.00017556971064713845,COMPLETE
159,4.1263488128606696e-06,2025-07-10 21:37:15.779726,2025-07-10 21:37:44.847668,0 days 00:00:29.067942,identity,prod,16,0.00997994468803287,3,gaussian,False,0.00017234533721406127,COMPLETE
160,4.1618163777457085e-06,2025-07-10 21:37:44.848303,2025-07-10 21:38:01.285561,0 days 00:00:16.437258,relu,prod,32,0.007869923341504917,3,gaussian,False,0.00012605461698114346,COMPLETE
161,3.879584255628288e-06,2025-07-10 21:38:01.285998,2025-07-10 21:38:30.675410,0 days 00:00:29.389412,relu,prod,16,0.007317192929812759,3,gaussian,False,0.0001916513918131627,COMPLETE
162,4.344542503531557e-06,2025-07-10 21:38:30.676050,2025-07-10 21:39:00.031336,0 days 00:00:29.355286,relu,prod,16,0.008510683285161347,3,gaussian,False,0.0001499510391864931,COMPLETE
163,7.408735200442607e-06,2025-07-10 21:39:00.031991,2025-07-10 21:39:29.422187,0 days 00:00:29.390196,relu,prod,16,0.006997369758271201,3,gaussian,False,0.00023691060195934387,COMPLETE
164,4.135436483920785e-06,2025-07-10 21:39:29.422832,2025-07-10 21:39:58.802416,0 days 00:00:29.379584,relu,prod,16,0.009120672176137556,3,gaussian,False,0.00017514214846330297,COMPLETE
165,4.337887730798684e-06,2025-07-10 21:39:58.803043,2025-07-10 21:40:28.210133,0 days 00:00:29.407090,relu,prod,16,0.007538309872771062,3,gaussian,False,0.000207357616112989,COMPLETE
166,1.3225219249725342,2025-07-10 21:40:28.210780,2025-07-10 21:40:57.658781,0 days 00:00:29.448001,relu,prod,16,0.008484846421917642,3,gaussian,False,0.00030215122947834547,COMPLETE
167,5.6297653827641625e-06,2025-07-10 21:40:57.659404,2025-07-10 21:41:07.938195,0 days 00:00:10.278791,relu,prod,64,0.00638777950003821,3,bell,False,0.00013981291676639585,COMPLETE
168,4.246042408340145e-06,2025-07-10 21:41:07.938825,2025-07-10 21:41:37.330540,0 days 00:00:29.391715,relu,prod,16,0.008125790351089986,3,gaussian,False,0.00012538892269438041,COMPLETE
169,0.00023256703570950776,2025-07-10 21:41:37.331177,2025-07-10 21:41:43.185513,0 days 00:00:05.854336,relu,prod,128,0.00933930682170874,3,gaussian,False,0.00018020658698597467,COMPLETE
170,3.904965979018016e-06,2025-07-10 21:41:43.186109,2025-07-10 21:42:12.182661,0 days 00:00:28.996552,identity,prod,16,0.007346312870555546,3,gaussian,False,0.00015900314481263802,COMPLETE
171,3.952047336497344e-06,2025-07-10 21:42:12.183318,2025-07-10 21:42:41.203137,0 days 00:00:29.019819,identity,prod,16,0.00724570789789317,3,gaussian,False,0.00016154022021458024,COMPLETE
172,3.838671545963734e-06,2025-07-10 21:42:41.203769,2025-07-10 21:43:10.183667,0 days 00:00:28.979898,identity,prod,16,0.00728711694889397,3,gaussian,False,0.0001602169745991495,COMPLETE
173,4.131136392970802e-06,2025-07-10 21:43:10.184294,2025-07-10 21:43:39.155106,0 days 00:00:28.970812,identity,prod,16,0.006959645405294146,3,gaussian,False,0.00015223225257561556,COMPLETE
174,4.089866706635803e-06,2025-07-10 21:43:39.155746,2025-07-10 21:44:08.167940,0 days 00:00:29.012194,identity,prod,16,0.0075502844036023425,3,gaussian,False,0.00016188321087848284,COMPLETE
175,4.832289050682448e-06,2025-07-10 21:44:08.168577,2025-07-10 21:44:37.193221,0 days 00:00:29.024644,identity,prod,16,0.0066151137549578486,3,gaussian,False,0.0002132174124084819,COMPLETE
176,2.5282655769842677e-05,2025-07-10 21:44:37.193870,2025-07-10 21:44:53.460736,0 days 00:00:16.266866,identity,prod,32,0.007769251165804359,3,gaussian,False,0.00024823833426627147,COMPLETE
177,4.087296019861242e-06,2025-07-10 21:44:53.461358,2025-07-10 21:45:22.478672,0 days 00:00:29.017314,identity,prod,16,0.0060714951753452675,3,gaussian,False,0.00013049113943119038,COMPLETE
178,7.813728007022291e-05,2025-07-10 21:45:22.479317,2025-07-10 21:45:31.790022,0 days 00:00:09.310705,identity,prod,64,0.008619924135050566,3,gaussian,False,0.00010469047084365104,COMPLETE
179,0.0010762877063825727,2025-07-10 21:45:31.790458,2025-07-10 21:46:03.190387,0 days 00:00:31.399929,identity,min,16,0.003272159869658798,3,bell,False,0.00019222869828269763,COMPLETE
180,3.958366505685262e-06,2025-07-10 21:46:03.191062,2025-07-10 21:46:32.134223,0 days 00:00:28.943161,identity,prod,16,0.00715209111963548,3,gaussian,False,0.00015780503307577282,COMPLETE
181,3.696639168992988e-06,2025-07-10 21:46:32.134814,2025-07-10 21:47:01.060732,0 days 00:00:28.925918,identity,prod,16,0.007209232084707443,3,gaussian,False,0.0001619111298519998,COMPLETE
182,4.525992608250817e-06,2025-07-10 21:47:01.061216,2025-07-10 21:47:29.981956,0 days 00:00:28.920740,identity,prod,16,0.0071298400211775555,3,gaussian,False,0.0001413521910951994,COMPLETE
183,3.7891732063144445e-06,2025-07-10 21:47:29.982592,2025-07-10 21:47:58.957677,0 days 00:00:28.975085,identity,prod,16,0.006700716490552966,3,gaussian,False,0.00017108198798320443,COMPLETE
184,3.813606554103899e-06,2025-07-10 21:47:58.958322,2025-07-10 21:48:27.943093,0 days 00:00:28.984771,identity,prod,16,0.00650102189755694,3,gaussian,False,0.00021750938373643698,COMPLETE
185,2.279719956277404e-05,2025-07-10 21:48:27.943720,2025-07-10 21:48:56.927857,0 days 00:00:28.984137,identity,prod,16,0.006224022372171924,3,gaussian,False,0.0007321050542412003,COMPLETE
186,3.937118435715092e-06,2025-07-10 21:48:56.928500,2025-07-10 21:49:25.957706,0 days 00:00:29.029206,identity,prod,16,0.0069383473447726515,3,gaussian,False,0.00018029326236992965,COMPLETE
187,6.379248952725902e-05,2025-07-10 21:49:25.958336,2025-07-10 21:49:35.266182,0 days 00:00:09.307846,identity,prod,64,0.006650837568888323,3,gaussian,False,0.0001884951182882842,COMPLETE
188,4.141858880757354e-06,2025-07-10 21:49:35.266588,2025-07-10 21:49:51.502143,0 days 00:00:16.235555,identity,prod,32,0.00579602557688085,3,gaussian,False,0.00016851963758960186,COMPLETE
189,0.00020521470287349075,2025-07-10 21:49:51.502780,2025-07-10 21:50:20.445494,0 days 00:00:28.942714,identity,prod,16,0.0014127682449241428,3,gaussian,False,0.00028689077523765937,COMPLETE
190,4.2615606616891455e-06,2025-07-10 21:50:20.446115,2025-07-10 21:50:49.372634,0 days 00:00:28.926519,identity,prod,16,0.007844447531244057,3,gaussian,False,0.00019571066496541792,COMPLETE
191,4.001357410743367e-06,2025-07-10 21:50:49.373276,2025-07-10 21:51:18.310997,0 days 00:00:28.937721,identity,prod,16,0.006679479801506112,3,gaussian,False,0.0001686986438818192,COMPLETE
192,3.7080344554851763e-06,2025-07-10 21:51:18.311629,2025-07-10 21:51:47.326743,0 days 00:00:29.015114,identity,prod,16,0.007387336013842675,3,gaussian,False,0.00021990560154279862,COMPLETE
193,4.091156370122917e-06,2025-07-10 21:51:47.327380,2025-07-10 21:52:16.350177,0 days 00:00:29.022797,identity,prod,16,0.007654278191425336,3,gaussian,False,0.000224162847035171,COMPLETE
194,3.702628418977838e-06,2025-07-10 21:52:16.350828,2025-07-10 21:52:45.343471,0 days 00:00:28.992643,identity,prod,16,0.006329460397970438,3,gaussian,False,0.00017993211123408607,COMPLETE
195,4.281922429072438e-06,2025-07-10 21:52:45.344100,2025-07-10 21:53:14.345710,0 days 00:00:29.001610,identity,prod,16,0.006558690406759126,3,gaussian,False,0.0002070105061222898,COMPLETE
196,0.007395687513053417,2025-07-10 21:53:14.346364,2025-07-10 21:53:46.540587,0 days 00:00:32.194223,identity,prod,16,0.005495590470493329,3,bell,False,0.00024705902986368335,COMPLETE
197,0.002866174094378948,2025-07-10 21:53:46.541224,2025-07-10 21:53:55.871425,0 days 00:00:09.330201,identity,prod,64,0.006117239039829319,3,gaussian,False,0.0001789577029793446,COMPLETE
198,7.64849301049253e-06,2025-07-10 21:53:55.871832,2025-07-10 21:54:24.893104,0 days 00:00:29.021272,identity,prod,16,0.004797800372315801,3,gaussian,False,0.00018457637930698113,COMPLETE
199,0.004707317799329758,2025-07-10 21:54:24.893753,2025-07-10 21:54:54.005110,0 days 00:00:29.111357,identity,prod,16,0.0007112283174888898,3,gaussian,False,0.00020386081466511455,COMPLETE
200,4.164146503171651e-06,2025-07-10 21:54:54.005759,2025-07-10 21:55:10.281407,0 days 00:00:16.275648,identity,prod,32,0.007854925744846458,3,gaussian,False,0.00014511196615291653,COMPLETE
201,4.61949139207718e-06,2025-07-10 21:55:10.282042,2025-07-10 21:55:39.337223,0 days 00:00:29.055181,identity,prod,16,0.0072081112865433755,3,gaussian,False,0.00016372494523025856,COMPLETE
202,4.138514213991584e-06,2025-07-10 21:55:39.337851,2025-07-10 21:56:08.379573,0 days 00:00:29.041722,identity,prod,16,0.008988938142440997,3,gaussian,False,0.00022375497700919417,COMPLETE
203,3.711812496476341e-06,2025-07-10 21:56:08.380233,2025-07-10 21:56:37.381904,0 days 00:00:29.001671,identity,prod,16,0.007211280187125517,3,gaussian,False,0.00017958646561059074,COMPLETE
204,4.125296527490718e-06,2025-07-10 21:56:37.382532,2025-07-10 21:57:16.286334,0 days 00:00:38.903802,identity,prod,16,0.007990518447258895,9,gaussian,False,0.00018020411748296937,COMPLETE
205,4.0591876313555986e-06,2025-07-10 21:57:16.287010,2025-07-10 21:57:45.269537,0 days 00:00:28.982527,identity,prod,16,0.006193693091118285,3,gaussian,False,0.0001971392663077686,COMPLETE
206,4.03189233111334e-06,2025-07-10 21:57:45.270459,2025-07-10 21:58:14.226266,0 days 00:00:28.955807,identity,prod,16,0.009269467679486743,3,gaussian,False,0.00027127842131271265,COMPLETE
207,3.992932761320844e-06,2025-07-10 21:58:14.226924,2025-07-10 21:58:43.193148,0 days 00:00:28.966224,identity,prod,16,0.006619486956789669,3,gaussian,False,0.00023704550482555304,COMPLETE
208,1.4021693459653761e-05,2025-07-10 21:58:43.193794,2025-07-10 21:58:49.001682,0 days 00:00:05.807888,identity,prod,128,0.008109618082269052,3,gaussian,False,0.00044117702504901956,COMPLETE
209,3.806414497375954e-06,2025-07-10 21:58:49.002083,2025-07-10 21:58:58.281326,0 days 00:00:09.279243,identity,prod,64,0.009959403516801827,3,gaussian,False,0.00021572803289924623,COMPLETE
210,0.021382533013820648,2025-07-10 21:58:58.281721,2025-07-10 21:59:08.274395,0 days 00:00:09.992674,identity,min,64,0.009680926600793428,3,bell,False,0.00022005892410929888,COMPLETE
211,9.790389412955847e-06,2025-07-10 21:59:08.274956,2025-07-10 21:59:17.559299,0 days 00:00:09.284343,identity,prod,64,0.008597802338830916,3,gaussian,False,0.00018576858692619447,COMPLETE
212,4.140723831369542e-06,2025-07-10 21:59:17.559734,2025-07-10 21:59:26.852380,0 days 00:00:09.292646,identity,prod,64,0.007424832069700123,3,gaussian,False,0.00020253501563780306,COMPLETE
213,0.00023687188513576984,2025-07-10 21:59:26.852859,2025-07-10 21:59:36.150267,0 days 00:00:09.297408,identity,prod,64,0.009886489454124108,3,gaussian,False,0.00017323627953602747,COMPLETE
214,4.202745003567543e-06,2025-07-10 21:59:36.150665,2025-07-10 21:59:45.446434,0 days 00:00:09.295769,identity,prod,64,0.00888960979521948,3,gaussian,False,0.00014982323209222664,COMPLETE
215,4.132952653890243e-06,2025-07-10 21:59:45.446983,2025-07-10 22:00:14.481008,0 days 00:00:29.034025,identity,prod,16,0.006899310285925149,3,gaussian,False,0.00023560924327908873,COMPLETE
216,3.957545686716912e-06,2025-07-10 22:00:14.481515,2025-07-10 22:00:43.451836,0 days 00:00:28.970321,identity,prod,16,0.007880241548381232,3,gaussian,False,0.00020843637846031397,COMPLETE
217,0.0001230780762853101,2025-07-10 22:00:43.452496,2025-07-10 22:01:12.580522,0 days 00:00:29.128026,identity,prod,16,0.00898764880496978,3,gaussian,True,0.00016880642199974322,COMPLETE
218,3.982723683293443e-06,2025-07-10 22:01:12.581159,2025-07-10 22:01:28.874779,0 days 00:00:16.293620,identity,prod,32,0.007568532404280632,3,gaussian,False,0.00015868539513163684,COMPLETE
219,1.907575460791122e-05,2025-07-10 22:01:28.875439,2025-07-10 22:01:38.160241,0 days 00:00:09.284802,identity,prod,64,0.005966798153414942,3,gaussian,False,0.00019542182034244074,COMPLETE
220,5.700906058336841e-06,2025-07-10 22:01:38.160652,2025-07-10 22:02:07.102204,0 days 00:00:28.941552,identity,prod,16,0.009993876544824165,3,gaussian,False,0.00012405655113782667,COMPLETE
221,3.965894393331837e-06,2025-07-10 22:02:07.102850,2025-07-10 22:02:36.185574,0 days 00:00:29.082724,identity,prod,16,0.0071803757886187885,3,gaussian,False,0.00015220052156335846,COMPLETE
222,4.762875050801085e-06,2025-07-10 22:02:36.186242,2025-07-10 22:03:05.249717,0 days 00:00:29.063475,identity,prod,16,0.006882849128071417,3,gaussian,False,0.00018081816791613511,COMPLETE
223,4.016857474198332e-06,2025-07-10 22:03:05.250366,2025-07-10 22:03:34.299159,0 days 00:00:29.048793,identity,prod,16,0.008299997355717537,3,gaussian,False,0.00016418757885114168,COMPLETE
224,3.9269484659598675e-06,2025-07-10 22:03:34.299823,2025-07-10 22:04:03.318621,0 days 00:00:29.018798,identity,prod,16,0.007370038374892578,3,gaussian,False,0.0002164419762236733,COMPLETE
225,9.819460501603317e-06,2025-07-10 22:04:03.319279,2025-07-10 22:04:32.358863,0 days 00:00:29.039584,identity,prod,16,0.0064214001744647515,3,gaussian,False,0.00024970445226099336,COMPLETE
226,4.085908585693687e-06,2025-07-10 22:04:32.359494,2025-07-10 22:05:01.327589,0 days 00:00:28.968095,identity,prod,16,0.008325137340629181,3,gaussian,False,0.00021612286282661304,COMPLETE
227,4.199274371785577e-06,2025-07-10 22:05:01.328242,2025-07-10 22:05:30.354872,0 days 00:00:29.026630,identity,prod,16,0.00753042126233247,3,gaussian,False,1.0064234260100608e-05,COMPLETE
228,4.245016953063896e-06,2025-07-10 22:05:30.355518,2025-07-10 22:06:07.867971,0 days 00:00:37.512453,identity,prod,16,0.0055719268062234826,8,gaussian,False,1.1248042757600027e-05,COMPLETE
229,0.20043626427650452,2025-07-10 22:06:07.868620,2025-07-10 22:06:17.161646,0 days 00:00:09.293026,identity,prod,64,0.0017625305546202018,3,gaussian,False,0.000192402935543471,COMPLETE
230,3.971710611949675e-06,2025-07-10 22:06:17.162066,2025-07-10 22:06:46.240629,0 days 00:00:29.078563,identity,prod,16,0.008986395092784354,3,gaussian,False,0.00022157049599300988,COMPLETE
231,4.087045454070903e-06,2025-07-10 22:06:46.241293,2025-07-10 22:07:15.326035,0 days 00:00:29.084742,identity,prod,16,0.007088787810122646,3,gaussian,False,0.0001640001249126769,COMPLETE
232,4.1291045818070415e-06,2025-07-10 22:07:15.326690,2025-07-10 22:07:44.398255,0 days 00:00:29.071565,identity,prod,16,0.007366153466704268,3,gaussian,False,0.00013620250984177157,COMPLETE
233,5.565567789744819e-06,2025-07-10 22:07:44.398913,2025-07-10 22:08:13.466646,0 days 00:00:29.067733,identity,prod,16,0.006578029256549895,3,gaussian,False,0.0001807901419587499,COMPLETE
234,4.330377578298794e-06,2025-07-10 22:08:13.467308,2025-07-10 22:08:42.527121,0 days 00:00:29.059813,identity,prod,16,0.00819852558760452,3,gaussian,False,0.0001971219965310845,COMPLETE
235,4.0740651456872e-06,2025-07-10 22:08:42.527775,2025-07-10 22:09:11.593114,0 days 00:00:29.065339,identity,prod,16,0.007159611534827119,3,gaussian,False,0.0001547105480340255,COMPLETE
236,4.688385615736479e-06,2025-07-10 22:09:11.593780,2025-07-10 22:09:29.534392,0 days 00:00:17.940612,identity,prod,32,0.007857598262479703,3,bell,False,1.2234809048689071e-05,COMPLETE
237,7.608282885485096e-06,2025-07-10 22:09:29.535038,2025-07-10 22:09:58.713122,0 days 00:00:29.178084,identity,prod,16,0.006315916229095039,3,gaussian,True,0.00018010686400718546,COMPLETE
238,3.9668575482210144e-06,2025-07-10 22:09:58.713799,2025-07-10 22:10:37.868050,0 days 00:00:39.154251,identity,prod,16,0.009268785982914396,9,gaussian,False,0.0002113173386691793,COMPLETE
239,0.00045656246948055923,2025-07-10 22:10:37.868714,2025-07-10 22:11:06.954147,0 days 00:00:29.085433,identity,prod,16,0.0004455472820375494,3,gaussian,False,0.00028537687293560005,COMPLETE
240,4.677129709307337e-06,2025-07-10 22:11:06.954819,2025-07-10 22:11:16.250270,0 days 00:00:09.295451,identity,prod,64,0.008494334084760257,3,gaussian,False,0.00014580291734723948,COMPLETE
241,4.320609150454402e-06,2025-07-10 22:11:16.250690,2025-07-10 22:11:45.347921,0 days 00:00:29.097231,identity,prod,16,0.0077473685351693335,3,gaussian,False,0.00021349827781085302,COMPLETE
242,4.055647877976298e-06,2025-07-10 22:11:45.348562,2025-07-10 22:12:14.398617,0 days 00:00:29.050055,identity,prod,16,0.006860032901429753,3,gaussian,False,0.00023411873664488012,COMPLETE
243,4.148316747887293e-06,2025-07-10 22:12:14.399283,2025-07-10 22:12:43.482551,0 days 00:00:29.083268,identity,prod,16,0.007677794435263949,3,gaussian,False,8.020013244565175e-05,COMPLETE
244,4.011639703094261e-06,2025-07-10 22:12:43.483217,2025-07-10 22:13:12.563505,0 days 00:00:29.080288,identity,prod,16,0.008099788416720646,3,gaussian,False,0.00019103702009843016,COMPLETE
245,3.875668880937155e-06,2025-07-10 22:13:12.564169,2025-07-10 22:13:41.633063,0 days 00:00:29.068894,identity,prod,16,0.006761488258608194,3,gaussian,False,0.00017145858217721018,COMPLETE
246,4.1540379243087955e-06,2025-07-10 22:13:41.633710,2025-07-10 22:14:10.699458,0 days 00:00:29.065748,identity,prod,16,0.006049355825734701,3,gaussian,False,0.00016482073728330208,COMPLETE
247,4.596653980115661e-06,2025-07-10 22:14:10.700111,2025-07-10 22:14:39.715723,0 days 00:00:29.015612,identity,prod,16,0.006791543208432263,3,gaussian,False,0.00016659848164693399,COMPLETE
248,3.9664405449002516e-06,2025-07-10 22:14:39.716368,2025-07-10 22:15:08.720517,0 days 00:00:29.004149,identity,prod,16,0.007150349502895694,3,gaussian,False,0.00017305266644405967,COMPLETE
249,4.052222266182071e-06,2025-07-10 22:15:08.721172,2025-07-10 22:15:24.722665,0 days 00:00:16.001493,identity,min,32,0.006342962865781178,3,gaussian,False,1.4872320948583766e-05,COMPLETE
250,0.005040657240897417,2025-07-10 22:15:24.723253,2025-07-10 22:15:30.534023,0 days 00:00:05.810770,identity,prod,128,0.00905882521156377,3,gaussian,False,0.0001517480545380765,COMPLETE
251,9.930829401127994e-05,2025-07-10 22:15:30.534431,2025-07-10 22:16:06.348221,0 days 00:00:35.813790,identity,prod,16,0.005821961540269706,5,bell,False,0.00019040338839685132,COMPLETE
252,0.16707636415958405,2025-07-10 22:16:06.348889,2025-07-10 22:16:16.158703,0 days 00:00:09.809814,identity,prod,64,0.009939663537118858,4,gaussian,False,1.299879117956515e-05,COMPLETE
253,8.108031033771113e-05,2025-07-10 22:16:16.159128,2025-07-10 22:16:45.408043,0 days 00:00:29.248915,identity,prod,16,0.007239885786143526,3,gaussian,True,0.0002490472373255495,COMPLETE
254,1.3225219249725342,2025-07-10 22:16:45.408697,2025-07-10 22:17:14.934887,0 days 00:00:29.526190,relu,prod,16,0.0011713581339000678,3,gaussian,False,0.00019974013217110352,COMPLETE
255,4.209130565868691e-06,2025-07-10 22:17:14.935534,2025-07-10 22:17:44.050272,0 days 00:00:29.114738,identity,prod,16,0.008586617760600563,3,gaussian,False,1.1089141804479107e-05,COMPLETE
256,4.536755568551598e-06,2025-07-10 22:17:44.050964,2025-07-10 22:17:53.461856,0 days 00:00:09.410892,relu,prod,64,0.006606534248963494,3,gaussian,False,0.00012945570317786874,COMPLETE
257,3.915235538443085e-06,2025-07-10 22:17:53.462260,2025-07-10 22:18:22.502378,0 days 00:00:29.040118,identity,prod,16,0.007747790845079644,3,gaussian,False,0.0001746349644191595,COMPLETE
258,4.2634874262148514e-06,2025-07-10 22:18:22.503047,2025-07-10 22:18:51.569969,0 days 00:00:29.066922,identity,prod,16,0.007992049276699312,3,gaussian,False,6.937841312237513e-05,COMPLETE
259,4.142096713621868e-06,2025-07-10 22:18:51.570638,2025-07-10 22:19:08.039982,0 days 00:00:16.469344,relu,prod,32,0.009079837408836049,3,gaussian,False,0.00017905969207172403,COMPLETE
260,5.097243047202937e-06,2025-07-10 22:19:08.040631,2025-07-10 22:19:37.062951,0 days 00:00:29.022320,identity,prod,16,0.00528476210054235,3,gaussian,False,0.00021681376160655102,COMPLETE
261,0.02516915276646614,2025-07-10 22:19:37.063616,2025-07-10 22:20:11.450170,0 days 00:00:34.386554,relu,prod,16,0.007503950307024524,4,bell,False,1.6843079028562196e-05,COMPLETE
262,6.379214937624056e-06,2025-07-10 22:20:11.450828,2025-07-10 22:20:20.736178,0 days 00:00:09.285350,identity,prod,64,0.008530196892437525,3,gaussian,False,0.00017555283263287914,COMPLETE
263,4.146436822338728e-06,2025-07-10 22:20:20.736596,2025-07-10 22:20:49.048563,0 days 00:00:28.311967,relu,prod,16,0.00660872773832955,3,sigmoid,False,0.00019928098508124363,COMPLETE
264,0.0004926270339637995,2025-07-10 22:20:49.049239,2025-07-10 22:21:18.297357,0 days 00:00:29.248118,identity,prod,16,0.009896663856360862,3,gaussian,True,0.00015298416694013058,COMPLETE
265,4.019635980512248e-06,2025-07-10 22:21:18.298024,2025-07-10 22:21:47.720158,0 days 00:00:29.422134,relu,prod,16,0.007901983594591466,3,gaussian,False,0.00022499951344807204,COMPLETE
266,5.7993306654680055e-06,2025-07-10 22:21:47.720844,2025-07-10 22:22:18.531221,0 days 00:00:30.810377,identity,prod,16,0.005951295095633742,4,gaussian,False,0.00026437120128541884,COMPLETE
267,4.1977118598879315e-06,2025-07-10 22:22:18.531877,2025-07-10 22:22:34.840632,0 days 00:00:16.308755,identity,prod,32,0.009088162518626633,3,gaussian,False,1.4216644635883382e-05,COMPLETE
268,4.145369530306198e-06,2025-07-10 22:22:34.841280,2025-07-10 22:22:44.085330,0 days 00:00:09.244050,relu,min,64,0.007265306508925532,3,gaussian,False,0.00014018116383224054,COMPLETE
269,4.444533260539174e-06,2025-07-10 22:22:44.085900,2025-07-10 22:23:21.779253,0 days 00:00:37.693353,identity,prod,16,0.00840171781958346,8,gaussian,False,0.00018083449583117912,COMPLETE
