number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
37,1.316388487815857,2025-07-07 12:06:44.809220,2025-07-07 12:10:31.872781,0 days 00:03:47.063561,relu,16,91,0.0001681340253655402,18,COMPLETE
38,0.006844976916909218,2025-07-07 12:10:31.873451,2025-07-07 12:10:55.509376,0 days 00:00:23.635925,identity,128,101,0.00013769969956060833,10,COMPLETE
39,1.5979470845195465e-05,2025-07-07 12:10:55.509921,2025-07-07 12:11:53.327199,0 days 00:00:57.817278,relu,32,79,0.0001985279238021431,15,COMPLETE
40,1.849278669396881e-05,2025-07-07 12:11:53.327863,2025-07-07 12:12:43.235733,0 days 00:00:49.907870,identity,64,113,0.00031167113550871045,17,COMPLETE
41,4.36877280662884e-06,2025-07-07 12:12:43.236442,2025-07-07 12:14:58.571459,0 days 00:02:15.335017,identity,16,72,0.0004630090257586335,20,COMPLETE
42,6.565745934494771e-06,2025-07-07 12:14:58.572129,2025-07-07 12:17:04.077982,0 days 00:02:05.505853,identity,16,58,0.0008357444276126207,19,COMPLETE
43,3.702095455082599e-06,2025-07-07 12:17:04.078679,2025-07-07 12:21:33.650239,0 days 00:04:29.571560,identity,16,85,0.00022693770820910678,18,COMPLETE
44,3.949491201638011e-06,2025-07-07 12:21:33.650972,2025-07-07 12:25:55.832196,0 days 00:04:22.181224,relu,16,87,0.00022611270466108937,18,COMPLETE
45,4.30030922871083e-06,2025-07-07 12:25:55.832968,2025-07-07 12:30:12.940729,0 days 00:04:17.107761,relu,16,102,0.00022406098701901523,17,COMPLETE
46,0.009828241541981697,2025-07-07 12:30:12.941489,2025-07-07 12:30:49.148143,0 days 00:00:36.206654,relu,128,87,0.00013978300648408154,18,COMPLETE
47,8.597582564107142e-06,2025-07-07 12:30:49.148960,2025-07-07 12:32:19.369997,0 days 00:01:30.221037,relu,16,66,0.00017179946101801368,14,COMPLETE
48,1.3169734477996826,2025-07-07 12:32:19.370677,2025-07-07 12:36:02.880209,0 days 00:03:43.509532,relu,16,98,0.0001164299784035675,15,COMPLETE
49,1.3165440559387207,2025-07-07 12:36:02.880923,2025-07-07 12:37:09.215403,0 days 00:01:06.334480,relu,32,87,0.0003338910974494854,17,COMPLETE
50,1.3167331218719482,2025-07-07 12:37:09.216088,2025-07-07 12:41:04.354580,0 days 00:03:55.138492,relu,16,90,0.0002456903626606422,16,COMPLETE
51,3.4259021504112752e-06,2025-07-07 12:41:04.355303,2025-07-07 12:45:39.731951,0 days 00:04:35.376648,identity,16,79,0.00019764759374283917,19,COMPLETE
52,3.4446909467078513e-06,2025-07-07 12:45:39.732671,2025-07-07 12:50:24.599952,0 days 00:04:44.867281,identity,16,107,0.00018255824196926996,18,COMPLETE
53,3.4772906474245246e-06,2025-07-07 12:50:24.600630,2025-07-07 12:55:31.925014,0 days 00:05:07.324384,identity,16,107,0.00018705988118312533,19,COMPLETE
54,3.623996235546656e-06,2025-07-07 12:55:31.925729,2025-07-07 13:00:31.407641,0 days 00:04:59.481912,identity,16,107,0.00018432458000786444,19,COMPLETE
55,3.42772068506747e-06,2025-07-07 13:00:31.408345,2025-07-07 13:05:20.537604,0 days 00:04:49.129259,identity,16,106,0.00013096363015457094,19,COMPLETE
56,3.7892825730523327e-06,2025-07-07 13:05:20.538326,2025-07-07 13:07:56.731289,0 days 00:02:36.192963,identity,16,117,0.0001309257412805011,19,COMPLETE
57,0.0002248759410576895,2025-07-07 13:07:56.732045,2025-07-07 13:08:54.496974,0 days 00:00:57.764929,identity,64,117,0.00012506204968865516,19,COMPLETE
58,4.3447271309560165e-06,2025-07-07 13:08:54.497972,2025-07-07 13:10:56.892252,0 days 00:02:02.394280,identity,16,104,0.00015399675830486732,8,COMPLETE
59,3.383226840014686e-06,2025-07-07 13:10:56.892950,2025-07-07 13:13:26.725906,0 days 00:02:29.832956,identity,16,118,0.00010067642332050432,18,COMPLETE
60,0.01625867933034897,2025-07-07 13:13:26.726665,2025-07-07 13:14:00.817142,0 days 00:00:34.090477,identity,128,128,0.00010491573515779138,13,COMPLETE
61,3.5014313652936835e-06,2025-07-07 13:14:00.817814,2025-07-07 13:19:10.431100,0 days 00:05:09.613286,identity,16,115,0.00015488265039790715,18,COMPLETE
62,4.338271992310183e-06,2025-07-07 13:19:10.431849,2025-07-07 13:24:15.327066,0 days 00:05:04.895217,identity,16,107,0.00018832230627619512,19,COMPLETE
63,3.629756520240335e-06,2025-07-07 13:24:15.327786,2025-07-07 13:26:44.750579,0 days 00:02:29.422793,identity,16,121,0.00012403711720788954,18,COMPLETE
64,2.1381847545853816e-05,2025-07-07 13:26:44.751328,2025-07-07 13:30:55.896337,0 days 00:04:11.145009,identity,16,99,0.004473568572638643,17,COMPLETE
65,3.551044983396423e-06,2025-07-07 13:30:55.897053,2025-07-07 13:36:32.476246,0 days 00:05:36.579193,identity,16,109,0.00015469585432392372,20,COMPLETE
66,3.3507599255244713e-06,2025-07-07 13:36:32.476988,2025-07-07 13:39:05.750152,0 days 00:02:33.273164,identity,16,120,0.00011527115403894148,19,COMPLETE
67,4.3691316022886895e-06,2025-07-07 13:39:05.750843,2025-07-07 13:41:39.782319,0 days 00:02:34.031476,identity,16,120,0.00010159379976734526,19,COMPLETE
68,3.4297788715775823e-06,2025-07-07 13:41:39.783047,2025-07-07 13:44:20.213233,0 days 00:02:40.430186,identity,16,128,0.00012015572726741365,20,COMPLETE
69,3.5029863738600397e-06,2025-07-07 13:44:20.213943,2025-07-07 13:47:00.747706,0 days 00:02:40.533763,identity,16,128,0.00011969353205749484,20,COMPLETE
70,2.2817295757704414e-05,2025-07-07 13:47:00.748477,2025-07-07 13:48:25.322057,0 days 00:01:24.573580,identity,32,120,0.00010035174717234788,20,COMPLETE
71,3.617497668528813e-06,2025-07-07 13:48:25.322769,2025-07-07 13:54:03.339378,0 days 00:05:38.016609,identity,16,115,0.00013127487447971004,19,COMPLETE
72,3.5561213280743686e-06,2025-07-07 13:54:03.340098,2025-07-07 13:58:55.116072,0 days 00:04:51.775974,identity,16,112,0.00014556035442811295,19,COMPLETE
