number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.0034001190215349197,2025-07-10 19:53:05.986730,2025-07-10 19:54:05.673447,0 days 00:00:59.686717,relu,prod,0.003096378114400098,8,21,bell,COMPLETE
37,0.007686675526201725,2025-07-10 19:54:05.674047,2025-07-10 19:55:06.408820,0 days 00:01:00.734773,identity,min,0.0009009610128504606,9,25,bell,COMPLETE
38,0.006088961847126484,2025-07-10 19:55:06.409414,2025-07-10 19:56:00.631361,0 days 00:00:54.221947,relu,prod,0.004406874098637565,8,7,gaussian,COMPLETE
39,4.2805058910744265e-06,2025-07-10 19:56:00.631938,2025-07-10 19:56:58.291690,0 days 00:00:57.659752,identity,min,0.0021270794102608674,8,23,bell,COMPLETE
40,0.020558597519993782,2025-07-10 19:56:58.292296,2025-07-10 19:57:55.610370,0 days 00:00:57.318074,relu,prod,0.00040890390069435396,9,10,gaussian,COMPLETE
41,8.693272320670076e-06,2025-07-10 19:57:55.610967,2025-07-10 19:58:49.484318,0 days 00:00:53.873351,identity,min,0.005597864721559822,5,23,bell,COMPLETE
42,3.8030896121199476e-06,2025-07-10 19:58:49.484908,2025-07-10 19:59:44.324637,0 days 00:00:54.839729,identity,min,0.007836785371561534,6,19,bell,COMPLETE
43,3.5104317248624284e-06,2025-07-10 19:59:44.325233,2025-07-10 20:00:41.728987,0 days 00:00:57.403754,identity,min,0.008009623136570259,7,20,bell,COMPLETE
44,3.484535227471497e-06,2025-07-10 20:00:41.729589,2025-07-10 20:01:40.037987,0 days 00:00:58.308398,identity,min,0.008536508911060626,7,23,bell,COMPLETE
45,4.931338935421081e-06,2025-07-10 20:01:40.038603,2025-07-10 20:02:37.872090,0 days 00:00:57.833487,identity,min,0.007929939401424124,8,23,bell,COMPLETE
46,3.799624664679868e-06,2025-07-10 20:02:37.872688,2025-07-10 20:03:35.843579,0 days 00:00:57.970891,identity,min,0.009885345342549028,7,22,bell,COMPLETE
47,0.00014922396803740412,2025-07-10 20:03:35.844176,2025-07-10 20:04:28.612971,0 days 00:00:52.768795,identity,min,0.004146044218463437,8,20,gaussian,COMPLETE
48,3.7328757116483757e-06,2025-07-10 20:04:28.613570,2025-07-10 20:05:26.484006,0 days 00:00:57.870436,identity,min,0.007977003301879658,7,22,bell,COMPLETE
49,3.619216158767813e-06,2025-07-10 20:05:26.484596,2025-07-10 20:06:26.735037,0 days 00:01:00.250441,identity,prod,0.0083960417398178,7,24,bell,COMPLETE
50,3.6355029351398116e-06,2025-07-10 20:06:26.735635,2025-07-10 20:07:25.149044,0 days 00:00:58.413409,identity,min,0.005242231100778516,7,24,bell,COMPLETE
51,4.1100515772996005e-06,2025-07-10 20:07:25.149656,2025-07-10 20:08:25.419028,0 days 00:01:00.269372,identity,prod,0.00807256884820893,7,24,bell,COMPLETE
52,4.363712832855526e-06,2025-07-10 20:08:25.419628,2025-07-10 20:09:25.460576,0 days 00:01:00.040948,identity,prod,0.00961120388736051,8,24,bell,COMPLETE
53,3.5623270377982408e-06,2025-07-10 20:09:25.461172,2025-07-10 20:10:24.554763,0 days 00:00:59.093591,identity,prod,0.007294031687089131,7,20,bell,COMPLETE
54,0.00025380845181643963,2025-07-10 20:10:24.555370,2025-07-10 20:11:23.661140,0 days 00:00:59.105770,identity,prod,0.004057568395997036,7,20,bell,COMPLETE
55,4.419553079060279e-06,2025-07-10 20:11:23.661753,2025-07-10 20:12:17.271760,0 days 00:00:53.610007,identity,prod,0.004986512311886824,8,15,gaussian,COMPLETE
56,8.747705578571185e-06,2025-07-10 20:12:17.272367,2025-07-10 20:13:14.637885,0 days 00:00:57.365518,identity,min,0.007118778013122041,7,20,bell,COMPLETE
57,0.0423811711370945,2025-07-10 20:13:14.638501,2025-07-10 20:14:07.977145,0 days 00:00:53.338644,identity,min,0.005787771423150442,9,19,sigmoid,COMPLETE
58,0.07463914155960083,2025-07-10 20:14:07.977748,2025-07-10 20:15:07.709173,0 days 00:00:59.731425,identity,prod,0.00016244999122982733,7,22,bell,COMPLETE
59,0.012401925399899483,2025-07-10 20:15:07.709780,2025-07-10 20:16:03.479711,0 days 00:00:55.769931,relu,min,0.003701116171704448,8,14,bell,COMPLETE
