number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.0020888429135084152,2025-07-14 22:34:32.635114,2025-07-14 22:38:29.834710,0 days 00:03:57.199596,relu,min,0.004300011361809045,9,21,bell,COMPLETE
37,0.018783561885356903,2025-07-14 22:38:29.835749,2025-07-14 22:41:12.726744,0 days 00:02:42.890995,identity,min,0.007052750319743216,9,13,sigmoid,COMPLETE
38,0.007831326685845852,2025-07-14 22:41:12.727706,2025-07-14 22:45:31.825799,0 days 00:04:19.098093,identity,prod,0.0007027608240448502,8,24,bell,COMPLETE
39,5.7980196288554e-06,2025-07-14 22:45:31.826693,2025-07-14 22:47:17.622629,0 days 00:01:45.795936,identity,min,0.002907666442424955,7,6,gaussian,COMPLETE
40,0.008287311531603336,2025-07-14 22:47:17.623563,2025-07-14 22:51:38.141952,0 days 00:04:20.518389,relu,prod,0.001882330179548099,7,25,sigmoid,COMPLETE
41,0.007457738276571035,2025-07-14 22:51:38.142849,2025-07-14 22:56:10.087621,0 days 00:04:31.944772,identity,min,0.009741215085709366,9,25,bell,COMPLETE
42,2.856942046491895e-05,2025-07-14 22:56:10.088517,2025-07-14 23:00:39.365795,0 days 00:04:29.277278,identity,min,0.006512770841504472,9,24,bell,COMPLETE
43,3.6720446132676443e-06,2025-07-14 23:00:39.366752,2025-07-14 23:02:58.236897,0 days 00:02:18.870145,identity,min,0.007988716653852769,9,9,bell,COMPLETE
44,1.2257539310667198e-05,2025-07-14 23:02:58.237729,2025-07-14 23:05:26.093861,0 days 00:02:27.856132,identity,min,0.007993963629878743,9,10,bell,COMPLETE
45,0.0011663766345009208,2025-07-14 23:05:26.094759,2025-07-14 23:08:01.844975,0 days 00:02:35.750216,identity,min,0.00040513181619833443,8,12,bell,COMPLETE
46,0.021200338378548622,2025-07-14 23:08:01.845790,2025-07-14 23:10:08.377398,0 days 00:02:06.531608,identity,min,0.004283767280696708,9,8,sigmoid,COMPLETE
47,0.0003051023813895881,2025-07-14 23:10:08.378275,2025-07-14 23:12:16.845627,0 days 00:02:08.467352,identity,min,0.006011407136860447,6,9,gaussian,COMPLETE
48,0.1985088288784027,2025-07-14 23:12:16.846544,2025-07-14 23:13:57.117329,0 days 00:01:40.270785,identity,min,0.0001054338177639433,8,5,bell,COMPLETE
49,3.3930682548088953e-06,2025-07-14 23:13:57.118219,2025-07-14 23:16:55.683405,0 days 00:02:58.565186,identity,prod,0.008150970914274924,9,14,bell,COMPLETE
50,3.428472609812161e-06,2025-07-14 23:16:55.684297,2025-07-14 23:19:50.831244,0 days 00:02:55.146947,identity,prod,0.008006574772171064,8,14,bell,COMPLETE
51,3.831044068647316e-06,2025-07-14 23:19:50.832070,2025-07-14 23:22:45.825915,0 days 00:02:54.993845,identity,prod,0.008133221257292256,8,14,bell,COMPLETE
52,0.10089241713285446,2025-07-14 23:22:45.826787,2025-07-14 23:25:50.908214,0 days 00:03:05.081427,identity,prod,0.0064586845252946066,8,15,bell,COMPLETE
53,0.04960702359676361,2025-07-14 23:25:50.909079,2025-07-14 23:28:44.788894,0 days 00:02:53.879815,identity,prod,0.008239247147540141,8,14,bell,COMPLETE
54,4.261009962647222e-06,2025-07-14 23:28:44.789794,2025-07-14 23:32:00.331634,0 days 00:03:15.541840,identity,prod,0.004932825876743992,9,16,bell,COMPLETE
55,0.00018238244228996336,2025-07-14 23:32:00.332551,2025-07-14 23:34:36.352770,0 days 00:02:36.020219,identity,prod,0.0011611390857658329,7,12,bell,COMPLETE
56,2.594482430140488e-05,2025-07-14 23:34:36.353637,2025-07-14 23:37:47.844625,0 days 00:03:11.490988,relu,prod,0.008685395394634537,8,16,bell,COMPLETE
57,0.02652348205447197,2025-07-14 23:37:47.845605,2025-07-14 23:40:32.208157,0 days 00:02:44.362552,identity,prod,0.0037582980003002635,9,13,sigmoid,COMPLETE
58,0.00040109280962496996,2025-07-14 23:40:32.209091,2025-07-14 23:43:17.585614,0 days 00:02:45.376523,identity,prod,0.005388760692417745,8,13,bell,COMPLETE
59,3.6335097775008762e-06,2025-07-14 23:43:17.586506,2025-07-14 23:47:09.685720,0 days 00:03:52.099214,identity,prod,0.00680368568499276,9,20,bell,COMPLETE
60,3.080062015214935e-05,2025-07-14 23:47:09.686731,2025-07-14 23:50:47.102572,0 days 00:03:37.415841,identity,prod,0.0066739770889979195,9,19,gaussian,COMPLETE
61,0.001345750642940402,2025-07-14 23:50:47.103508,2025-07-14 23:55:03.400020,0 days 00:04:16.296512,identity,prod,0.009964166521266814,9,23,bell,COMPLETE
62,3.903413471562089e-06,2025-07-14 23:55:03.400980,2025-07-14 23:59:11.192561,0 days 00:04:07.791581,identity,prod,0.006855111175514982,9,22,bell,COMPLETE
63,5.79912784814951e-06,2025-07-14 23:59:11.193559,2025-07-15 00:03:36.188877,0 days 00:04:24.995318,identity,prod,0.008486803892246885,9,24,bell,COMPLETE
64,0.01936565339565277,2025-07-15 00:03:36.189875,2025-07-15 00:07:40.999461,0 days 00:04:04.809586,identity,prod,0.004492512321005304,5,25,bell,COMPLETE
65,0.0013573894975706935,2025-07-15 00:07:41.000432,2025-07-15 00:11:30.437143,0 days 00:03:49.436711,identity,prod,0.005688791595883076,9,20,bell,COMPLETE
66,0.0019211958860978484,2025-07-15 00:11:30.438087,2025-07-15 00:14:49.341535,0 days 00:03:18.903448,identity,prod,0.0030154167293680685,8,17,bell,COMPLETE
67,0.019882889464497566,2025-07-15 00:14:49.342426,2025-07-15 00:17:47.077350,0 days 00:02:57.734924,relu,min,0.008846438407053603,9,14,bell,COMPLETE
68,3.5157793263351778e-06,2025-07-15 00:17:47.078247,2025-07-15 00:21:55.818278,0 days 00:04:08.740031,identity,min,0.007277966622762391,7,23,bell,COMPLETE
69,3.931259470846271e-06,2025-07-15 00:21:55.819226,2025-07-15 00:26:09.972141,0 days 00:04:14.152915,identity,prod,0.005490055791366819,7,23,bell,COMPLETE
70,0.004197750706225634,2025-07-15 00:26:09.973104,2025-07-15 00:30:01.811141,0 days 00:03:51.838037,identity,min,0.0002423222796660234,7,21,bell,COMPLETE
71,3.905641733581433e-06,2025-07-15 00:30:01.812060,2025-07-15 00:34:20.081734,0 days 00:04:18.269674,identity,min,0.007260374731692386,7,24,bell,COMPLETE
72,3.503263087623054e-06,2025-07-15 00:34:20.082638,2025-07-15 00:37:19.166661,0 days 00:02:59.084023,identity,min,0.008901879818316152,6,15,bell,COMPLETE
73,3.5303753520565806e-06,2025-07-15 00:37:19.167580,2025-07-15 00:40:18.040299,0 days 00:02:58.872719,identity,min,0.006327570432284421,6,15,bell,COMPLETE
74,0.0011652994435280561,2025-07-15 00:40:18.041246,2025-07-15 00:43:17.190544,0 days 00:02:59.149298,identity,min,0.008785317355523483,6,15,bell,COMPLETE
75,0.00016018743917811662,2025-07-15 00:43:17.191506,2025-07-15 00:46:33.795256,0 days 00:03:16.603750,identity,min,0.007296221238054746,6,17,bell,COMPLETE
76,0.010088412091135979,2025-07-15 00:46:33.796140,2025-07-15 00:49:41.598369,0 days 00:03:07.802229,identity,min,0.006110772990145519,6,16,bell,COMPLETE
77,0.005986558273434639,2025-07-15 00:49:41.599304,2025-07-15 00:52:23.794006,0 days 00:02:42.194702,identity,min,0.004821495249796633,5,15,sigmoid,COMPLETE
78,5.758702627645107e-06,2025-07-15 00:52:23.794949,2025-07-15 00:54:54.481147,0 days 00:02:30.686198,relu,min,0.007915981146888367,6,12,gaussian,COMPLETE
79,4.8931151468423195e-06,2025-07-15 00:54:54.482032,2025-07-15 00:57:45.482906,0 days 00:02:51.000874,identity,min,0.009673148693520033,6,14,bell,COMPLETE
