number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
32,5.288001830194844e-06,2025-07-04 11:54:57.934076,2025-07-04 11:55:09.126179,0 days 00:00:11.192103,relu,32,66,0.0009890139131391695,15,False,1.6319087457822177e-05,COMPLETE
33,9.010119356389623e-06,2025-07-04 11:55:09.126448,2025-07-04 11:55:20.647602,0 days 00:00:11.521154,relu,32,65,0.0009434384442247878,17,False,1.3673930066751602e-05,COMPLETE
34,7.640129297215026e-06,2025-07-04 11:55:20.647872,2025-07-04 11:55:32.074879,0 days 00:00:11.427007,relu,32,72,0.0008162430596788355,15,False,1.7259333624023077e-05,COMPLETE
35,3.730160096893087e-05,2025-07-04 11:55:32.075138,2025-07-04 11:55:38.657272,0 days 00:00:06.582134,relu,64,40,0.00078519334595951,15,True,1.6814324950809515e-05,COMPLETE
36,5.326916834746953e-06,2025-07-04 11:55:38.657531,2025-07-04 11:55:51.289758,0 days 00:00:12.632227,relu,32,81,0.001000705454436358,18,False,1.0115910815427051e-05,COMPLETE
37,5.48872776562348e-05,2025-07-04 11:55:51.290038,2025-07-04 11:56:04.357292,0 days 00:00:13.067254,relu,32,87,0.0010853388613523266,18,True,4.175899964453664e-05,COMPLETE
38,0.001269146683625877,2025-07-04 11:56:04.357566,2025-07-04 11:56:15.506878,0 days 00:00:11.149312,relu,32,60,0.0003092976777407501,18,False,0.0003172616779601424,COMPLETE
39,4.164511483395472e-05,2025-07-04 11:56:15.507160,2025-07-04 11:56:22.131940,0 days 00:00:06.624780,relu,64,26,0.0008248790333579281,20,False,1.5417328973945204e-05,COMPLETE
40,9.124010102823377e-05,2025-07-04 11:56:22.132209,2025-07-04 11:56:35.106186,0 days 00:00:12.973977,relu,32,82,0.0005073978774817611,19,True,3.0136481466196285e-05,COMPLETE
41,0.03274033963680267,2025-07-04 11:56:35.106454,2025-07-04 11:56:46.766101,0 days 00:00:11.659647,sigmoid,32,72,0.000980592957074735,16,False,1.0454632815512523e-05,COMPLETE
42,2.441605829517357e-05,2025-07-04 11:56:46.766364,2025-07-04 11:56:56.788897,0 days 00:00:10.022533,relu,32,52,0.0016953495483222544,13,False,1.3666302556120632e-05,COMPLETE
43,5.308749678079039e-06,2025-07-04 11:56:56.789147,2025-07-04 11:57:08.427122,0 days 00:00:11.637975,relu,32,78,0.0007082770010399898,14,False,1.7401218827571577e-05,COMPLETE
44,2.5023538910318166e-05,2025-07-04 11:57:08.427388,2025-07-04 11:57:20.310766,0 days 00:00:11.883378,relu,32,79,0.0007147400174867041,15,False,1.816482565397374e-05,COMPLETE
45,9.941481039277278e-06,2025-07-04 11:57:20.311047,2025-07-04 11:57:31.207450,0 days 00:00:10.896403,relu,32,64,0.0004197445570910277,17,False,1.99753746514629e-05,COMPLETE
46,0.038723040372133255,2025-07-04 11:57:31.207706,2025-07-04 11:57:35.898423,0 days 00:00:04.690717,sigmoid,128,42,0.0006086601421767216,18,False,6.215210461215813e-05,COMPLETE
47,0.00019461415649857372,2025-07-04 11:57:35.898704,2025-07-04 11:57:55.193788,0 days 00:00:19.295084,relu,16,68,0.0011508144894727154,16,False,3.7289877158434125e-05,COMPLETE
48,7.805202585586812e-06,2025-07-04 11:57:55.194055,2025-07-04 11:58:07.037280,0 days 00:00:11.843225,relu,32,88,0.0008242280593966075,13,True,1.3345259846236713e-05,COMPLETE
49,2.3430693545378745e-05,2025-07-04 11:58:07.037537,2025-07-04 11:58:17.301981,0 days 00:00:10.264444,relu,32,49,0.00046534835143101155,15,False,2.5339725322565297e-05,COMPLETE
50,2.27395194087876e-05,2025-07-04 11:58:17.302252,2025-07-04 11:58:24.317024,0 days 00:00:07.014772,relu,64,57,0.00034987194653896046,14,False,1.8982802589215016e-05,COMPLETE
51,5.783902906841831e-06,2025-07-04 11:58:24.317293,2025-07-04 11:58:36.276339,0 days 00:00:11.959046,relu,32,90,0.0008517505006657011,13,True,1.2626334646565527e-05,COMPLETE
52,1.5981404430931434e-05,2025-07-04 11:58:36.276609,2025-07-04 11:58:48.235896,0 days 00:00:11.959287,relu,32,85,0.001018796595112122,14,True,1.4003759817095153e-05,COMPLETE
53,1.4151437426335178e-05,2025-07-04 11:58:48.236169,2025-07-04 11:58:59.552717,0 days 00:00:11.316548,relu,32,78,0.0006851454598753692,12,True,1.0188715623267602e-05,COMPLETE
54,1.4521171578962822e-05,2025-07-04 11:58:59.552988,2025-07-04 11:59:10.973235,0 days 00:00:11.420247,relu,32,70,0.0005635971335626777,15,True,1.280040536297311e-05,COMPLETE
55,0.03158016502857208,2025-07-04 11:59:10.973505,2025-07-04 11:59:23.896540,0 days 00:00:12.923035,sigmoid,32,93,0.0008764165653359078,16,True,2.11019125390517e-05,COMPLETE
56,2.533824044803623e-05,2025-07-04 11:59:23.896842,2025-07-04 11:59:36.369997,0 days 00:00:12.473155,relu,32,101,0.0016401308176399326,10,False,1.683937781362302e-05,COMPLETE
57,0.0002633946423884481,2025-07-04 11:59:36.370271,2025-07-04 11:59:55.398478,0 days 00:00:19.028207,relu,16,83,0.008040443833041026,12,True,0.00013252346235102618,COMPLETE
58,0.002635176992043853,2025-07-04 11:59:55.398750,2025-07-04 12:00:06.859011,0 days 00:00:11.460261,relu,32,78,0.0022152458087266584,13,False,0.0007650762121470116,COMPLETE
59,6.408763056242606e-06,2025-07-04 12:00:06.859281,2025-07-04 12:00:18.995276,0 days 00:00:12.135995,relu,32,92,0.0011689806523481354,14,False,2.5117516718945365e-05,COMPLETE
60,2.7314823455526493e-05,2025-07-04 12:00:18.995565,2025-07-04 12:00:27.404945,0 days 00:00:08.409380,relu,128,109,0.0012537346119306785,14,False,2.67163775486074e-05,COMPLETE
61,0.00010312478843843564,2025-07-04 12:00:27.405266,2025-07-04 12:00:38.783081,0 days 00:00:11.377815,relu,32,71,0.0007386494533197802,15,False,1.1738864938732826e-05,COMPLETE
62,0.00010951432341244072,2025-07-04 12:00:38.783370,2025-07-04 12:00:50.874867,0 days 00:00:12.091497,relu,32,90,0.0010528836581456854,14,False,2.193275331321017e-05,COMPLETE
63,3.406672112760134e-05,2025-07-04 12:00:50.875159,2025-07-04 12:01:04.225222,0 days 00:00:13.350063,relu,32,92,0.0014478181577049958,19,False,3.254809036998403e-05,COMPLETE
64,7.828626621630974e-06,2025-07-04 12:01:04.225520,2025-07-04 12:01:16.879463,0 days 00:00:12.653943,relu,32,99,0.00010302426181100225,13,False,1.632747983741219e-05,COMPLETE
65,1.1473334780021105e-05,2025-07-04 12:01:16.879747,2025-07-04 12:01:28.734050,0 days 00:00:11.854303,relu,32,75,0.000627039164465145,16,False,1.2134029692812822e-05,COMPLETE
66,0.03477878496050835,2025-07-04 12:01:28.734341,2025-07-04 12:01:39.265514,0 days 00:00:10.531173,sigmoid,32,64,0.0009182562425470757,15,False,4.6060835636210635e-05,COMPLETE
67,7.4499785114312544e-06,2025-07-04 12:01:39.265788,2025-07-04 12:01:50.612706,0 days 00:00:11.346918,relu,32,84,0.000502573027345481,12,False,2.767451086878266e-05,COMPLETE
68,7.814422133378685e-06,2025-07-04 12:01:50.612977,2025-07-04 12:02:03.537853,0 days 00:00:12.924876,relu,32,103,0.00020048977922386578,11,False,2.4585127839966263e-05,COMPLETE
69,1.8314874978386797e-05,2025-07-04 12:02:03.538133,2025-07-04 12:02:22.587892,0 days 00:00:19.049759,relu,16,84,0.00050785099063794,12,False,1.9367349295438825e-05,COMPLETE
70,9.545102329866495e-06,2025-07-04 12:02:22.588181,2025-07-04 12:02:35.322640,0 days 00:00:12.734459,relu,32,97,0.00037049649832641816,13,True,2.6761101351253362e-05,COMPLETE
71,6.107801254984224e-06,2025-07-04 12:02:35.322932,2025-07-04 12:02:46.614583,0 days 00:00:11.291651,relu,32,80,0.0007899920614818027,14,False,1.4616194888538872e-05,COMPLETE
72,7.336296221183147e-06,2025-07-04 12:02:46.614877,2025-07-04 12:02:58.735749,0 days 00:00:12.120872,relu,32,91,0.0006913134438191092,14,False,1.4381782502442695e-05,COMPLETE
73,4.612085376720643e-06,2025-07-04 12:02:58.736049,2025-07-04 12:03:10.878570,0 days 00:00:12.142521,relu,32,91,0.0011497649926811167,14,False,1.4753733940449923e-05,COMPLETE
74,9.476453669776674e-06,2025-07-04 12:03:10.878849,2025-07-04 12:03:22.224718,0 days 00:00:11.345869,relu,32,80,0.0018316643766471278,14,False,1.195909855145671e-05,COMPLETE
75,4.612978500517784e-06,2025-07-04 12:03:22.225005,2025-07-04 12:03:29.952988,0 days 00:00:07.727983,relu,64,77,0.00119352660918904,13,False,1.4947410810993153e-05,COMPLETE
76,9.28262306842953e-06,2025-07-04 12:03:29.953298,2025-07-04 12:03:37.684505,0 days 00:00:07.731207,relu,64,77,0.0015352699557328938,13,False,1.4854560844530755e-05,COMPLETE
77,1.958030952664558e-05,2025-07-04 12:03:37.684820,2025-07-04 12:03:44.658204,0 days 00:00:06.973384,relu,64,61,0.001335825097739148,13,False,1.0430038924950514e-05,COMPLETE
78,0.0010841573821380734,2025-07-04 12:03:44.658507,2025-07-04 12:03:52.106898,0 days 00:00:07.448391,relu,64,68,0.000949977390322692,13,False,0.000374635688230675,COMPLETE
79,0.030036531388759613,2025-07-04 12:03:52.107191,2025-07-04 12:04:00.103951,0 days 00:00:07.996760,sigmoid,64,74,0.0010901254857463138,15,False,1.2570764296632735e-05,COMPLETE
80,4.606050788424909e-05,2025-07-04 12:04:00.104256,2025-07-04 12:04:07.143515,0 days 00:00:07.039259,relu,128,86,0.000844306060334743,17,False,1.5477442925475706e-05,COMPLETE
81,5.843478902534116e-06,2025-07-04 12:04:07.143843,2025-07-04 12:04:18.450845,0 days 00:00:11.307002,relu,32,80,0.001261746062591186,14,False,1.8021282307030826e-05,COMPLETE
82,7.032569101284025e-06,2025-07-04 12:04:18.451135,2025-07-04 12:04:29.747649,0 days 00:00:11.296514,relu,32,80,0.0012253729332210074,14,False,1.8358326603166346e-05,COMPLETE
83,4.5714123189100064e-06,2025-07-04 12:04:51.145535,2025-07-04 12:04:58.800247,0 days 00:00:07.654712,relu,64,66,0.0007281323623523726,15,False,2.168091013309252e-05,COMPLETE
84,8.146912477968726e-06,2025-07-04 12:04:58.800549,2025-07-04 12:05:06.486698,0 days 00:00:07.686149,relu,64,66,0.002085418567312506,15,False,2.2772142056047526e-05,COMPLETE
85,1.9789931684499606e-05,2025-07-04 12:05:06.486990,2025-07-04 12:05:13.759166,0 days 00:00:07.272176,relu,64,58,0.0006490597540810066,16,False,1.7663670062383177e-05,COMPLETE
