number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.1389467567205429,2025-07-14 21:18:35.773412,2025-07-14 21:20:04.901073,0 days 00:01:29.127661,identity,prod,0.0003554771615361542,7,13,bell,COMPLETE
37,1.3555598343373276e-05,2025-07-14 21:20:04.902028,2025-07-14 21:21:22.809069,0 days 00:01:17.907041,identity,prod,0.007619386789032758,5,11,sigmoid,COMPLETE
38,2.342614607186988e-05,2025-07-14 21:21:22.809938,2025-07-14 21:22:59.290884,0 days 00:01:36.480946,identity,prod,0.002370360852739658,7,17,gaussian,COMPLETE
39,0.007395427208393812,2025-07-14 21:22:59.291825,2025-07-14 21:24:12.590208,0 days 00:01:13.298383,identity,prod,0.004778274769818982,6,7,bell,COMPLETE
40,0.09807218611240387,2025-07-14 21:24:12.591071,2025-07-14 21:25:39.527307,0 days 00:01:26.936236,identity,prod,0.00010585732800568849,7,14,sigmoid,COMPLETE
41,3.7506993066926952e-06,2025-07-14 21:25:39.528206,2025-07-14 21:27:17.471807,0 days 00:01:37.943601,identity,prod,0.008355945550244845,8,16,bell,COMPLETE
42,3.89066599382204e-06,2025-07-14 21:27:17.472737,2025-07-14 21:28:54.929444,0 days 00:01:37.456707,identity,prod,0.0082901569288937,7,16,bell,COMPLETE
43,5.36706193088321e-06,2025-07-14 21:28:54.930301,2025-07-14 21:30:30.338378,0 days 00:01:35.408077,identity,prod,0.006008446501419345,8,15,bell,COMPLETE
44,4.247323431627592e-06,2025-07-14 21:30:30.339230,2025-07-14 21:32:14.273653,0 days 00:01:43.934423,identity,prod,0.008552066835065101,7,18,bell,COMPLETE
45,3.6828591873927508e-06,2025-07-14 21:32:14.274490,2025-07-14 21:33:42.373667,0 days 00:01:28.099177,identity,prod,0.005718419850802969,8,12,bell,COMPLETE
46,2.7253099688095972e-05,2025-07-14 21:33:42.374578,2025-07-14 21:35:05.577606,0 days 00:01:23.203028,identity,prod,0.003685561932479663,8,9,bell,COMPLETE
47,0.003143047448247671,2025-07-14 21:35:05.578466,2025-07-14 21:36:33.594419,0 days 00:01:28.015953,identity,prod,0.0026172915289097132,8,12,bell,COMPLETE
48,3.6690548768092413e-06,2025-07-14 21:36:33.595320,2025-07-14 21:38:02.436919,0 days 00:01:28.841599,identity,prod,0.005231675950090695,8,11,bell,COMPLETE
49,3.875210495607462e-06,2025-07-14 21:38:02.437778,2025-07-14 21:39:16.442412,0 days 00:01:14.004634,identity,prod,0.005509299738098985,9,5,bell,COMPLETE
50,0.024637021124362946,2025-07-14 21:39:16.443260,2025-07-14 21:40:38.772629,0 days 00:01:22.329369,identity,prod,0.001698651015807696,8,10,gaussian,COMPLETE
51,3.744411969819339e-06,2025-07-14 21:40:38.773479,2025-07-14 21:42:08.687875,0 days 00:01:29.914396,identity,prod,0.006800932852580849,8,13,bell,COMPLETE
52,2.228926314273849e-05,2025-07-14 21:42:08.688757,2025-07-14 21:43:36.502464,0 days 00:01:27.813707,identity,prod,0.006381935597615086,8,11,bell,COMPLETE
53,0.03325935825705528,2025-07-14 21:43:36.503293,2025-07-14 21:45:06.506099,0 days 00:01:30.002806,identity,prod,0.0046012652411794655,8,13,bell,COMPLETE
54,0.020707495510578156,2025-07-14 21:45:06.507054,2025-07-14 21:46:31.489700,0 days 00:01:24.982646,identity,prod,0.00018155378425447624,9,9,bell,COMPLETE
55,0.0001762933243298903,2025-07-14 21:46:31.490589,2025-07-14 21:47:58.631002,0 days 00:01:27.140413,identity,prod,0.005291495523723372,8,12,bell,COMPLETE
56,1.1624047147051897e-05,2025-07-14 21:47:58.631904,2025-07-14 21:49:23.777672,0 days 00:01:25.145768,identity,prod,0.0036054636653487337,8,10,bell,COMPLETE
57,0.0001364503987133503,2025-07-14 21:49:23.778553,2025-07-14 21:50:39.401402,0 days 00:01:15.622849,identity,prod,0.007063058393291867,8,8,sigmoid,COMPLETE
58,0.006367016118019819,2025-07-14 21:50:39.402279,2025-07-14 21:52:13.268278,0 days 00:01:33.865999,identity,prod,0.0018864360540446776,9,13,bell,COMPLETE
59,3.480624172880198e-06,2025-07-14 21:52:13.269130,2025-07-14 21:53:42.323921,0 days 00:01:29.054791,identity,prod,0.009890663943526007,8,11,bell,COMPLETE
60,4.549539426079718e-06,2025-07-14 21:53:42.324777,2025-07-14 21:55:11.359359,0 days 00:01:29.034582,identity,prod,0.009953942049724298,8,11,bell,COMPLETE
61,6.738891897839494e-06,2025-07-14 21:55:11.360208,2025-07-14 21:56:38.403896,0 days 00:01:27.043688,identity,prod,0.006417185144247865,8,12,bell,COMPLETE
62,3.583204261303763e-06,2025-07-14 21:56:38.404804,2025-07-14 21:58:10.816789,0 days 00:01:32.411985,identity,prod,0.008681458148877667,8,14,bell,COMPLETE
63,0.05979420989751816,2025-07-14 21:58:10.817711,2025-07-14 21:59:40.576037,0 days 00:01:29.758326,identity,prod,0.005653132647568535,8,13,bell,COMPLETE
64,3.6926196571585024e-06,2025-07-14 21:59:40.576978,2025-07-14 22:01:16.063982,0 days 00:01:35.487004,identity,prod,0.009271771260180705,9,14,bell,COMPLETE
65,0.00524724368005991,2025-07-14 22:01:16.064858,2025-07-14 22:02:51.676865,0 days 00:01:35.612007,identity,prod,0.008990838964340614,9,14,bell,COMPLETE
66,0.00012744529522024095,2025-07-14 22:02:51.677756,2025-07-14 22:04:20.899369,0 days 00:01:29.221613,relu,min,0.007525970299396649,9,11,bell,COMPLETE
67,0.0002706923405639827,2025-07-14 22:04:20.900275,2025-07-14 22:05:45.729358,0 days 00:01:24.829083,identity,prod,0.004326702800596469,9,9,bell,COMPLETE
68,6.6886955210065935e-06,2025-07-14 22:05:45.730287,2025-07-14 22:07:09.427713,0 days 00:01:23.697426,identity,prod,0.009900374537727234,9,10,gaussian,COMPLETE
69,4.650013579521328e-06,2025-07-14 22:07:09.428646,2025-07-14 22:08:53.267608,0 days 00:01:43.838962,identity,prod,0.006173499519328755,9,17,bell,COMPLETE
70,0.013872084207832813,2025-07-14 22:08:53.268548,2025-07-14 22:10:20.476696,0 days 00:01:27.208148,identity,prod,0.0006474402362736479,8,14,sigmoid,COMPLETE
71,3.5507332540873904e-06,2025-07-14 22:10:20.477734,2025-07-14 22:11:47.400248,0 days 00:01:26.922514,identity,prod,0.006884561561884608,8,12,bell,COMPLETE
72,0.000596832949668169,2025-07-14 22:11:47.401142,2025-07-14 22:13:15.034979,0 days 00:01:27.633837,identity,prod,0.007438766459487654,8,12,bell,COMPLETE
73,3.956954060413409e-06,2025-07-14 22:13:15.035851,2025-07-14 22:14:50.825913,0 days 00:01:35.790062,identity,prod,0.00496099800134111,8,15,bell,COMPLETE
74,4.776636160386261e-06,2025-07-14 22:14:50.826816,2025-07-14 22:16:23.156821,0 days 00:01:32.330005,identity,prod,0.008662005848082808,8,14,bell,COMPLETE
75,0.0005531657370738685,2025-07-14 22:16:23.157809,2025-07-14 22:17:49.780532,0 days 00:01:26.622723,relu,prod,0.0068572060573575695,7,12,bell,COMPLETE
76,4.136511961405631e-06,2025-07-14 22:17:49.781453,2025-07-14 22:19:27.039095,0 days 00:01:37.257642,identity,prod,0.008735163450723078,7,16,bell,COMPLETE
77,4.2836581997107714e-06,2025-07-14 22:19:27.039965,2025-07-14 22:20:54.595223,0 days 00:01:27.555258,identity,prod,0.00572476358228646,8,11,bell,COMPLETE
78,0.000118848736747168,2025-07-14 22:20:54.596042,2025-07-14 22:22:22.605969,0 days 00:01:28.009927,identity,min,0.007741468437845596,8,13,bell,COMPLETE
79,0.00022079797054175287,2025-07-14 22:22:22.606895,2025-07-14 22:23:58.243237,0 days 00:01:35.636342,identity,prod,0.0033170691049183338,7,15,bell,COMPLETE
80,0.007994736544787884,2025-07-14 22:23:58.244102,2025-07-14 22:25:18.952448,0 days 00:01:20.708346,identity,prod,0.0012717162821919486,7,10,gaussian,COMPLETE
81,5.212441919866251e-06,2025-07-14 22:25:18.953362,2025-07-14 22:26:48.556016,0 days 00:01:29.602654,identity,prod,0.006680123991705028,8,13,bell,COMPLETE
