number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
35,0.0022548544220626354,2025-07-10 20:25:36.072656,2025-07-10 20:27:36.577112,0 days 00:02:00.504456,relu,min,0.0024225065164819935,8,17,bell,COMPLETE
36,0.015426778234541416,2025-07-10 20:27:36.577968,2025-07-10 20:29:43.323390,0 days 00:02:06.745422,identity,prod,0.0005222075255990159,6,19,bell,COMPLETE
37,0.00017085354193113744,2025-07-10 20:29:43.324316,2025-07-10 20:31:36.008528,0 days 00:01:52.684212,identity,prod,0.007175545295122454,9,14,bell,COMPLETE
38,0.04092841222882271,2025-07-10 20:31:36.009473,2025-07-10 20:33:25.952392,0 days 00:01:49.942919,relu,min,0.0013381124511359142,7,16,sigmoid,COMPLETE
39,4.22736684413394e-06,2025-07-10 20:33:25.953269,2025-07-10 20:35:53.529766,0 days 00:02:27.576497,identity,prod,0.00844994033317123,8,23,bell,COMPLETE
40,0.0025780622381716967,2025-07-10 20:35:53.551629,2025-07-10 20:38:08.688184,0 days 00:02:15.136555,identity,prod,0.0006522864057517312,6,21,bell,COMPLETE
41,0.41948288679122925,2025-07-10 20:38:08.689168,2025-07-10 20:39:57.177476,0 days 00:01:48.488308,identity,prod,0.005143187734035085,7,15,gaussian,COMPLETE
42,0.26515355706214905,2025-07-10 20:39:57.273831,2025-07-10 20:41:37.291550,0 days 00:01:40.017719,identity,prod,0.00027342690113847065,7,13,gaussian,COMPLETE
43,0.2736002206802368,2025-07-10 20:41:37.292406,2025-07-10 20:43:12.246464,0 days 00:01:34.954058,identity,prod,0.006019520556957708,7,11,gaussian,COMPLETE
44,0.0053626918233931065,2025-07-10 20:43:12.247468,2025-07-10 20:45:13.620522,0 days 00:02:01.373054,identity,prod,0.005132371195955431,7,18,gaussian,COMPLETE
45,3.637207328210934e-06,2025-07-10 20:45:13.621445,2025-07-10 20:47:10.467408,0 days 00:01:56.845963,identity,prod,0.007932720830754495,7,16,bell,COMPLETE
46,1.3167331218719482,2025-07-10 20:47:10.524981,2025-07-10 20:49:12.393875,0 days 00:02:01.868894,relu,prod,0.007478153451435151,9,16,bell,COMPLETE
47,3.414266302570468e-06,2025-07-10 20:49:12.827573,2025-07-10 20:51:12.046842,0 days 00:01:59.219269,identity,min,0.009604699021930476,7,17,bell,COMPLETE
48,1.1769533557526302e-05,2025-07-10 20:51:12.047711,2025-07-10 20:52:59.521194,0 days 00:01:47.473483,identity,min,0.004646427375478682,8,14,bell,COMPLETE
49,4.707746938947821e-06,2025-07-10 20:52:59.522040,2025-07-10 20:54:52.174555,0 days 00:01:52.652515,identity,min,0.006675163542263393,6,16,bell,COMPLETE
50,1.0577931789157446e-05,2025-07-10 20:54:52.175405,2025-07-10 20:56:52.453111,0 days 00:02:00.277706,identity,min,0.002779622262555966,8,17,bell,COMPLETE
51,4.355707915237872e-06,2025-07-10 20:56:52.454077,2025-07-10 20:58:55.918254,0 days 00:02:03.464177,identity,min,0.008982696991207302,7,18,bell,COMPLETE
52,0.0005490314215421677,2025-07-10 20:58:55.919366,2025-07-10 21:01:03.493319,0 days 00:02:07.573953,identity,min,0.009944272022327791,7,19,bell,COMPLETE
53,0.0005252958508208394,2025-07-10 21:01:03.494251,2025-07-10 21:02:53.413862,0 days 00:01:49.919611,identity,prod,0.007975312565461539,6,15,bell,COMPLETE
54,0.00025345582980662584,2025-07-10 21:02:53.414795,2025-07-10 21:05:01.634979,0 days 00:02:08.220184,identity,prod,0.006087420511443512,7,20,sigmoid,COMPLETE
55,0.00036994952824898064,2025-07-10 21:05:01.635851,2025-07-10 21:07:01.079902,0 days 00:01:59.444051,identity,min,0.008307512401840885,7,17,bell,COMPLETE
56,0.006078138016164303,2025-07-10 21:07:01.080768,2025-07-10 21:09:10.854309,0 days 00:02:09.773541,identity,prod,0.003695985759714652,7,19,bell,COMPLETE
57,0.00044385253568179905,2025-07-10 21:09:10.855417,2025-07-10 21:11:09.124830,0 days 00:01:58.269413,identity,prod,0.004384682728896982,8,16,bell,COMPLETE
58,3.5046459743171e-06,2025-07-10 21:11:09.125818,2025-07-10 21:13:11.717255,0 days 00:02:02.591437,identity,prod,0.0063495643608607105,6,18,bell,COMPLETE
59,4.075046945217764e-06,2025-07-10 21:13:11.718255,2025-07-10 21:15:09.110866,0 days 00:01:57.392611,identity,prod,0.005561029176710834,5,18,bell,COMPLETE
60,4.737586550618289e-06,2025-07-10 21:15:09.154167,2025-07-10 21:16:45.387400,0 days 00:01:36.233233,relu,min,0.00653672061024539,5,13,bell,COMPLETE
61,0.00038399314507842064,2025-07-10 21:16:45.388255,2025-07-10 21:18:37.998897,0 days 00:01:52.610642,identity,prod,0.008863699716564092,7,15,bell,COMPLETE
62,6.75930186844198e-06,2025-07-10 21:18:37.999888,2025-07-10 21:20:36.271948,0 days 00:01:58.272060,identity,prod,0.007638549198772633,6,17,bell,COMPLETE
63,0.005555678624659777,2025-07-10 21:20:36.272875,2025-07-10 21:22:48.600317,0 days 00:02:12.327442,identity,prod,0.006749386889543241,7,21,sigmoid,COMPLETE
64,3.7298375445971033e-06,2025-07-10 21:22:48.601233,2025-07-10 21:24:59.618398,0 days 00:02:11.017165,identity,prod,0.00990885896152276,6,20,bell,COMPLETE
65,4.341821841080673e-05,2025-07-10 21:24:59.619340,2025-07-10 21:27:02.337792,0 days 00:02:02.718452,identity,prod,0.0048918702407202,6,18,bell,COMPLETE
66,0.0002441647811792791,2025-07-10 21:27:02.338683,2025-07-10 21:29:13.467653,0 days 00:02:11.128970,identity,prod,0.009891896007639876,6,20,bell,COMPLETE
67,4.960020669386722e-05,2025-07-10 21:29:13.468703,2025-07-10 21:30:59.228116,0 days 00:01:45.759413,identity,prod,0.003232387004774976,6,14,bell,COMPLETE
68,0.07376795262098312,2025-07-10 21:30:59.229061,2025-07-10 21:32:48.617597,0 days 00:01:49.388536,identity,prod,0.002040371364700826,5,16,bell,COMPLETE
69,3.628832246249658e-06,2025-07-10 21:32:48.618493,2025-07-10 21:34:38.599919,0 days 00:01:49.981426,identity,prod,0.003996601705712501,6,15,bell,COMPLETE
70,0.000158196926349774,2025-07-10 21:34:38.600811,2025-07-10 21:36:28.553130,0 days 00:01:49.952319,identity,prod,0.0038437473288344647,6,15,bell,COMPLETE
71,0.00031747957109473646,2025-07-10 21:36:28.687710,2025-07-10 21:38:27.059070,0 days 00:01:58.371360,identity,prod,0.005733593942512207,6,17,bell,COMPLETE
72,3.7169215829635505e-06,2025-07-10 21:38:27.060224,2025-07-10 21:40:25.374543,0 days 00:01:58.314319,identity,prod,0.007395143993139087,6,17,bell,COMPLETE
73,0.0054220049642026424,2025-07-10 21:40:25.375428,2025-07-10 21:42:23.755748,0 days 00:01:58.380320,identity,prod,0.007281608792452489,6,17,bell,COMPLETE
74,0.06679149717092514,2025-07-10 21:42:23.756671,2025-07-10 21:44:21.262615,0 days 00:01:57.505944,identity,prod,0.006275513882906791,5,18,bell,COMPLETE
75,0.001927685458213091,2025-07-10 21:44:21.263541,2025-07-10 21:46:13.887717,0 days 00:01:52.624176,identity,prod,0.004216670331044759,7,15,bell,COMPLETE
76,0.00037042153417132795,2025-07-10 21:46:13.888690,2025-07-10 21:48:08.455827,0 days 00:01:54.567137,relu,prod,0.0012630185302402615,6,16,bell,COMPLETE
77,1.7329788533970714e-05,2025-07-10 21:48:08.456728,2025-07-10 21:50:17.203465,0 days 00:02:08.746737,identity,min,0.008494788662814003,8,19,bell,COMPLETE
78,6.209032108017709e-06,2025-07-10 21:50:17.204378,2025-07-10 21:52:09.978356,0 days 00:01:52.773978,identity,prod,0.005251772925315428,9,14,bell,COMPLETE
79,0.10359605401754379,2025-07-10 21:52:09.979289,2025-07-10 21:53:57.042317,0 days 00:01:47.063028,identity,prod,0.0002471332085102031,7,15,sigmoid,COMPLETE
80,1.2672899174503982e-05,2025-07-10 21:53:57.043203,2025-07-10 21:55:11.848085,0 days 00:01:14.804882,identity,prod,0.0030912083683355875,6,6,bell,COMPLETE
81,4.988635737390723e-06,2025-07-10 21:55:11.848685,2025-07-10 21:57:14.512379,0 days 00:02:02.663694,identity,prod,0.00798910739463093,6,18,bell,COMPLETE
82,2.0236146156094037e-05,2025-07-10 21:57:14.513336,2025-07-10 21:59:12.800633,0 days 00:01:58.287297,identity,prod,0.009017030592222275,6,17,bell,COMPLETE
83,0.00810917466878891,2025-07-10 21:59:12.801530,2025-07-10 22:01:23.660393,0 days 00:02:10.858863,identity,prod,0.007157574148893124,6,20,bell,COMPLETE
84,4.336774509283714e-06,2025-07-10 22:01:23.661421,2025-07-10 22:03:45.886877,0 days 00:02:22.225456,identity,prod,0.006492840145921927,7,22,bell,COMPLETE
85,3.98515885535744e-06,2025-07-10 22:03:45.887943,2025-07-10 22:05:39.849811,0 days 00:01:53.961868,identity,prod,0.0047915753745980455,6,16,bell,COMPLETE
86,4.665731012210017e-06,2025-07-10 22:05:39.850838,2025-07-10 22:07:40.798541,0 days 00:02:00.947703,identity,prod,0.009153854198255306,7,17,bell,COMPLETE
87,4.0519462345400825e-06,2025-07-10 22:07:40.813330,2025-07-10 22:09:41.857879,0 days 00:02:01.044549,identity,min,0.00781086847806753,6,18,bell,COMPLETE
88,0.00017701135948300362,2025-07-10 22:09:41.859267,2025-07-10 22:11:52.063649,0 days 00:02:10.204382,relu,prod,0.006084590125987002,7,19,bell,COMPLETE
89,3.6308638300397433e-06,2025-07-10 22:11:52.064559,2025-07-10 22:13:41.711650,0 days 00:01:49.647091,identity,prod,0.009950680616692215,5,16,bell,COMPLETE
90,0.028408795595169067,2025-07-10 22:13:41.712736,2025-07-10 22:15:20.993981,0 days 00:01:39.281245,identity,min,0.00012181461574076576,5,14,bell,COMPLETE
91,3.5787867091130465e-05,2025-07-10 22:15:20.994967,2025-07-10 22:17:06.541182,0 days 00:01:45.546215,identity,prod,0.009656450950140056,5,15,bell,COMPLETE
92,4.052789336128626e-06,2025-07-10 22:17:06.542175,2025-07-10 22:18:56.173113,0 days 00:01:49.630938,identity,prod,0.008365086903766453,5,16,bell,COMPLETE
93,3.6251162782718893e-06,2025-07-10 22:18:56.174124,2025-07-10 22:20:58.710632,0 days 00:02:02.536508,identity,prod,0.006930998306919343,8,17,bell,COMPLETE
94,0.0026742976624518633,2025-07-10 22:20:58.711581,2025-07-10 22:23:01.123726,0 days 00:02:02.412145,identity,prod,0.00725170309847586,8,17,bell,COMPLETE
95,0.2626892030239105,2025-07-10 22:23:01.124607,2025-07-10 22:24:59.234958,0 days 00:01:58.110351,identity,prod,0.005500584933154178,8,16,bell,COMPLETE
96,0.036308761686086655,2025-07-10 22:24:59.235887,2025-07-10 22:26:59.011891,0 days 00:01:59.776004,identity,prod,0.004209457996029009,8,18,sigmoid,COMPLETE
97,1.1608980457822327e-05,2025-07-10 22:26:59.012828,2025-07-10 22:28:55.822154,0 days 00:01:56.809326,identity,prod,0.0024911250723602917,7,16,bell,COMPLETE
