number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
36,0.018442422151565552,2025-07-10 19:57:28.580637,2025-07-10 19:58:42.300543,0 days 00:01:13.719906,identity,min,0.00489186605923538,6,23,bell,COMPLETE
37,0.00046244621626101434,2025-07-10 19:58:42.301131,2025-07-10 19:59:47.885545,0 days 00:01:05.584414,identity,min,0.0017544998595739518,6,21,sigmoid,COMPLETE
38,0.0002557711850386113,2025-07-10 19:59:47.886125,2025-07-10 20:01:01.547346,0 days 00:01:13.661221,identity,min,0.0027011444873634343,6,23,bell,COMPLETE
39,0.0006547055672854185,2025-07-10 20:01:01.547927,2025-07-10 20:02:10.457257,0 days 00:01:08.909330,identity,min,0.00089933127338018,5,24,gaussian,COMPLETE
40,0.00496105570346117,2025-07-10 20:02:10.457846,2025-07-10 20:03:22.509808,0 days 00:01:12.051962,identity,min,0.002285979984116359,7,20,bell,COMPLETE
41,3.6978901789552765e-06,2025-07-10 20:03:22.510407,2025-07-10 20:04:38.007510,0 days 00:01:15.497103,identity,min,0.007878331672982786,8,22,bell,COMPLETE
42,4.7528928917017765e-06,2025-07-10 20:04:38.008119,2025-07-10 20:05:51.918109,0 days 00:01:13.909990,identity,min,0.008270045262610038,8,21,bell,COMPLETE
43,4.715574959845981e-06,2025-07-10 20:05:51.918708,2025-07-10 20:07:09.987937,0 days 00:01:18.069229,identity,min,0.005310298761725092,8,24,bell,COMPLETE
44,0.00011353408626746386,2025-07-10 20:07:09.988534,2025-07-10 20:08:19.093130,0 days 00:01:09.104596,identity,min,0.00867241792277018,7,22,sigmoid,COMPLETE
45,0.010267977602779865,2025-07-10 20:08:19.093718,2025-07-10 20:09:27.412058,0 days 00:01:08.318340,identity,min,0.0033962924228918548,6,19,bell,COMPLETE
46,0.12914711236953735,2025-07-10 20:09:27.412648,2025-07-10 20:10:25.975611,0 days 00:00:58.562963,identity,min,0.004746891069526814,7,14,sigmoid,COMPLETE
47,0.010835755616426468,2025-07-10 20:10:25.976195,2025-07-10 20:11:44.091504,0 days 00:01:18.115309,identity,min,0.006044197276061493,8,24,bell,COMPLETE
48,5.689736553904368e-06,2025-07-10 20:11:44.092443,2025-07-10 20:12:58.727221,0 days 00:01:14.634778,identity,min,0.009586915604252188,7,25,gaussian,COMPLETE
49,0.06324393302202225,2025-07-10 20:12:58.727809,2025-07-10 20:14:02.535221,0 days 00:01:03.807412,identity,min,0.0002060247056888281,5,21,sigmoid,COMPLETE
50,0.005826420616358519,2025-07-10 20:14:02.535802,2025-07-10 20:15:21.282422,0 days 00:01:18.746620,identity,prod,0.0039988976684066126,8,23,bell,COMPLETE
51,0.002895361976698041,2025-07-10 20:15:21.283009,2025-07-10 20:16:41.958556,0 days 00:01:20.675547,relu,prod,0.006383833487869659,9,22,bell,COMPLETE
52,0.0010389316594228148,2025-07-10 20:16:41.959166,2025-07-10 20:18:00.741614,0 days 00:01:18.782448,identity,prod,0.007800778136648314,9,21,bell,COMPLETE
53,5.684671123162843e-05,2025-07-10 20:18:00.742210,2025-07-10 20:19:23.231350,0 days 00:01:22.489140,relu,prod,0.005101304799896423,9,23,bell,COMPLETE
54,3.6514789826469496e-05,2025-07-10 20:19:23.231941,2025-07-10 20:20:36.772460,0 days 00:01:13.540519,relu,prod,0.006253926727990708,8,19,bell,COMPLETE
55,3.876670234603807e-06,2025-07-10 20:20:36.773058,2025-07-10 20:21:44.762377,0 days 00:01:07.989319,identity,prod,0.009914978316470546,7,16,bell,COMPLETE
56,0.000133120731334202,2025-07-10 20:21:44.762969,2025-07-10 20:22:46.280273,0 days 00:01:01.517304,identity,prod,0.008718713936260333,7,15,sigmoid,COMPLETE
57,3.670571686598123e-06,2025-07-10 20:22:46.280848,2025-07-10 20:23:54.238739,0 days 00:01:07.957891,identity,prod,0.009569408593909763,7,16,bell,COMPLETE
58,3.4592892461660085e-06,2025-07-10 20:23:54.239644,2025-07-10 20:24:59.970307,0 days 00:01:05.730663,identity,prod,0.009987612648650473,6,16,bell,COMPLETE
59,4.9422324082115665e-06,2025-07-10 20:24:59.970889,2025-07-10 20:26:01.427430,0 days 00:01:01.456541,identity,min,0.008290664684244156,6,14,bell,COMPLETE
60,3.8300313462968916e-05,2025-07-10 20:26:01.428025,2025-07-10 20:27:03.435086,0 days 00:01:02.007061,identity,prod,0.0057516659111489015,6,17,sigmoid,COMPLETE
61,4.277680545783369e-06,2025-07-10 20:27:03.435939,2025-07-10 20:28:11.474341,0 days 00:01:08.038402,identity,prod,0.008960303185375901,7,16,bell,COMPLETE
62,4.4103262553107925e-06,2025-07-10 20:28:11.474935,2025-07-10 20:29:19.510741,0 days 00:01:08.035806,identity,prod,0.009797572301585247,7,16,bell,COMPLETE
63,3.856433067994658e-06,2025-07-10 20:29:19.511325,2025-07-10 20:30:21.015098,0 days 00:01:01.503773,identity,prod,0.0073577274998498,6,13,bell,COMPLETE
64,3.7102147416590014e-06,2025-07-10 20:30:21.015669,2025-07-10 20:31:22.105892,0 days 00:01:01.090223,identity,prod,0.0071829478801327005,6,11,bell,COMPLETE
65,0.050123315304517746,2025-07-10 20:31:22.106468,2025-07-10 20:32:23.344755,0 days 00:01:01.238287,identity,prod,0.0070438187918233095,6,11,bell,COMPLETE
66,0.00011190035002073273,2025-07-10 20:32:23.345345,2025-07-10 20:33:24.886215,0 days 00:01:01.540870,identity,prod,0.00427129810595354,6,13,bell,COMPLETE
67,5.140620942256646e-06,2025-07-10 20:33:24.886803,2025-07-10 20:34:23.930619,0 days 00:00:59.043816,identity,prod,0.007032725199531325,5,11,bell,COMPLETE
68,0.42652320861816406,2025-07-10 20:34:23.931204,2025-07-10 20:35:25.521475,0 days 00:01:01.590271,identity,prod,0.005673361016054244,6,13,bell,COMPLETE
69,3.786676188610727e-06,2025-07-10 20:35:25.522057,2025-07-10 20:36:21.000029,0 days 00:00:55.477972,identity,prod,0.007774204001113926,6,7,bell,COMPLETE
70,4.237357188685564e-06,2025-07-10 20:36:21.000603,2025-07-10 20:37:16.000933,0 days 00:00:55.000330,identity,prod,0.0036849929971333835,5,8,bell,COMPLETE
71,6.28761245025089e-06,2025-07-10 20:37:16.001512,2025-07-10 20:38:09.965279,0 days 00:00:53.963767,identity,prod,0.0077466766212275365,6,6,bell,COMPLETE
72,0.010595458559691906,2025-07-10 20:38:09.965869,2025-07-10 20:39:03.826810,0 days 00:00:53.860941,identity,prod,0.00010152468378565594,6,6,bell,COMPLETE
73,4.027630893688183e-06,2025-07-10 20:39:03.827400,2025-07-10 20:40:00.670500,0 days 00:00:56.843100,identity,prod,0.0071118987387840185,6,8,bell,COMPLETE
74,0.007315055467188358,2025-07-10 20:40:00.671092,2025-07-10 20:41:05.546014,0 days 00:01:04.874922,identity,prod,0.0064802657504418465,6,15,bell,COMPLETE
75,5.850925845152233e-06,2025-07-10 20:41:05.546627,2025-07-10 20:42:02.902598,0 days 00:00:57.355971,identity,prod,0.00839754926417282,6,11,gaussian,COMPLETE
76,0.0008155584800988436,2025-07-10 20:42:02.903195,2025-07-10 20:43:03.047402,0 days 00:01:00.144207,identity,prod,0.000531711578784689,6,12,bell,COMPLETE
77,0.0002391583111602813,2025-07-10 20:43:03.048015,2025-07-10 20:43:56.785728,0 days 00:00:53.737713,identity,min,0.005474063866111697,6,7,bell,COMPLETE
78,4.141228146181675e-06,2025-07-10 20:43:56.786313,2025-07-10 20:44:54.536851,0 days 00:00:57.750538,identity,prod,0.009981757501773278,5,10,bell,COMPLETE
79,4.718550826510182e-06,2025-07-10 20:44:54.537440,2025-07-10 20:45:58.975169,0 days 00:01:04.437729,identity,prod,0.007662828318081467,6,15,bell,COMPLETE
80,4.233495928929187e-06,2025-07-10 20:45:58.975763,2025-07-10 20:47:00.395276,0 days 00:01:01.419513,identity,min,0.0046445646421015355,6,14,bell,COMPLETE
81,1.5173486644926015e-05,2025-07-10 20:47:00.405214,2025-07-10 20:47:50.669427,0 days 00:00:50.264213,relu,prod,0.008623572880451484,7,5,sigmoid,COMPLETE
82,3.7940844777040184e-06,2025-07-10 20:47:50.670009,2025-07-10 20:49:01.455594,0 days 00:01:10.785585,identity,prod,0.006691111668849661,7,18,bell,COMPLETE
83,0.0010627255542203784,2025-07-10 20:49:01.456194,2025-07-10 20:50:05.145443,0 days 00:01:03.689249,identity,prod,0.006848049356981356,7,13,bell,COMPLETE
84,5.4646984608552884e-06,2025-07-10 20:50:05.146044,2025-07-10 20:51:16.123540,0 days 00:01:10.977496,identity,prod,0.005881618979065905,7,18,bell,COMPLETE
85,3.872407432936598e-06,2025-07-10 20:51:16.230085,2025-07-10 20:52:23.443741,0 days 00:01:07.213656,identity,prod,0.009018119830462835,6,17,bell,COMPLETE
86,1.5258284292940516e-05,2025-07-10 20:52:23.444359,2025-07-10 20:53:32.026741,0 days 00:01:08.582382,identity,prod,0.003055749468879057,6,18,bell,COMPLETE
87,0.00044487908598966897,2025-07-10 20:53:32.027343,2025-07-10 20:54:31.877498,0 days 00:00:59.850155,identity,min,0.004372746400683034,7,14,gaussian,COMPLETE
88,3.69261329069559e-06,2025-07-10 20:54:31.878092,2025-07-10 20:55:37.722359,0 days 00:01:05.844267,identity,prod,0.007621167535097676,6,16,bell,COMPLETE
89,4.071513558301376e-06,2025-07-10 20:55:37.723255,2025-07-10 20:56:46.148172,0 days 00:01:08.424917,identity,min,0.005317749162422441,8,17,bell,COMPLETE
90,3.4813017464330187e-06,2025-07-10 20:56:46.148787,2025-07-10 20:57:54.139255,0 days 00:01:07.990468,identity,prod,0.006363871671494968,7,16,bell,COMPLETE
91,7.912948058219627e-05,2025-07-10 20:57:54.139861,2025-07-10 20:59:02.142377,0 days 00:01:08.002516,identity,prod,0.00803821724502543,7,16,bell,COMPLETE
92,5.809108188259415e-06,2025-07-10 20:59:02.142973,2025-07-10 21:00:08.788941,0 days 00:01:06.645968,identity,prod,0.006521187092844932,7,15,bell,COMPLETE
93,0.00010360399028286338,2025-07-10 21:00:08.789540,2025-07-10 21:01:15.904221,0 days 00:01:07.114681,identity,prod,0.005961124672696895,6,17,bell,COMPLETE
94,5.5484774748038035e-06,2025-07-10 21:01:15.904820,2025-07-10 21:02:27.685328,0 days 00:01:11.780508,identity,prod,0.008892126831558572,8,18,bell,COMPLETE
95,0.014107683673501015,2025-07-10 21:02:27.685930,2025-07-10 21:03:35.635792,0 days 00:01:07.949862,identity,prod,0.0008475464247759087,7,16,bell,COMPLETE
96,8.146157597366255e-06,2025-07-10 21:03:35.636375,2025-07-10 21:04:45.412985,0 days 00:01:09.776610,identity,prod,0.004957192642318333,6,19,bell,COMPLETE
97,3.4756926652335096e-06,2025-07-10 21:04:45.413575,2025-07-10 21:05:51.592144,0 days 00:01:06.178569,identity,min,0.00764059387283059,7,16,bell,COMPLETE
98,0.07319437712430954,2025-07-10 21:05:51.592744,2025-07-10 21:06:48.296603,0 days 00:00:56.703859,identity,min,0.009038352710011783,6,9,bell,COMPLETE
99,3.587843366403831e-06,2025-07-10 21:06:48.297183,2025-07-10 21:07:54.611252,0 days 00:01:06.314069,identity,min,0.007873155660256922,7,16,bell,COMPLETE
100,0.021200871095061302,2025-07-10 21:07:54.612171,2025-07-10 21:08:59.420225,0 days 00:01:04.808054,identity,min,0.0012745993120161158,7,15,bell,COMPLETE
101,4.179983534413623e-06,2025-07-10 21:08:59.420822,2025-07-10 21:10:05.589691,0 days 00:01:06.168869,identity,min,0.007882479328016518,7,16,bell,COMPLETE
102,0.008590364828705788,2025-07-10 21:10:05.590286,2025-07-10 21:11:12.028056,0 days 00:01:06.437770,identity,min,0.007314237598838365,7,16,bell,COMPLETE
103,6.821494025643915e-06,2025-07-10 21:11:12.028645,2025-07-10 21:12:19.632600,0 days 00:01:07.603955,identity,min,0.00922970631087257,7,17,bell,COMPLETE
104,3.79754533241794e-06,2025-07-10 21:12:19.633215,2025-07-10 21:13:22.902695,0 days 00:01:03.269480,identity,min,0.007894359622795541,7,14,bell,COMPLETE
