number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_shuffle,params_size_layers,params_weight_decay,state
32,5.560394583881134e-06,2025-07-01 21:11:48.519709,2025-07-01 21:11:53.229332,0 days 00:00:04.709623,identity,64,0.0004075192147170507,4,False,103,4.336500816765545e-05,COMPLETE
33,5.591855369857512e-06,2025-07-01 21:11:53.229646,2025-07-01 21:11:57.977263,0 days 00:00:04.747617,identity,64,0.000664580857430991,4,False,105,6.788921461920317e-05,COMPLETE
34,7.896342140156776e-06,2025-07-01 21:11:57.977580,2025-07-01 21:12:11.878542,0 days 00:00:13.900962,identity,16,0.00037411880960947955,4,False,117,1.9996769000629782e-05,COMPLETE
35,0.008047627285122871,2025-07-01 21:12:11.878860,2025-07-01 21:12:16.586886,0 days 00:00:04.708026,relu,64,0.0001759484300291222,4,False,83,6.177173435156808e-05,COMPLETE
36,5.219909144216217e-05,2025-07-01 21:12:16.587204,2025-07-01 21:12:18.916165,0 days 00:00:02.328961,identity,128,0.0018352207782990914,2,False,108,2.9194436198709638e-05,COMPLETE
37,5.777576461696299e-06,2025-07-01 21:12:18.916484,2025-07-01 21:12:23.714790,0 days 00:00:04.798306,identity,64,0.0005752178664824192,4,False,123,8.594187527839136e-05,COMPLETE
38,0.00025041395565494895,2025-07-01 21:12:23.715110,2025-07-01 21:12:26.166118,0 days 00:00:02.451008,relu,128,0.005624983369616408,2,True,73,1.029935191175985e-05,COMPLETE
39,5.9816843531734776e-06,2025-07-01 21:12:26.166444,2025-07-01 21:12:30.147357,0 days 00:00:03.980913,identity,64,0.0008699854667225378,3,False,97,0.00010653378570004874,COMPLETE
40,0.00012734762276522815,2025-07-01 21:12:30.147678,2025-07-01 21:12:33.382366,0 days 00:00:03.234688,relu,128,0.00032825658026746003,4,True,113,1.4950860826020364e-05,COMPLETE
41,4.260214154783171e-06,2025-07-01 21:12:33.382674,2025-07-01 21:12:37.947705,0 days 00:00:04.565031,identity,64,0.00011521155289013501,4,False,91,2.4921110592207966e-05,COMPLETE
42,5.414288807514822e-06,2025-07-01 21:12:37.948018,2025-07-01 21:12:42.702866,0 days 00:00:04.754848,identity,64,0.0002170289283202519,4,False,105,4.324135715976401e-05,COMPLETE
43,1.7301565094385296e-05,2025-07-01 21:12:42.703187,2025-07-01 21:12:47.122428,0 days 00:00:04.419241,identity,64,0.00011524725876049226,4,False,59,2.2213037825878106e-05,COMPLETE
44,5.480522759171436e-06,2025-07-01 21:12:47.122752,2025-07-01 21:12:51.830098,0 days 00:00:04.707346,identity,64,0.0006466319221641768,4,False,128,3.365169042897276e-05,COMPLETE
45,0.06162760406732559,2025-07-01 21:12:51.830415,2025-07-01 21:13:06.221745,0 days 00:00:14.391330,sigmoid,16,0.00020741609514290704,4,False,95,4.719405396600379e-05,COMPLETE
46,7.725471732555889e-06,2025-07-01 21:13:06.222064,2025-07-01 21:13:11.817532,0 days 00:00:05.595468,identity,32,0.001706255463179028,2,False,89,1.772583314084416e-05,COMPLETE
47,0.0005187102942727506,2025-07-01 21:13:11.817848,2025-07-01 21:13:16.524318,0 days 00:00:04.706470,identity,64,0.002287483231138512,4,True,116,3.626190484236163e-05,COMPLETE
48,5.48247453480144e-06,2025-07-01 21:13:16.524629,2025-07-01 21:13:20.680814,0 days 00:00:04.156185,identity,64,0.0015070855772573734,3,False,123,1.3167919166611103e-05,COMPLETE
49,0.0006745505379512906,2025-07-01 21:13:20.681133,2025-07-01 21:13:22.315486,0 days 00:00:01.634353,relu,128,0.0010540607300689963,1,False,87,7.639963004944824e-05,COMPLETE
50,5.2821796998614445e-06,2025-07-01 21:13:22.315786,2025-07-01 21:13:26.473556,0 days 00:00:04.157770,identity,64,0.0003109330721076906,4,False,31,2.524447461834238e-05,COMPLETE
51,5.261611931928201e-06,2025-07-01 21:13:26.473880,2025-07-01 21:13:30.970304,0 days 00:00:04.496424,identity,64,0.00014686123056385507,4,False,73,2.8170260127540713e-05,COMPLETE
52,5.3297148951969575e-06,2025-07-01 21:13:30.970639,2025-07-01 21:13:35.679347,0 days 00:00:04.708708,identity,64,0.00013575158868361347,4,False,103,3.542243408134435e-05,COMPLETE
53,5.354530458134832e-06,2025-07-01 21:13:35.679671,2025-07-01 21:13:40.252301,0 days 00:00:04.572630,identity,64,0.0001007858443132642,4,False,94,2.5494935330215382e-05,COMPLETE
54,2.111640242219437e-05,2025-07-01 21:13:40.252619,2025-07-01 21:13:47.107461,0 days 00:00:06.854842,identity,32,0.00015821151678222127,4,False,8,6.191756603576001e-05,COMPLETE
55,4.312373675929848e-06,2025-07-01 21:13:47.107790,2025-07-01 21:13:51.043084,0 days 00:00:03.935294,identity,64,0.00012078723256727461,3,True,77,1.7139923060627045e-05,COMPLETE
56,6.3402126215805765e-06,2025-07-01 21:13:51.043417,2025-07-01 21:14:02.517916,0 days 00:00:11.474499,identity,16,0.00024408034036088318,3,True,75,1.87058134277115e-05,COMPLETE
57,0.0619465596973896,2025-07-01 21:14:02.518234,2025-07-01 21:14:05.253739,0 days 00:00:02.735505,sigmoid,128,0.00012627381666002434,3,True,57,1.3217362642753694e-05,COMPLETE
58,4.997520136384992e-06,2025-07-01 21:14:05.254056,2025-07-01 21:14:07.610378,0 days 00:00:02.356322,identity,64,0.00020210291092352168,1,True,79,1.527877453418225e-05,COMPLETE
59,4.328519025875721e-06,2025-07-01 21:14:07.610675,2025-07-01 21:14:09.969068,0 days 00:00:02.358393,identity,64,0.00018533749965138756,1,True,79,1.5868719352076727e-05,COMPLETE
60,5.443981990538305e-06,2025-07-01 21:14:09.969378,2025-07-01 21:14:12.326419,0 days 00:00:02.357041,identity,64,0.000186284046853517,1,True,66,1.5780356449913722e-05,COMPLETE
61,4.8743499974079896e-06,2025-07-01 21:14:12.326722,2025-07-01 21:14:14.677636,0 days 00:00:02.350914,identity,64,0.00011516276528842256,1,True,78,1.1658695439224685e-05,COMPLETE
62,5.110998245072551e-06,2025-07-01 21:14:14.677930,2025-07-01 21:14:17.034037,0 days 00:00:02.356107,identity,64,0.00011669300080211502,1,True,79,1.1971585783469616e-05,COMPLETE
63,4.939540303894319e-06,2025-07-01 21:14:17.034339,2025-07-01 21:14:19.392472,0 days 00:00:02.358133,identity,64,0.00011545990718484017,1,True,79,1.1902045006941864e-05,COMPLETE
64,5.102144314150792e-06,2025-07-01 21:14:19.392770,2025-07-01 21:14:21.744107,0 days 00:00:02.351337,identity,64,0.0001662281155054787,1,True,70,1.2310117857741984e-05,COMPLETE
65,5.002653324481798e-06,2025-07-01 21:14:21.744412,2025-07-01 21:14:24.096595,0 days 00:00:02.352183,identity,64,0.00020280440928825377,1,True,77,1.0249664583622781e-05,COMPLETE
66,5.120229616295546e-06,2025-07-01 21:14:24.096893,2025-07-01 21:14:26.451558,0 days 00:00:02.354665,identity,64,0.00010319228530893828,1,True,84,1.5971740724978536e-05,COMPLETE
67,4.896210612059804e-06,2025-07-01 21:14:26.451848,2025-07-01 21:14:28.795111,0 days 00:00:02.343263,identity,64,0.0001319807936446922,1,True,62,1.3986775209944237e-05,COMPLETE
68,0.04521184787154198,2025-07-01 21:14:28.795404,2025-07-01 21:14:31.246568,0 days 00:00:02.451164,sigmoid,64,0.00013122249476821553,1,True,61,1.8332703901057484e-05,COMPLETE
69,4.231658294884255e-06,2025-07-01 21:14:31.246867,2025-07-01 21:14:34.559221,0 days 00:00:03.312354,identity,64,0.00012179703645821289,2,True,48,2.140536083203384e-05,COMPLETE
70,6.468028004746884e-06,2025-07-01 21:14:34.559549,2025-07-01 21:14:37.881849,0 days 00:00:03.322300,identity,64,0.00023300162510526065,2,True,50,2.228932639322543e-05,COMPLETE
71,4.9849691095005255e-06,2025-07-01 21:14:37.882177,2025-07-01 21:14:40.225718,0 days 00:00:02.343541,identity,64,0.00011929729384744932,1,True,54,1.4548308281165509e-05,COMPLETE
72,5.115589374327101e-06,2025-07-01 21:14:40.226013,2025-07-01 21:14:42.569583,0 days 00:00:02.343570,identity,64,0.00015571689179790839,1,True,45,1.1290297970072299e-05,COMPLETE
73,5.350965238903882e-06,2025-07-01 21:14:42.569881,2025-07-01 21:14:45.885300,0 days 00:00:03.315419,identity,64,0.00013681191543006262,2,True,36,1.729565904928163e-05,COMPLETE
74,5.1481579248502385e-06,2025-07-01 21:14:45.885620,2025-07-01 21:14:48.227288,0 days 00:00:02.341668,identity,64,0.00010041808310684619,1,True,62,2.0252893566864225e-05,COMPLETE
75,0.0014743300853297114,2025-07-01 21:14:48.227593,2025-07-01 21:14:51.766415,0 days 00:00:03.538822,relu,64,0.00016923994688848422,2,True,68,1.3235471753178298e-05,COMPLETE
76,1.6427720765932463e-05,2025-07-01 21:14:51.766735,2025-07-01 21:14:54.115009,0 days 00:00:02.348274,identity,64,0.0002774496512693701,1,True,65,0.000523612984781426,COMPLETE
77,4.548346623778343e-06,2025-07-01 21:14:54.115312,2025-07-01 21:14:59.762600,0 days 00:00:05.647288,identity,32,0.00011508989306074184,2,True,87,2.2151045859858244e-05,COMPLETE
78,1.0242360076517798e-05,2025-07-01 21:14:59.762933,2025-07-01 21:15:05.379210,0 days 00:00:05.616277,identity,32,0.00013585768326623363,2,True,84,2.2422256404771638e-05,COMPLETE
79,5.20725507158204e-06,2025-07-01 21:15:05.379540,2025-07-01 21:15:11.020753,0 days 00:00:05.641213,identity,32,0.00011164083810392058,2,True,89,3.1327254083082096e-05,COMPLETE
80,9.800250154512469e-06,2025-07-01 21:15:11.021084,2025-07-01 21:15:16.611904,0 days 00:00:05.590820,identity,32,0.00018037020123230348,2,True,71,0.0002228617689457109,COMPLETE
81,1.0014133295044303e-05,2025-07-01 21:15:16.612235,2025-07-01 21:15:20.429089,0 days 00:00:03.816854,identity,32,0.0001220638919602288,1,True,88,1.0068057690617243e-05,COMPLETE
82,5.18088245371473e-06,2025-07-01 21:15:20.429393,2025-07-01 21:15:22.781545,0 days 00:00:02.352152,identity,64,0.00014785290142496147,1,True,81,1.3495501681423663e-05,COMPLETE
83,4.974025614501443e-06,2025-07-01 21:15:22.781843,2025-07-01 21:15:25.134493,0 days 00:00:02.352650,identity,64,0.00011225648787799953,1,True,77,2.3267842157892148e-05,COMPLETE
84,4.223275482218014e-06,2025-07-01 21:15:25.134787,2025-07-01 21:15:34.448703,0 days 00:00:09.313916,identity,16,0.00012655851469735595,2,True,38,1.9323922610659984e-05,COMPLETE
85,5.108650839247275e-06,2025-07-01 21:15:34.449033,2025-07-01 21:15:43.732292,0 days 00:00:09.283259,identity,16,0.00018675159859999282,2,True,38,1.8466722009181885e-05,COMPLETE
86,4.543696832115529e-06,2025-07-01 21:15:43.732622,2025-07-01 21:15:53.109167,0 days 00:00:09.376545,identity,16,0.00015494131889394586,2,True,45,2.8249045422941724e-05,COMPLETE
87,0.05332770198583603,2025-07-01 21:15:53.109495,2025-07-01 21:16:02.934617,0 days 00:00:09.825122,sigmoid,16,0.0001545347182394733,2,True,29,2.9285110695938132e-05,COMPLETE
88,0.0037429810035973787,2025-07-01 21:16:02.934950,2025-07-01 21:16:12.791936,0 days 00:00:09.856986,relu,16,0.0003492830308575862,2,True,38,3.997026556725042e-05,COMPLETE
89,4.153786903771106e-06,2025-07-01 21:16:12.792264,2025-07-01 21:16:22.162046,0 days 00:00:09.369782,identity,16,0.00022862962306800149,2,True,43,2.027226440502072e-05,COMPLETE
90,1.6862091797520407e-05,2025-07-01 21:16:22.162370,2025-07-01 21:16:31.507936,0 days 00:00:09.345566,identity,16,0.0004440535736427244,2,True,44,2.637310653850368e-05,COMPLETE
91,7.921317774162162e-06,2025-07-01 21:16:31.508279,2025-07-01 21:16:40.846078,0 days 00:00:09.337799,identity,16,0.0002349276570847934,2,True,41,2.378491193153313e-05,COMPLETE
