number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,state
36,0.8938930034637451,2025-07-12 19:04:06.805227,2025-07-12 19:04:13.172063,0 days 00:00:06.366836,relu,min,128,0.0013140541176568286,6,gaussian,COMPLETE
37,0.27843615412712097,2025-07-12 19:04:13.172408,2025-07-12 19:04:33.507965,0 days 00:00:20.335557,identity,prod,32,0.0020904319999492022,8,gaussian,COMPLETE
38,0.005455709528177977,2025-07-12 19:04:33.508544,2025-07-12 19:04:42.427875,0 days 00:00:08.919331,identity,min,64,0.00396951591379235,3,gaussian,COMPLETE
39,0.01050039567053318,2025-07-12 19:04:42.428237,2025-07-12 19:05:12.730715,0 days 00:00:30.302478,relu,prod,16,0.0006412926115159813,4,gaussian,COMPLETE
40,1.545493245124817,2025-07-12 19:05:12.731148,2025-07-12 19:05:18.376915,0 days 00:00:05.645767,identity,prod,128,0.0001014656700451588,3,gaussian,COMPLETE
41,0.0016868460224941373,2025-07-12 19:05:18.377291,2025-07-12 19:05:27.735649,0 days 00:00:09.358358,identity,prod,64,0.007353212513985555,2,bell,COMPLETE
42,0.28611743450164795,2025-07-12 19:05:27.736273,2025-07-12 19:05:36.306141,0 days 00:00:08.569868,identity,prod,64,0.005406003634557588,2,gaussian,COMPLETE
43,0.013373266905546188,2025-07-12 19:05:36.306540,2025-07-12 19:05:46.134639,0 days 00:00:09.828099,identity,prod,64,0.009864474916327514,3,bell,COMPLETE
44,0.2878415286540985,2025-07-12 19:05:46.135013,2025-07-12 19:05:54.697819,0 days 00:00:08.562806,identity,prod,64,0.007308621812298132,2,gaussian,COMPLETE
45,0.15737095475196838,2025-07-12 19:05:54.698181,2025-07-12 19:06:22.435165,0 days 00:00:27.736984,identity,min,16,0.00022479386324087967,3,gaussian,COMPLETE
46,0.07601021230220795,2025-07-12 19:06:22.435757,2025-07-12 19:06:34.255579,0 days 00:00:11.819822,identity,prod,64,0.0034856558049744077,7,bell,COMPLETE
47,1.4130871295928955,2025-07-12 19:06:34.255980,2025-07-12 19:06:44.373974,0 days 00:00:10.117994,relu,prod,64,0.0025462789125993424,5,gaussian,COMPLETE
48,0.00040011582314036787,2025-07-12 19:06:44.374338,2025-07-12 19:06:52.627558,0 days 00:00:08.253220,identity,prod,64,0.004680758495701765,2,sigmoid,COMPLETE
49,0.00046668777940794826,2025-07-12 19:06:52.627912,2025-07-12 19:07:17.645845,0 days 00:00:25.017933,identity,min,16,0.004577222503602609,2,sigmoid,COMPLETE
50,0.011315933428704739,2025-07-12 19:07:17.646451,2025-07-12 19:07:23.373809,0 days 00:00:05.727358,identity,prod,128,0.0029148112438157903,4,sigmoid,COMPLETE
51,0.0014081551926210523,2025-07-12 19:07:23.374164,2025-07-12 19:07:48.388664,0 days 00:00:25.014500,identity,min,16,0.004559244526672452,2,sigmoid,COMPLETE
52,0.00037369990604929626,2025-07-12 19:07:48.389290,2025-07-12 19:08:13.415556,0 days 00:00:25.026266,identity,min,16,0.00396929842162663,2,sigmoid,COMPLETE
53,0.003166542388498783,2025-07-12 19:08:13.416243,2025-07-12 19:08:39.994936,0 days 00:00:26.578693,identity,min,16,0.0036555512455861785,3,sigmoid,COMPLETE
54,0.0004941790830343962,2025-07-12 19:08:39.995660,2025-07-12 19:09:05.027973,0 days 00:00:25.032313,identity,min,16,0.005838012456619708,2,sigmoid,COMPLETE
55,0.07587781548500061,2025-07-12 19:09:05.028330,2025-07-12 19:09:13.211180,0 days 00:00:08.182850,identity,min,64,0.002244449879533784,2,sigmoid,COMPLETE
56,0.2223929762840271,2025-07-12 19:09:13.211550,2025-07-12 19:09:28.426067,0 days 00:00:15.214517,identity,prod,32,0.00145748850549686,3,sigmoid,COMPLETE
57,0.0005969156045466661,2025-07-12 19:09:28.426421,2025-07-12 19:09:53.777048,0 days 00:00:25.350627,identity,prod,16,0.004129347018042235,2,sigmoid,COMPLETE
58,0.3026692271232605,2025-07-12 19:09:53.777640,2025-07-12 19:10:02.818358,0 days 00:00:09.040718,identity,min,64,0.003072160315839451,4,sigmoid,COMPLETE
59,0.003362921765074134,2025-07-12 19:10:02.818746,2025-07-12 19:10:11.544034,0 days 00:00:08.725288,identity,prod,64,0.00508528079001114,3,sigmoid,COMPLETE
60,0.000519495049957186,2025-07-12 19:10:11.544389,2025-07-12 19:10:20.208148,0 days 00:00:08.663759,relu,prod,64,0.008109901116785124,2,gaussian,COMPLETE
61,0.000415385962696746,2025-07-12 19:10:20.208524,2025-07-12 19:10:45.222725,0 days 00:00:25.014201,identity,min,16,0.0046169589660755,2,sigmoid,COMPLETE
62,0.0005008610314689577,2025-07-12 19:10:45.223304,2025-07-12 19:11:10.251814,0 days 00:00:25.028510,identity,min,16,0.006397653940186616,2,sigmoid,COMPLETE
63,0.0004636170342564583,2025-07-12 19:11:10.252214,2025-07-12 19:11:36.863878,0 days 00:00:26.611664,identity,min,16,0.0036471352974408416,3,sigmoid,COMPLETE
64,0.006152736023068428,2025-07-12 19:11:36.864534,2025-07-12 19:12:03.429474,0 days 00:00:26.564940,identity,min,16,0.0038574536266948465,3,sigmoid,COMPLETE
65,0.0015799569664523005,2025-07-12 19:12:03.429868,2025-07-12 19:12:28.450400,0 days 00:00:25.020532,identity,min,16,0.001727781643015756,2,sigmoid,COMPLETE
66,0.0005341409123502672,2025-07-12 19:12:28.450997,2025-07-12 19:12:54.999711,0 days 00:00:26.548714,identity,min,16,0.00283204176058912,3,sigmoid,COMPLETE
67,0.008739447221159935,2025-07-12 19:12:55.000148,2025-07-12 19:13:20.019382,0 days 00:00:25.019234,identity,min,16,0.001015724172430214,2,sigmoid,COMPLETE
68,0.0005254665738902986,2025-07-12 19:13:20.020025,2025-07-12 19:13:45.031121,0 days 00:00:25.011096,identity,min,16,0.004513671249137342,2,sigmoid,COMPLETE
69,0.002282803412526846,2025-07-12 19:13:45.031746,2025-07-12 19:14:11.572041,0 days 00:00:26.540295,identity,min,16,0.0023468081817964435,3,sigmoid,COMPLETE
70,0.0006128756213001907,2025-07-12 19:14:11.572414,2025-07-12 19:14:36.571697,0 days 00:00:24.999283,identity,min,16,0.0034925860234338215,2,sigmoid,COMPLETE
71,0.0336478129029274,2025-07-12 19:14:36.572327,2025-07-12 19:14:46.086571,0 days 00:00:09.514244,identity,prod,64,0.005979808075850888,4,gaussian,COMPLETE
72,0.1756671667098999,2025-07-12 19:14:46.086944,2025-07-12 19:14:55.141656,0 days 00:00:09.054712,identity,prod,64,0.004986230253207293,3,gaussian,COMPLETE
73,0.1281621903181076,2025-07-12 19:14:55.142022,2025-07-12 19:15:10.110828,0 days 00:00:14.968806,identity,min,32,0.00396891586148318,3,sigmoid,COMPLETE
74,0.000495461979880929,2025-07-12 19:15:10.111196,2025-07-12 19:15:18.678995,0 days 00:00:08.567799,identity,prod,64,0.008199600077210444,2,gaussian,COMPLETE
75,0.002378935692831874,2025-07-12 19:15:18.679391,2025-07-12 19:15:24.158127,0 days 00:00:05.478736,identity,prod,128,0.003141627168962487,3,sigmoid,COMPLETE
76,1.2809895277023315,2025-07-12 19:15:24.158700,2025-07-12 19:15:33.810769,0 days 00:00:09.652069,relu,prod,64,0.00677320196930077,4,gaussian,COMPLETE
77,0.023420244455337524,2025-07-12 19:15:33.811145,2025-07-12 19:15:43.117987,0 days 00:00:09.306842,identity,min,64,0.005406504039227052,2,bell,COMPLETE
78,0.0013679205439984798,2025-07-12 19:15:43.118358,2025-07-12 19:16:16.512166,0 days 00:00:33.393808,identity,prod,16,0.004720569277514252,6,gaussian,COMPLETE
79,0.00043594464659690857,2025-07-12 19:16:16.512570,2025-07-12 19:16:24.754138,0 days 00:00:08.241568,identity,prod,64,0.001972389384569032,2,sigmoid,COMPLETE
