number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
37,0.7483333333333333,2025-10-01 09:18:08.959842,2025-10-01 09:18:33.352174,0 days 00:00:24.392332,frank,0.00013756119566958006,2,4,gaussian,COMPLETE
38,0.8691666666666666,2025-10-01 09:18:33.352578,2025-10-01 09:18:59.240784,0 days 00:00:25.888206,min,0.0007896774406943991,4,3,bell,COMPLETE
39,0.8416666666666668,2025-10-01 09:18:59.241180,2025-10-01 09:19:21.302145,0 days 00:00:22.060965,min,0.000406725967333945,4,3,gaussian,COMPLETE
40,0.7108333333333333,2025-10-01 09:19:21.302553,2025-10-01 09:19:41.751928,0 days 00:00:20.449375,min,2.6485944660842553e-05,4,2,sigmoid,COMPLETE
41,0.8941666666666667,2025-10-01 09:19:41.752330,2025-10-01 09:20:07.627855,0 days 00:00:25.875525,min,0.0008151827532126633,4,3,bell,COMPLETE
42,0.8541666666666667,2025-10-01 09:20:07.628330,2025-10-01 09:20:33.592290,0 days 00:00:25.963960,min,0.0007693840035929849,4,3,bell,COMPLETE
43,0.8541666666666667,2025-10-01 09:20:33.592707,2025-10-01 09:20:59.471555,0 days 00:00:25.878848,min,0.0005589141044243539,4,3,bell,COMPLETE
44,0.8541666666666666,2025-10-01 09:20:59.471951,2025-10-01 09:21:25.392330,0 days 00:00:25.920379,min,0.0008529110340490414,5,3,bell,COMPLETE
45,0.8283333333333334,2025-10-01 09:21:25.392824,2025-10-01 09:21:51.291760,0 days 00:00:25.898936,min,0.0006966981924831365,4,3,bell,COMPLETE
46,0.8683333333333334,2025-10-01 09:21:51.292170,2025-10-01 09:22:13.280607,0 days 00:00:21.988437,min,0.0005159205911576596,4,2,gaussian,COMPLETE
47,0.7875,2025-10-01 09:22:13.281002,2025-10-01 09:22:35.297390,0 days 00:00:22.016388,min,0.0005545611780387183,4,2,gaussian,COMPLETE
48,0.8408333333333333,2025-10-01 09:22:35.297790,2025-10-01 09:22:57.304337,0 days 00:00:22.006547,min,0.0003623017373851143,5,2,gaussian,COMPLETE
49,0.7374999999999999,2025-10-01 09:22:57.304736,2025-10-01 09:23:19.277784,0 days 00:00:21.973048,min,8.060972225673375e-05,4,2,gaussian,COMPLETE
50,0.4091666666666667,2025-10-01 09:23:19.278183,2025-10-01 09:23:41.733023,0 days 00:00:22.454840,luka,0.0002863566327162923,4,3,gaussian,COMPLETE
51,0.8274999999999999,2025-10-01 09:23:41.733418,2025-10-01 09:24:07.466108,0 days 00:00:25.732690,min,0.0008139302819378123,4,4,bell,COMPLETE
52,0.8408333333333333,2025-10-01 09:24:07.466640,2025-10-01 09:24:31.012111,0 days 00:00:23.545471,hamacher,0.0009905125695510086,4,3,gaussian,COMPLETE
