number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
37,0.7618181818181817,2025-10-01 11:09:37.826359,2025-10-01 11:09:55.132999,0 days 00:00:17.306640,min,0.0001636719014247038,5,5,bell,COMPLETE
38,0.8399999999999999,2025-10-01 11:09:55.133391,2025-10-01 11:10:08.950120,0 days 00:00:13.816729,prod,0.0007771486146798572,2,5,sigmoid,COMPLETE
39,0.40909090909090906,2025-10-01 11:10:08.950422,2025-10-01 11:10:23.928769,0 days 00:00:14.978347,luka,0.0005689326655155534,4,2,gaussian,COMPLETE
40,0.3127272727272728,2025-10-01 11:10:23.929161,2025-10-01 11:10:42.630073,0 days 00:00:18.700912,frank,1.2249595870974278e-05,3,4,bell,COMPLETE
41,0.86,2025-10-01 11:10:42.630482,2025-10-01 11:11:00.094165,0 days 00:00:17.463683,prod,0.00027602783294495274,3,4,bell,COMPLETE
42,0.7636363636363637,2025-10-01 11:11:00.094551,2025-10-01 11:11:17.405304,0 days 00:00:17.310753,prod,0.00026565303364692067,3,3,bell,COMPLETE
43,0.7654545454545454,2025-10-01 11:11:17.405688,2025-10-01 11:11:34.869168,0 days 00:00:17.463480,prod,0.00017242509552419105,3,4,bell,COMPLETE
44,0.4690909090909091,2025-10-01 11:11:34.869570,2025-10-01 11:11:52.300066,0 days 00:00:17.430496,prod,8.005593962023115e-05,2,4,bell,COMPLETE
45,0.3290909090909091,2025-10-01 11:11:52.300375,2025-10-01 11:12:07.337745,0 days 00:00:15.037370,luka,0.00044110703414461486,3,5,gaussian,COMPLETE
46,0.44909090909090904,2025-10-01 11:12:07.338127,2025-10-01 11:12:20.937745,0 days 00:00:13.599618,min,4.314098070187307e-05,4,4,sigmoid,COMPLETE
47,0.7399999999999999,2025-10-01 11:12:21.042124,2025-10-01 11:12:35.850940,0 days 00:00:14.808816,prod,0.0005331890263560534,3,3,gaussian,COMPLETE
48,0.78,2025-10-01 11:12:35.851330,2025-10-01 11:12:54.739627,0 days 00:00:18.888297,frank,0.0003580116442287634,4,5,bell,COMPLETE
49,0.82,2025-10-01 11:12:54.740046,2025-10-01 11:13:09.674731,0 days 00:00:14.934685,prod,0.0008297841334892115,2,4,gaussian,COMPLETE
50,0.8399999999999999,2025-10-01 11:13:09.675039,2025-10-01 11:13:27.159725,0 days 00:00:17.484686,prod,0.0006519948717977833,3,5,bell,COMPLETE
51,0.8399999999999999,2025-10-01 11:13:27.160119,2025-10-01 11:13:44.628249,0 days 00:00:17.468130,prod,0.00028543200251937914,3,4,bell,COMPLETE
52,0.8399999999999999,2025-10-01 11:13:44.628664,2025-10-01 11:14:02.092616,0 days 00:00:17.463952,prod,0.00019222033916805952,3,4,bell,COMPLETE
53,0.7272727272727273,2025-10-01 11:14:02.093013,2025-10-01 11:14:19.564155,0 days 00:00:17.471142,prod,0.00022731488276143293,3,4,bell,COMPLETE
54,0.7672727272727273,2025-10-01 11:14:19.564562,2025-10-01 11:14:37.029261,0 days 00:00:17.464699,prod,0.0002623854446545035,3,4,bell,COMPLETE
55,0.749090909090909,2025-10-01 11:14:37.029649,2025-10-01 11:14:54.540115,0 days 00:00:17.510466,prod,0.000509460821809912,3,5,bell,COMPLETE
56,0.7236363636363637,2025-10-01 11:14:54.540514,2025-10-01 11:15:12.825598,0 days 00:00:18.285084,hamacher,0.0008240450786210992,4,2,bell,COMPLETE
57,0.8036363636363635,2025-10-01 11:15:12.825919,2025-10-01 11:15:27.884831,0 days 00:00:15.058912,prod,0.0003399566928899507,3,5,gaussian,COMPLETE
58,0.7272727272727272,2025-10-01 11:15:27.885220,2025-10-01 11:15:45.328332,0 days 00:00:17.443112,prod,0.00042314505645877254,2,3,bell,COMPLETE
59,0.6472727272727273,2025-10-01 11:15:45.328737,2025-10-01 11:15:59.193265,0 days 00:00:13.864528,luka,0.000107686344940377,4,4,sigmoid,COMPLETE
60,0.8399999999999999,2025-10-01 11:15:59.193658,2025-10-01 11:16:16.578541,0 days 00:00:17.384883,min,0.0006648184198222761,3,5,bell,COMPLETE
61,0.82,2025-10-01 11:16:16.578966,2025-10-01 11:16:30.410527,0 days 00:00:13.831561,prod,0.000810795271998489,2,5,sigmoid,COMPLETE
62,0.8399999999999999,2025-10-01 11:16:30.410837,2025-10-01 11:16:44.242405,0 days 00:00:13.831568,prod,0.0008677342025065842,2,5,sigmoid,COMPLETE
63,0.8399999999999999,2025-10-01 11:16:44.242799,2025-10-01 11:16:58.081930,0 days 00:00:13.839131,prod,0.0007453015237555007,2,5,sigmoid,COMPLETE
64,0.7854545454545454,2025-10-01 11:16:58.082329,2025-10-01 11:17:11.998872,0 days 00:00:13.916543,prod,0.0005678300446802137,4,5,sigmoid,COMPLETE
65,0.8218181818181817,2025-10-01 11:17:11.999171,2025-10-01 11:17:25.825280,0 days 00:00:13.826109,prod,0.0009805099416899201,2,5,sigmoid,COMPLETE
66,0.7618181818181817,2025-10-01 11:17:25.825671,2025-10-01 11:17:44.160209,0 days 00:00:18.334538,hamacher,0.00013735167207587766,3,4,bell,COMPLETE
