number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
38,0.8041666666666668,2025-10-01 12:22:43.400027,2025-10-01 12:22:52.607285,0 days 00:00:09.207258,relu,41,0.0002225734057479755,1,COMPLETE
39,0.8541666666666666,2025-10-01 12:22:52.607547,2025-10-01 12:23:06.605462,0 days 00:00:13.997915,tanh,55,2.4335387435143646e-05,3,COMPLETE
40,0.6591666666666667,2025-10-01 12:23:06.605842,2025-10-01 12:23:18.059592,0 days 00:00:11.453750,sigmoid,34,0.0004709629546727727,2,COMPLETE
41,0.8683333333333334,2025-10-01 12:23:18.059960,2025-10-01 12:23:31.826381,0 days 00:00:13.766421,tanh,38,3.0740122335020444e-05,3,COMPLETE
42,0.8008333333333333,2025-10-01 12:23:31.826675,2025-10-01 12:23:45.556674,0 days 00:00:13.729999,tanh,29,3.549102014410413e-05,3,COMPLETE
43,0.8416666666666668,2025-10-01 12:23:45.557061,2025-10-01 12:23:59.368877,0 days 00:00:13.811816,tanh,44,1.4573659027562554e-05,3,COMPLETE
44,0.8416666666666666,2025-10-01 12:23:59.369235,2025-10-01 12:24:13.086137,0 days 00:00:13.716902,tanh,34,2.3489770228755082e-05,3,COMPLETE
45,0.8550000000000001,2025-10-01 12:24:13.086414,2025-10-01 12:24:29.318369,0 days 00:00:16.231955,tanh,47,0.00015824847954815313,4,COMPLETE
46,0.8941666666666667,2025-10-01 12:24:29.318759,2025-10-01 12:24:43.152819,0 days 00:00:13.834060,tanh,42,8.851103581386048e-05,3,COMPLETE
47,0.8675,2025-10-01 12:24:43.153202,2025-10-01 12:24:57.221781,0 days 00:00:14.068579,tanh,58,6.319425000006078e-05,3,COMPLETE
48,0.7641666666666667,2025-10-01 12:24:57.222170,2025-10-01 12:25:08.776219,0 days 00:00:11.554049,relu,26,4.758085188606851e-05,2,COMPLETE
49,0.8808333333333334,2025-10-01 12:25:08.776510,2025-10-01 12:25:25.066654,0 days 00:00:16.290144,tanh,51,0.00010834596099393739,4,COMPLETE
50,0.8950000000000001,2025-10-01 12:25:25.067053,2025-10-01 12:25:38.775612,0 days 00:00:13.708559,tanh,36,0.00014695033396298053,3,COMPLETE
51,0.8808333333333334,2025-10-01 12:25:38.775996,2025-10-01 12:25:52.531665,0 days 00:00:13.755669,tanh,35,0.00021372221994611117,3,COMPLETE
52,0.8808333333333334,2025-10-01 12:25:52.531943,2025-10-01 12:26:06.354707,0 days 00:00:13.822764,tanh,44,0.0001415703794966501,3,COMPLETE
53,0.8941666666666667,2025-10-01 12:26:06.355084,2025-10-01 12:26:20.103748,0 days 00:00:13.748664,tanh,31,0.0002049841079494809,3,COMPLETE
54,0.8550000000000001,2025-10-01 12:26:20.104133,2025-10-01 12:26:33.844693,0 days 00:00:13.740560,tanh,31,0.00027983699653744224,3,COMPLETE
55,0.8941666666666667,2025-10-01 12:26:33.845057,2025-10-01 12:26:47.636301,0 days 00:00:13.791244,tanh,39,8.337775599075254e-05,3,COMPLETE
56,0.8683333333333334,2025-10-01 12:26:47.636592,2025-10-01 12:27:01.379703,0 days 00:00:13.743111,tanh,37,0.00010188127361500212,3,COMPLETE
57,0.8541666666666667,2025-10-01 12:27:01.380082,2025-10-01 12:27:12.823546,0 days 00:00:11.443464,tanh,22,0.00014027370306060228,2,COMPLETE
58,0.8808333333333334,2025-10-01 12:27:12.823803,2025-10-01 12:27:26.801222,0 days 00:00:13.977419,relu,42,0.0009702531402900016,3,COMPLETE
59,0.4708333333333334,2025-10-01 12:27:26.801563,2025-10-01 12:27:40.440956,0 days 00:00:13.639393,sigmoid,27,5.5377858450321565e-05,3,COMPLETE
60,0.8675,2025-10-01 12:27:40.441337,2025-10-01 12:27:54.335724,0 days 00:00:13.894387,tanh,49,7.181152643886386e-05,3,COMPLETE
61,0.8816666666666668,2025-10-01 12:27:54.336081,2025-10-01 12:28:05.807323,0 days 00:00:11.471242,tanh,26,0.0008701374266111026,2,COMPLETE
